2024-06-11 19:50:12,253 Order Router listening for connections
2024-06-11 19:50:15,408 Connected by ('127.0.0.1', 51282)
2024-06-11 19:50:20,412 Connected by ('127.0.0.1', 51288)
2024-06-11 19:50:25,423 Connected by ('127.0.0.1', 51295)
2024-06-11 19:50:30,442 Connected by ('127.0.0.1', 51301)
2024-06-11 19:50:35,461 Connected by ('127.0.0.1', 51308)
2024-06-11 19:50:40,471 Connected by ('127.0.0.1', 51314)
2024-06-11 19:50:45,480 Connected by ('127.0.0.1', 51320)
2024-06-11 19:50:50,487 Connected by ('127.0.0.1', 51326)
2024-06-11 19:50:55,495 Connected by ('127.0.0.1', 51332)
2024-06-11 19:51:00,513 Connected by ('127.0.0.1', 51338)
2024-06-11 19:51:05,518 Connected by ('127.0.0.1', 51344)
2024-06-11 19:51:10,535 Connected by ('127.0.0.1', 51350)
2024-06-11 19:51:15,553 Connected by ('127.0.0.1', 51356)
2024-06-11 19:51:20,561 Connected by ('127.0.0.1', 51362)
2024-06-11 19:51:25,572 Connected by ('127.0.0.1', 51368)
2024-06-11 19:51:30,577 Connected by ('127.0.0.1', 51374)
2024-06-11 19:51:35,593 Connected by ('127.0.0.1', 51381)
2024-06-11 19:51:40,597 Connected by ('127.0.0.1', 51388)
2024-06-11 19:51:45,615 Connected by ('127.0.0.1', 51394)
2024-06-11 19:51:50,629 Connected by ('127.0.0.1', 51401)
2024-06-11 19:51:55,649 Connected by ('127.0.0.1', 51423)
2024-06-11 19:52:00,657 Connected by ('127.0.0.1', 51429)
2024-06-11 19:52:05,666 Connected by ('127.0.0.1', 51439)
2024-06-11 19:52:10,685 Connected by ('127.0.0.1', 51445)
2024-06-11 19:52:15,693 Connected by ('127.0.0.1', 51451)
2024-06-11 19:52:20,709 Connected by ('127.0.0.1', 51457)
2024-06-11 19:52:25,726 Connected by ('127.0.0.1', 51463)
2024-06-11 19:52:30,737 Connected by ('127.0.0.1', 51469)
2024-06-11 19:52:35,756 Connected by ('127.0.0.1', 51475)
2024-06-11 19:52:40,770 Connected by ('127.0.0.1', 51481)
2024-06-11 19:52:45,789 Connected by ('127.0.0.1', 51487)
2024-06-11 19:52:50,807 Connected by ('127.0.0.1', 51494)
2024-06-11 19:52:55,825 Connected by ('127.0.0.1', 51500)
2024-06-11 19:53:00,834 Connected by ('127.0.0.1', 51508)
2024-06-11 19:53:05,845 Connected by ('127.0.0.1', 51514)
2024-06-11 19:53:10,863 Connected by ('127.0.0.1', 51521)
2024-06-11 19:53:15,876 Connected by ('127.0.0.1', 51527)
2024-06-11 19:53:20,889 Connected by ('127.0.0.1', 51533)
2024-06-11 19:53:25,898 Connected by ('127.0.0.1', 51539)
2024-06-11 19:53:30,910 Connected by ('127.0.0.1', 51545)
2024-06-11 19:53:35,920 Connected by ('127.0.0.1', 51551)
2024-06-11 19:53:40,928 Connected by ('127.0.0.1', 51557)
2024-06-11 19:53:45,935 Connected by ('127.0.0.1', 51563)
2024-06-11 19:53:50,942 Connected by ('127.0.0.1', 51569)
2024-06-11 19:53:55,952 Connected by ('127.0.0.1', 51575)
2024-06-11 19:54:00,963 Connected by ('127.0.0.1', 51581)
2024-06-11 19:54:05,979 Connected by ('127.0.0.1', 51591)
2024-06-11 19:54:10,984 Connected by ('127.0.0.1', 51597)
2024-06-11 19:54:16,000 Connected by ('127.0.0.1', 51603)
2024-06-11 19:54:21,017 Connected by ('127.0.0.1', 51609)
2024-06-11 19:54:26,035 Connected by ('127.0.0.1', 51615)
2024-06-11 19:54:31,042 Connected by ('127.0.0.1', 51621)
2024-06-11 19:54:36,053 Connected by ('127.0.0.1', 51627)
2024-06-11 19:54:41,068 Connected by ('127.0.0.1', 51633)
2024-06-11 19:54:46,078 Connected by ('127.0.0.1', 51640)
2024-06-11 19:54:51,096 Connected by ('127.0.0.1', 51662)
2024-06-11 19:54:56,110 Connected by ('127.0.0.1', 51668)
2024-06-11 19:55:01,128 Connected by ('127.0.0.1', 51674)
2024-06-11 19:55:06,146 Connected by ('127.0.0.1', 51680)
2024-06-11 19:55:11,154 Connected by ('127.0.0.1', 51686)
2024-06-11 19:55:16,160 Connected by ('127.0.0.1', 51692)
2024-06-11 19:55:21,177 Connected by ('127.0.0.1', 51699)
2024-06-11 19:55:26,193 Connected by ('127.0.0.1', 51705)
2024-06-11 19:55:31,201 Connected by ('127.0.0.1', 51711)
2024-06-11 19:55:36,215 Connected by ('127.0.0.1', 51717)
2024-06-11 19:55:41,218 Connected by ('127.0.0.1', 51723)
2024-06-11 19:55:46,223 Connected by ('127.0.0.1', 51729)
2024-06-11 19:55:51,238 Connected by ('127.0.0.1', 51735)
2024-06-11 19:55:56,247 Connected by ('127.0.0.1', 51741)
