2024-06-09 15:28:25,834 FIX Engine listening for connections
2024-06-09 15:28:25,867 Connected by ('127.0.0.1', 55475)
2024-06-09 15:28:25,867 Connected by ('127.0.0.1', 55476)
2024-06-09 15:28:30,880 Connected by ('127.0.0.1', 55491)
2024-06-09 15:28:30,880 Connected by ('127.0.0.1', 55493)
2024-06-09 15:28:35,894 Connected by ('127.0.0.1', 55507)
2024-06-09 15:28:35,895 Connected by ('127.0.0.1', 55509)
2024-06-09 15:28:40,910 Connected by ('127.0.0.1', 55523)
2024-06-09 15:28:40,911 Connected by ('127.0.0.1', 55525)
2024-06-09 15:28:45,918 Connected by ('127.0.0.1', 55539)
2024-06-09 15:28:45,919 Connected by ('127.0.0.1', 55540)
2024-06-09 15:28:50,927 Connected by ('127.0.0.1', 55555)
2024-06-09 15:28:50,928 Connected by ('127.0.0.1', 55556)
2024-06-09 15:28:55,941 Connected by ('127.0.0.1', 55571)
2024-06-09 15:28:55,942 Connected by ('127.0.0.1', 55573)
2024-06-09 15:29:00,957 Connected by ('127.0.0.1', 55589)
2024-06-09 15:29:00,958 Connected by ('127.0.0.1', 55591)
2024-06-09 15:29:05,966 Connected by ('127.0.0.1', 55605)
2024-06-09 15:29:05,971 Connected by ('127.0.0.1', 55608)
2024-06-09 15:29:10,971 Connected by ('127.0.0.1', 55621)
2024-06-09 15:29:10,971 Connected by ('127.0.0.1', 55622)
2024-06-09 15:29:15,988 Connected by ('127.0.0.1', 55636)
2024-06-09 15:29:15,988 Connected by ('127.0.0.1', 55638)
2024-06-09 15:29:20,992 Connected by ('127.0.0.1', 55652)
2024-06-09 15:29:20,993 Connected by ('127.0.0.1', 55653)
2024-06-09 15:29:26,005 Connected by ('127.0.0.1', 55668)
2024-06-09 15:29:26,006 Connected by ('127.0.0.1', 55670)
2024-06-09 15:29:31,009 Connected by ('127.0.0.1', 55684)
2024-06-09 15:29:31,009 Connected by ('127.0.0.1', 55685)
2024-06-09 15:29:36,014 Connected by ('127.0.0.1', 55701)
2024-06-09 15:29:36,015 Connected by ('127.0.0.1', 55703)
2024-06-09 15:29:41,028 Connected by ('127.0.0.1', 55717)
2024-06-09 15:29:41,029 Connected by ('127.0.0.1', 55719)
2024-06-09 15:29:46,044 Connected by ('127.0.0.1', 55733)
2024-06-09 15:29:46,044 Connected by ('127.0.0.1', 55734)
2024-06-09 15:29:51,054 Connected by ('127.0.0.1', 55749)
2024-06-09 15:29:51,055 Connected by ('127.0.0.1', 55751)
2024-06-09 15:29:56,067 Connected by ('127.0.0.1', 55765)
2024-06-09 15:29:56,067 Connected by ('127.0.0.1', 55767)
2024-06-09 15:30:01,070 Connected by ('127.0.0.1', 55781)
2024-06-09 15:30:01,071 Connected by ('127.0.0.1', 55782)
