2024-06-09 15:57:58,489 FIX Engine listening for connections
2024-06-09 15:57:58,593 Connected by ('127.0.0.1', 61149)
2024-06-09 15:57:58,594 Connected by ('127.0.0.1', 61150)
2024-06-09 15:58:03,593 Connected by ('127.0.0.1', 61165)
2024-06-09 15:58:03,593 Connected by ('127.0.0.1', 61166)
2024-06-09 15:58:08,607 Connected by ('127.0.0.1', 61181)
2024-06-09 15:58:08,608 Connected by ('127.0.0.1', 61182)
2024-06-09 15:58:13,626 Connected by ('127.0.0.1', 61197)
2024-06-09 15:58:13,626 Connected by ('127.0.0.1', 61198)
2024-06-09 15:58:18,642 Connected by ('127.0.0.1', 61213)
2024-06-09 15:58:18,644 Connected by ('127.0.0.1', 61215)
2024-06-09 15:58:23,654 Connected by ('127.0.0.1', 61229)
2024-06-09 15:58:23,655 Connected by ('127.0.0.1', 61231)
2024-06-09 15:58:28,667 Connected by ('127.0.0.1', 61245)
2024-06-09 15:58:28,668 Connected by ('127.0.0.1', 61246)
2024-06-09 15:58:33,683 Connected by ('127.0.0.1', 61261)
2024-06-09 15:58:33,684 Connected by ('127.0.0.1', 61262)
2024-06-09 15:58:38,688 Connected by ('127.0.0.1', 61277)
2024-06-09 15:58:38,693 Connected by ('127.0.0.1', 61280)
2024-06-09 15:58:43,693 Connected by ('127.0.0.1', 61293)
2024-06-09 15:58:43,694 Connected by ('127.0.0.1', 61294)
2024-06-09 15:58:48,703 Connected by ('127.0.0.1', 61308)
2024-06-09 15:58:48,704 Connected by ('127.0.0.1', 61310)
2024-06-09 15:58:53,709 Connected by ('127.0.0.1', 61324)
2024-06-09 15:58:53,709 Connected by ('127.0.0.1', 61325)
2024-06-09 15:58:58,724 Connected by ('127.0.0.1', 61340)
2024-06-09 15:58:58,725 Connected by ('127.0.0.1', 61343)
2024-06-09 15:59:03,737 Connected by ('127.0.0.1', 61358)
2024-06-09 15:59:03,737 Connected by ('127.0.0.1', 61359)
2024-06-09 15:59:08,748 Connected by ('127.0.0.1', 61375)
2024-06-09 15:59:08,749 Connected by ('127.0.0.1', 61377)
2024-06-09 15:59:13,758 Connected by ('127.0.0.1', 61391)
2024-06-09 15:59:13,759 Connected by ('127.0.0.1', 61392)
2024-06-09 15:59:18,765 Connected by ('127.0.0.1', 61407)
2024-06-09 15:59:18,766 Connected by ('127.0.0.1', 61409)
2024-06-09 15:59:23,778 Connected by ('127.0.0.1', 61423)
2024-06-09 15:59:23,778 Connected by ('127.0.0.1', 61424)
2024-06-09 15:59:28,790 Connected by ('127.0.0.1', 61439)
2024-06-09 15:59:28,790 Connected by ('127.0.0.1', 61440)
2024-06-09 15:59:33,795 Connected by ('127.0.0.1', 61455)
2024-06-09 15:59:33,796 Connected by ('127.0.0.1', 61456)
2024-06-09 15:59:38,801 Connected by ('127.0.0.1', 61471)
2024-06-09 15:59:38,802 Connected by ('127.0.0.1', 61472)
2024-06-09 15:59:43,817 Connected by ('127.0.0.1', 61487)
2024-06-09 15:59:43,818 Connected by ('127.0.0.1', 61488)
2024-06-09 15:59:48,828 Connected by ('127.0.0.1', 61503)
2024-06-09 15:59:48,829 Connected by ('127.0.0.1', 61505)
2024-06-09 15:59:53,838 Connected by ('127.0.0.1', 61518)
2024-06-09 15:59:53,838 Connected by ('127.0.0.1', 61519)
2024-06-09 15:59:58,849 Connected by ('127.0.0.1', 61534)
2024-06-09 15:59:58,850 Connected by ('127.0.0.1', 61535)
2024-06-09 16:00:03,864 Connected by ('127.0.0.1', 61550)
2024-06-09 16:00:03,866 Connected by ('127.0.0.1', 61552)
2024-06-09 16:00:08,871 Connected by ('127.0.0.1', 61566)
2024-06-09 16:00:08,872 Connected by ('127.0.0.1', 61567)
2024-06-09 16:00:13,885 Connected by ('127.0.0.1', 61582)
2024-06-09 16:00:13,885 Connected by ('127.0.0.1', 61583)
2024-06-09 16:00:18,899 Connected by ('127.0.0.1', 61598)
2024-06-09 16:00:18,900 Connected by ('127.0.0.1', 61600)
2024-06-09 16:00:23,915 Connected by ('127.0.0.1', 61614)
2024-06-09 16:00:23,916 Connected by ('127.0.0.1', 61616)
2024-06-09 16:00:28,921 Connected by ('127.0.0.1', 61630)
2024-06-09 16:00:28,922 Connected by ('127.0.0.1', 61631)
2024-06-09 16:00:33,933 Connected by ('127.0.0.1', 61646)
2024-06-09 16:00:33,933 Connected by ('127.0.0.1', 61647)
2024-06-09 16:00:38,952 Connected by ('127.0.0.1', 61662)
2024-06-09 16:00:38,952 Connected by ('127.0.0.1', 61664)
2024-06-09 16:00:43,955 Connected by ('127.0.0.1', 61679)
2024-06-09 16:00:43,956 Connected by ('127.0.0.1', 61678)
2024-06-09 16:00:48,969 Connected by ('127.0.0.1', 61694)
2024-06-09 16:00:48,969 Connected by ('127.0.0.1', 61695)
2024-06-09 16:00:53,976 Connected by ('127.0.0.1', 61710)
2024-06-09 16:00:53,977 Connected by ('127.0.0.1', 61711)
2024-06-09 16:00:58,987 Connected by ('127.0.0.1', 61725)
2024-06-09 16:00:58,988 Connected by ('127.0.0.1', 61727)
2024-06-09 16:01:04,005 Connected by ('127.0.0.1', 61741)
2024-06-09 16:01:04,006 Connected by ('127.0.0.1', 61743)
2024-06-09 16:01:09,014 Connected by ('127.0.0.1', 61757)
2024-06-09 16:01:09,015 Connected by ('127.0.0.1', 61759)
2024-06-09 16:01:14,030 Connected by ('127.0.0.1', 61773)
2024-06-09 16:01:14,031 Connected by ('127.0.0.1', 61775)
2024-06-09 16:01:19,041 Connected by ('127.0.0.1', 61789)
2024-06-09 16:01:19,043 Connected by ('127.0.0.1', 61790)
2024-06-09 16:01:24,046 Connected by ('127.0.0.1', 61805)
2024-06-09 16:01:24,047 Connected by ('127.0.0.1', 61807)
2024-06-09 16:01:29,054 Connected by ('127.0.0.1', 61821)
2024-06-09 16:01:29,057 Connected by ('127.0.0.1', 61823)
2024-06-09 16:01:34,059 Connected by ('127.0.0.1', 61837)
2024-06-09 16:01:34,060 Connected by ('127.0.0.1', 61839)
2024-06-09 16:01:39,072 Connected by ('127.0.0.1', 61853)
2024-06-09 16:01:39,072 Connected by ('127.0.0.1', 61855)
2024-06-09 16:01:44,081 Connected by ('127.0.0.1', 61870)
2024-06-09 16:01:44,082 Connected by ('127.0.0.1', 61869)
2024-06-09 16:01:49,090 Connected by ('127.0.0.1', 61888)
2024-06-09 16:01:49,090 Connected by ('127.0.0.1', 61890)
2024-06-09 16:01:54,097 Connected by ('127.0.0.1', 61904)
2024-06-09 16:01:54,098 Connected by ('127.0.0.1', 61905)
2024-06-09 16:01:59,102 Connected by ('127.0.0.1', 61920)
2024-06-09 16:01:59,102 Connected by ('127.0.0.1', 61922)
2024-06-09 16:02:04,106 Connected by ('127.0.0.1', 61935)
