2024-06-09 16:12:37,831 Order Router listening for connections
2024-06-09 16:12:41,175 Connected by ('127.0.0.1', 63818)
2024-06-09 16:12:46,187 Connected by ('127.0.0.1', 63834)
2024-06-09 16:12:51,192 Connected by ('127.0.0.1', 63850)
2024-06-09 16:12:56,204 Connected by ('127.0.0.1', 63865)
2024-06-09 16:13:01,207 Connected by ('127.0.0.1', 63881)
2024-06-09 16:13:06,224 Connected by ('127.0.0.1', 63897)
2024-06-09 16:13:11,238 Connected by ('127.0.0.1', 63913)
2024-06-09 16:13:16,251 Connected by ('127.0.0.1', 63929)
2024-06-09 16:13:21,255 Connected by ('127.0.0.1', 63945)
2024-06-09 16:13:26,264 Connected by ('127.0.0.1', 63961)
2024-06-09 16:13:31,279 Connected by ('127.0.0.1', 63977)
2024-06-09 16:13:36,283 Connected by ('127.0.0.1', 63993)
2024-06-09 16:13:41,289 Connected by ('127.0.0.1', 64009)
2024-06-09 16:13:46,302 Connected by ('127.0.0.1', 64025)
2024-06-09 16:13:51,305 Connected by ('127.0.0.1', 64041)
2024-06-09 16:13:56,320 Connected by ('127.0.0.1', 64057)
2024-06-09 16:14:01,330 Connected by ('127.0.0.1', 64074)
2024-06-09 16:14:06,347 Connected by ('127.0.0.1', 64090)
2024-06-09 16:14:11,356 Connected by ('127.0.0.1', 64106)
2024-06-09 16:14:16,366 Connected by ('127.0.0.1', 64121)
2024-06-09 16:14:21,375 Connected by ('127.0.0.1', 64137)
2024-06-09 16:14:26,390 Connected by ('127.0.0.1', 64153)
2024-06-09 16:14:31,404 Connected by ('127.0.0.1', 64169)
2024-06-09 16:14:36,410 Connected by ('127.0.0.1', 64185)
2024-06-09 16:14:41,413 Connected by ('127.0.0.1', 64201)
2024-06-09 16:14:46,416 Connected by ('127.0.0.1', 64224)
2024-06-09 16:14:51,423 Connected by ('127.0.0.1', 64240)
2024-06-09 16:14:56,436 Connected by ('127.0.0.1', 64256)
2024-06-09 16:15:01,452 Connected by ('127.0.0.1', 64272)
2024-06-09 16:15:06,466 Connected by ('127.0.0.1', 64288)
2024-06-09 16:15:11,475 Connected by ('127.0.0.1', 64304)
2024-06-09 16:15:16,489 Connected by ('127.0.0.1', 64320)
2024-06-09 16:15:21,501 Connected by ('127.0.0.1', 64338)
2024-06-09 16:15:26,507 Connected by ('127.0.0.1', 64353)
2024-06-09 16:15:31,522 Connected by ('127.0.0.1', 64369)
2024-06-09 16:15:36,541 Connected by ('127.0.0.1', 64385)
