2024-06-09 23:06:39,185 Market Simulator listening for connections
2024-06-09 23:06:41,265 Connected by ('127.0.0.1', 62601)
2024-06-09 23:06:41,267 Connected by ('127.0.0.1', 62602)
2024-06-09 23:06:41,268 Connected by ('127.0.0.1', 62603)
2024-06-09 23:06:46,281 Connected by ('127.0.0.1', 62616)
2024-06-09 23:06:46,283 Connected by ('127.0.0.1', 62618)
2024-06-09 23:06:46,284 Connected by ('127.0.0.1', 62619)
2024-06-09 23:06:51,287 Connected by ('127.0.0.1', 62632)
2024-06-09 23:06:51,289 Connected by ('127.0.0.1', 62633)
2024-06-09 23:06:51,291 Connected by ('127.0.0.1', 62635)
2024-06-09 23:06:56,300 Connected by ('127.0.0.1', 62647)
2024-06-09 23:06:56,307 Connected by ('127.0.0.1', 62649)
2024-06-09 23:06:56,308 Connected by ('127.0.0.1', 62650)
2024-06-09 23:07:01,318 Connected by ('127.0.0.1', 62663)
2024-06-09 23:07:01,320 Connected by ('127.0.0.1', 62665)
2024-06-09 23:07:01,321 Connected by ('127.0.0.1', 62666)
2024-06-09 23:07:06,330 Connected by ('127.0.0.1', 62679)
2024-06-09 23:07:06,332 Connected by ('127.0.0.1', 62681)
2024-06-09 23:07:06,333 Connected by ('127.0.0.1', 62682)
2024-06-09 23:07:11,348 Connected by ('127.0.0.1', 62696)
2024-06-09 23:07:11,349 Connected by ('127.0.0.1', 62697)
2024-06-09 23:07:11,351 Connected by ('127.0.0.1', 62698)
2024-06-09 23:07:16,366 Connected by ('127.0.0.1', 62711)
2024-06-09 23:07:16,368 Connected by ('127.0.0.1', 62712)
2024-06-09 23:07:16,375 Connected by ('127.0.0.1', 62714)
2024-06-09 23:07:21,378 Connected by ('127.0.0.1', 62727)
2024-06-09 23:07:21,379 Connected by ('127.0.0.1', 62729)
2024-06-09 23:07:21,382 Connected by ('127.0.0.1', 62730)
2024-06-09 23:07:26,384 Connected by ('127.0.0.1', 62744)
2024-06-09 23:07:26,386 Connected by ('127.0.0.1', 62745)
2024-06-09 23:07:26,386 Connected by ('127.0.0.1', 62746)
2024-06-09 23:07:31,402 Connected by ('127.0.0.1', 62760)
2024-06-09 23:07:31,404 Connected by ('127.0.0.1', 62761)
2024-06-09 23:07:31,405 Connected by ('127.0.0.1', 62762)
2024-06-09 23:07:36,415 Connected by ('127.0.0.1', 62775)
2024-06-09 23:07:36,416 Connected by ('127.0.0.1', 62776)
2024-06-09 23:07:36,419 Connected by ('127.0.0.1', 62778)
2024-06-09 23:07:41,436 Connected by ('127.0.0.1', 62792)
2024-06-09 23:07:41,438 Connected by ('127.0.0.1', 62793)
2024-06-09 23:07:41,441 Connected by ('127.0.0.1', 62794)
2024-06-09 23:07:46,447 Connected by ('127.0.0.1', 62808)
2024-06-09 23:07:46,450 Connected by ('127.0.0.1', 62809)
2024-06-09 23:07:46,450 Connected by ('127.0.0.1', 62810)
2024-06-09 23:07:51,469 Connected by ('127.0.0.1', 62823)
2024-06-09 23:07:51,471 Connected by ('127.0.0.1', 62825)
2024-06-09 23:07:51,473 Connected by ('127.0.0.1', 62826)
2024-06-09 23:07:56,476 Connected by ('127.0.0.1', 62839)
2024-06-09 23:07:56,478 Connected by ('127.0.0.1', 62841)
2024-06-09 23:07:56,480 Connected by ('127.0.0.1', 62842)
2024-06-09 23:08:01,485 Connected by ('127.0.0.1', 62856)
2024-06-09 23:08:01,487 Connected by ('127.0.0.1', 62857)
2024-06-09 23:08:01,488 Connected by ('127.0.0.1', 62858)
2024-06-09 23:08:06,498 Connected by ('127.0.0.1', 62872)
2024-06-09 23:08:06,500 Connected by ('127.0.0.1', 62873)
2024-06-09 23:08:06,502 Connected by ('127.0.0.1', 62874)
2024-06-09 23:08:11,519 Connected by ('127.0.0.1', 62887)
2024-06-09 23:08:11,521 Connected by ('127.0.0.1', 62889)
2024-06-09 23:08:11,523 Connected by ('127.0.0.1', 62890)
2024-06-09 23:08:16,535 Connected by ('127.0.0.1', 62903)
2024-06-09 23:08:16,537 Connected by ('127.0.0.1', 62905)
2024-06-09 23:08:16,539 Connected by ('127.0.0.1', 62906)
2024-06-09 23:08:21,553 Connected by ('127.0.0.1', 62919)
2024-06-09 23:08:21,555 Connected by ('127.0.0.1', 62921)
2024-06-09 23:08:21,556 Connected by ('127.0.0.1', 62922)
2024-06-09 23:08:26,561 Connected by ('127.0.0.1', 62935)
2024-06-09 23:08:26,563 Connected by ('127.0.0.1', 62937)
2024-06-09 23:08:26,565 Connected by ('127.0.0.1', 62938)
2024-06-09 23:08:31,568 Connected by ('127.0.0.1', 62951)
2024-06-09 23:08:31,569 Connected by ('127.0.0.1', 62953)
2024-06-09 23:08:31,570 Connected by ('127.0.0.1', 62954)
2024-06-09 23:08:36,582 Connected by ('127.0.0.1', 62967)
2024-06-09 23:08:36,584 Connected by ('127.0.0.1', 62969)
2024-06-09 23:08:36,586 Connected by ('127.0.0.1', 62970)
2024-06-09 23:08:41,590 Connected by ('127.0.0.1', 62984)
2024-06-09 23:08:41,591 Connected by ('127.0.0.1', 62985)
2024-06-09 23:08:41,592 Connected by ('127.0.0.1', 62986)
2024-06-09 23:08:46,607 Connected by ('127.0.0.1', 62999)
2024-06-09 23:08:46,610 Connected by ('127.0.0.1', 63001)
2024-06-09 23:08:46,611 Connected by ('127.0.0.1', 63002)
2024-06-09 23:08:51,615 Connected by ('127.0.0.1', 63016)
2024-06-09 23:08:51,616 Connected by ('127.0.0.1', 63017)
2024-06-09 23:08:51,617 Connected by ('127.0.0.1', 63018)
2024-06-09 23:08:56,625 Connected by ('127.0.0.1', 63032)
2024-06-09 23:08:56,626 Connected by ('127.0.0.1', 63033)
2024-06-09 23:08:56,627 Connected by ('127.0.0.1', 63034)
2024-06-09 23:09:01,643 Connected by ('127.0.0.1', 63048)
2024-06-09 23:09:01,644 Connected by ('127.0.0.1', 63049)
2024-06-09 23:09:01,645 Connected by ('127.0.0.1', 63050)
2024-06-09 23:09:06,655 Connected by ('127.0.0.1', 63062)
