2024-06-11 22:05:39,623 Market Simulator listening for connections
2024-06-11 22:05:42,474 Connected by ('127.0.0.1', 60226)
2024-06-11 22:05:42,475 Connected by ('127.0.0.1', 60227)
2024-06-11 22:05:42,476 Connected by ('127.0.0.1', 60228)
2024-06-11 22:05:48,508 Connected by ('127.0.0.1', 60244)
2024-06-11 22:05:48,510 Connected by ('127.0.0.1', 60245)
2024-06-11 22:05:48,511 Connected by ('127.0.0.1', 60246)
2024-06-11 22:05:54,524 Connected by ('127.0.0.1', 60262)
2024-06-11 22:05:54,524 Connected by ('127.0.0.1', 60263)
2024-06-11 22:05:54,525 Connected by ('127.0.0.1', 60264)
2024-06-11 22:05:59,549 Connected by ('127.0.0.1', 60278)
2024-06-11 22:05:59,555 Connected by ('127.0.0.1', 60279)
2024-06-11 22:05:59,555 Connected by ('127.0.0.1', 60280)
2024-06-11 22:06:05,560 Connected by ('127.0.0.1', 60300)
2024-06-11 22:06:05,561 Connected by ('127.0.0.1', 60301)
2024-06-11 22:06:05,561 Connected by ('127.0.0.1', 60302)
2024-06-11 22:06:11,577 Connected by ('127.0.0.1', 60317)
2024-06-11 22:06:11,577 Connected by ('127.0.0.1', 60318)
2024-06-11 22:06:11,578 Connected by ('127.0.0.1', 60319)
2024-06-11 22:06:17,594 Connected by ('127.0.0.1', 60335)
2024-06-11 22:06:17,595 Connected by ('127.0.0.1', 60336)
2024-06-11 22:06:17,595 Connected by ('127.0.0.1', 60337)
2024-06-11 22:06:22,635 Connected by ('127.0.0.1', 60350)
2024-06-11 22:06:22,635 Connected by ('127.0.0.1', 60351)
2024-06-11 22:06:22,640 Connected by ('127.0.0.1', 60353)
2024-06-11 22:06:28,651 Connected by ('127.0.0.1', 60370)
2024-06-11 22:06:28,651 Connected by ('127.0.0.1', 60369)
2024-06-11 22:06:28,652 Connected by ('127.0.0.1', 60371)
2024-06-11 22:06:34,669 Connected by ('127.0.0.1', 60387)
2024-06-11 22:06:34,670 Connected by ('127.0.0.1', 60388)
2024-06-11 22:06:34,671 Connected by ('127.0.0.1', 60389)
2024-06-11 22:06:40,687 Connected by ('127.0.0.1', 60405)
2024-06-11 22:06:40,688 Connected by ('127.0.0.1', 60406)
2024-06-11 22:06:40,689 Connected by ('127.0.0.1', 60407)
2024-06-11 22:06:45,715 Connected by ('127.0.0.1', 60421)
2024-06-11 22:06:45,716 Connected by ('127.0.0.1', 60422)
2024-06-11 22:06:45,717 Connected by ('127.0.0.1', 60423)
2024-06-11 22:06:50,738 Connected by ('127.0.0.1', 60437)
2024-06-11 22:06:50,739 Connected by ('127.0.0.1', 60438)
2024-06-11 22:06:50,740 Connected by ('127.0.0.1', 60439)
2024-06-11 22:06:56,765 Connected by ('127.0.0.1', 60455)
2024-06-11 22:06:56,765 Connected by ('127.0.0.1', 60456)
2024-06-11 22:06:56,766 Connected by ('127.0.0.1', 60457)
2024-06-11 22:07:01,788 Connected by ('127.0.0.1', 60471)
2024-06-11 22:07:01,790 Connected by ('127.0.0.1', 60472)
