2024-06-11 21:49:17,791 FIX Engine listening for connections
2024-06-11 21:49:17,891 Connected by ('127.0.0.1', 57052)
2024-06-11 21:49:17,892 Connected by ('127.0.0.1', 57053)
2024-06-11 21:49:22,900 Connected by ('127.0.0.1', 57068)
2024-06-11 21:49:22,901 Connected by ('127.0.0.1', 57069)
2024-06-11 21:49:27,912 Connected by ('127.0.0.1', 57084)
2024-06-11 21:49:27,913 Connected by ('127.0.0.1', 57085)
2024-06-11 21:49:32,928 Connected by ('127.0.0.1', 57100)
2024-06-11 21:49:32,929 Connected by ('127.0.0.1', 57101)
2024-06-11 21:49:37,945 Connected by ('127.0.0.1', 57116)
2024-06-11 21:49:37,947 Connected by ('127.0.0.1', 57117)
2024-06-11 21:49:42,967 Connected by ('127.0.0.1', 57133)
2024-06-11 21:49:42,968 Connected by ('127.0.0.1', 57134)
2024-06-11 21:49:47,986 Connected by ('127.0.0.1', 57149)
2024-06-11 21:49:47,987 Connected by ('127.0.0.1', 57150)
2024-06-11 21:49:53,005 Connected by ('127.0.0.1', 57165)
2024-06-11 21:49:53,006 Connected by ('127.0.0.1', 57166)
2024-06-11 21:49:58,017 Connected by ('127.0.0.1', 57180)
2024-06-11 21:49:58,023 Connected by ('127.0.0.1', 57183)
2024-06-11 21:50:03,032 Connected by ('127.0.0.1', 57198)
2024-06-11 21:50:03,035 Connected by ('127.0.0.1', 57199)
2024-06-11 21:50:08,061 Connected by ('127.0.0.1', 57218)
2024-06-11 21:50:08,063 Connected by ('127.0.0.1', 57219)
2024-06-11 21:50:13,085 Connected by ('127.0.0.1', 57234)
2024-06-11 21:50:13,086 Connected by ('127.0.0.1', 57235)
2024-06-11 21:50:18,105 Connected by ('127.0.0.1', 57250)
2024-06-11 21:50:18,106 Connected by ('127.0.0.1', 57251)
2024-06-11 21:50:23,125 Connected by ('127.0.0.1', 57267)
2024-06-11 21:50:23,126 Connected by ('127.0.0.1', 57266)
