2024-07-02 23:44:58,107 FIX Engine listening for connections
2024-07-02 23:49:27,009 Connected by ('127.0.0.1', 62236)
2024-07-02 23:49:33,035 Connected by ('127.0.0.1', 62253)
2024-07-02 23:49:33,035 Connected by ('127.0.0.1', 62254)
2024-07-02 23:49:39,063 Connected by ('127.0.0.1', 62271)
2024-07-02 23:49:39,064 Connected by ('127.0.0.1', 62272)
2024-07-02 23:49:44,103 Connected by ('127.0.0.1', 62287)
2024-07-02 23:49:44,103 Connected by ('127.0.0.1', 62288)
2024-07-02 23:49:50,124 Connected by ('127.0.0.1', 62305)
2024-07-02 23:49:50,124 Connected by ('127.0.0.1', 62306)
2024-07-02 23:49:56,141 Connected by ('127.0.0.1', 62323)
2024-07-02 23:49:56,142 Connected by ('127.0.0.1', 62324)
2024-07-02 23:50:02,156 Connected by ('127.0.0.1', 62340)
2024-07-02 23:50:02,157 Connected by ('127.0.0.1', 62341)
2024-07-02 23:50:08,166 Connected by ('127.0.0.1', 62361)
2024-07-02 23:50:08,167 Connected by ('127.0.0.1', 62360)
2024-07-02 23:50:14,179 Connected by ('127.0.0.1', 62379)
2024-07-02 23:50:14,180 Connected by ('127.0.0.1', 62380)
2024-07-02 23:50:19,245 Connected by ('127.0.0.1', 62396)
2024-07-02 23:50:19,246 Connected by ('127.0.0.1', 62397)
2024-07-02 23:50:24,269 Connected by ('127.0.0.1', 62413)
2024-07-02 23:50:24,270 Connected by ('127.0.0.1', 62414)
2024-07-02 23:50:29,300 Connected by ('127.0.0.1', 62429)
2024-07-02 23:50:29,301 Connected by ('127.0.0.1', 62430)
2024-07-02 23:50:34,332 Connected by ('127.0.0.1', 62445)
2024-07-02 23:50:34,333 Connected by ('127.0.0.1', 62446)
2024-07-02 23:50:40,358 Connected by ('127.0.0.1', 62485)
2024-07-02 23:50:40,359 Connected by ('127.0.0.1', 62486)
2024-07-02 23:50:46,384 Connected by ('127.0.0.1', 62503)
2024-07-02 23:50:46,385 Connected by ('127.0.0.1', 62504)
2024-07-02 23:50:52,398 Connected by ('127.0.0.1', 62521)
2024-07-02 23:50:52,399 Connected by ('127.0.0.1', 62522)
2024-07-02 23:50:57,429 Connected by ('127.0.0.1', 62537)
2024-07-02 23:50:57,430 Connected by ('127.0.0.1', 62538)
2024-07-02 23:51:02,448 Connected by ('127.0.0.1', 62553)
2024-07-02 23:51:02,448 Connected by ('127.0.0.1', 62554)
2024-07-02 23:51:07,479 Connected by ('127.0.0.1', 62569)
