2024-06-10 22:49:05,323 Order Router listening for connections
2024-06-10 22:49:08,486 Connected by ('127.0.0.1', 50194)
2024-06-10 22:49:13,484 Connected by ('127.0.0.1', 50200)
2024-06-10 22:49:18,497 Connected by ('127.0.0.1', 50206)
2024-06-10 22:49:23,514 Connected by ('127.0.0.1', 50212)
2024-06-10 22:49:28,517 Connected by ('127.0.0.1', 50219)
2024-06-10 22:49:33,531 Connected by ('127.0.0.1', 50225)
2024-06-10 22:49:38,546 Connected by ('127.0.0.1', 50231)
2024-06-10 22:49:43,563 Connected by ('127.0.0.1', 50237)
2024-06-10 22:49:48,571 Connected by ('127.0.0.1', 50243)
2024-06-10 22:49:53,576 Connected by ('127.0.0.1', 50249)
2024-06-10 22:49:58,591 Connected by ('127.0.0.1', 50255)
2024-06-10 22:50:03,602 Connected by ('127.0.0.1', 50261)
2024-06-10 22:50:08,611 Connected by ('127.0.0.1', 50267)
2024-06-10 22:50:13,623 Connected by ('127.0.0.1', 50274)
2024-06-10 22:50:18,635 Connected by ('127.0.0.1', 50280)
2024-06-10 22:50:23,650 Connected by ('127.0.0.1', 50286)
2024-06-10 22:50:28,655 Connected by ('127.0.0.1', 50292)
2024-06-10 22:50:33,671 Connected by ('127.0.0.1', 50298)
2024-06-10 22:50:38,676 Connected by ('127.0.0.1', 50304)
2024-06-10 22:50:43,682 Connected by ('127.0.0.1', 50310)
2024-06-10 22:50:48,702 Connected by ('127.0.0.1', 50316)
2024-06-10 22:50:53,714 Connected by ('127.0.0.1', 50322)
2024-06-10 22:50:58,728 Connected by ('127.0.0.1', 50328)
2024-06-10 22:51:03,734 Connected by ('127.0.0.1', 50334)
2024-06-10 22:51:08,751 Connected by ('127.0.0.1', 50340)
2024-06-10 22:51:13,760 Connected by ('127.0.0.1', 50346)
2024-06-10 22:51:18,767 Connected by ('127.0.0.1', 50352)
2024-06-10 22:51:23,780 Connected by ('127.0.0.1', 50358)
2024-06-10 22:51:28,794 Connected by ('127.0.0.1', 50364)
2024-06-10 22:51:33,798 Connected by ('127.0.0.1', 50370)
2024-06-10 22:51:38,815 Connected by ('127.0.0.1', 50376)
2024-06-10 22:51:43,831 Connected by ('127.0.0.1', 50382)
2024-06-10 22:51:48,844 Connected by ('127.0.0.1', 50388)
2024-06-10 22:51:53,860 Connected by ('127.0.0.1', 50394)
2024-06-10 22:51:58,879 Connected by ('127.0.0.1', 50400)
2024-06-10 22:52:03,892 Connected by ('127.0.0.1', 50406)
2024-06-10 22:52:08,905 Connected by ('127.0.0.1', 50412)
2024-06-10 22:52:13,920 Connected by ('127.0.0.1', 50418)
2024-06-10 22:52:18,929 Connected by ('127.0.0.1', 50424)
2024-06-10 22:52:23,935 Connected by ('127.0.0.1', 50431)
2024-06-10 22:52:28,950 Connected by ('127.0.0.1', 50437)
2024-06-10 22:52:33,966 Connected by ('127.0.0.1', 50443)
2024-06-10 22:52:38,986 Connected by ('127.0.0.1', 50449)
2024-06-10 22:52:43,990 Connected by ('127.0.0.1', 50455)
2024-06-10 22:52:49,002 Connected by ('127.0.0.1', 50462)
2024-06-10 22:52:54,019 Connected by ('127.0.0.1', 50468)
2024-06-10 22:52:59,032 Connected by ('127.0.0.1', 50475)
2024-06-10 22:53:04,036 Connected by ('127.0.0.1', 50481)
2024-06-10 22:53:09,047 Connected by ('127.0.0.1', 50487)
2024-06-10 22:53:14,057 Connected by ('127.0.0.1', 50493)
2024-06-10 22:53:19,061 Connected by ('127.0.0.1', 50499)
2024-06-10 22:53:24,078 Connected by ('127.0.0.1', 50505)
2024-06-10 22:53:29,096 Connected by ('127.0.0.1', 50511)
2024-06-10 22:53:34,107 Connected by ('127.0.0.1', 50517)
2024-06-10 22:53:39,127 Connected by ('127.0.0.1', 50523)
2024-06-10 22:53:44,137 Connected by ('127.0.0.1', 50529)
2024-06-10 22:53:49,154 Connected by ('127.0.0.1', 50535)
2024-06-10 22:53:54,165 Connected by ('127.0.0.1', 50541)
2024-06-10 22:53:59,181 Connected by ('127.0.0.1', 50547)
2024-06-10 22:54:04,187 Connected by ('127.0.0.1', 50553)
2024-06-10 22:54:09,199 Connected by ('127.0.0.1', 50559)
2024-06-10 22:54:14,211 Connected by ('127.0.0.1', 50565)
2024-06-10 22:54:19,214 Connected by ('127.0.0.1', 50571)
