2024-06-07 00:24:28,051 FIX Engine listening for connections
2024-06-07 00:24:28,189 Connected by ('127.0.0.1', 56210)
2024-06-07 00:24:28,190 Connected by ('127.0.0.1', 56211)
2024-06-07 00:24:28,193 Connected by ('127.0.0.1', 56216)
2024-06-07 00:24:28,194 Connected by ('127.0.0.1', 56217)
2024-06-07 00:24:33,199 Connected by ('127.0.0.1', 56232)
2024-06-07 00:24:33,201 Connected by ('127.0.0.1', 56234)
2024-06-07 00:24:38,215 Connected by ('127.0.0.1', 56248)
2024-06-07 00:24:38,216 Connected by ('127.0.0.1', 56249)
2024-06-07 00:24:43,223 Connected by ('127.0.0.1', 56264)
2024-06-07 00:24:43,225 Connected by ('127.0.0.1', 56266)
2024-06-07 00:24:48,237 Connected by ('127.0.0.1', 56280)
2024-06-07 00:24:48,240 Connected by ('127.0.0.1', 56282)
2024-06-07 00:24:53,250 Connected by ('127.0.0.1', 56296)
2024-06-07 00:24:53,251 Connected by ('127.0.0.1', 56297)
2024-06-07 00:24:58,260 Connected by ('127.0.0.1', 56311)
2024-06-07 00:24:58,261 Connected by ('127.0.0.1', 56313)
2024-06-07 00:25:03,267 Connected by ('127.0.0.1', 56327)
2024-06-07 00:25:03,273 Connected by ('127.0.0.1', 56330)
2024-06-07 00:25:08,285 Connected by ('127.0.0.1', 56343)
2024-06-07 00:25:08,287 Connected by ('127.0.0.1', 56345)
2024-06-07 00:25:13,294 Connected by ('127.0.0.1', 56359)
2024-06-07 00:25:13,299 Connected by ('127.0.0.1', 56361)
2024-06-07 00:25:18,326 Connected by ('127.0.0.1', 56375)
2024-06-07 00:25:18,332 Connected by ('127.0.0.1', 56378)
2024-06-07 00:25:23,332 Connected by ('127.0.0.1', 56391)
2024-06-07 00:25:23,335 Connected by ('127.0.0.1', 56393)
2024-06-07 00:25:28,340 Connected by ('127.0.0.1', 56407)
2024-06-07 00:25:28,342 Connected by ('127.0.0.1', 56409)
2024-06-07 00:25:33,349 Connected by ('127.0.0.1', 56423)
2024-06-07 00:25:33,351 Connected by ('127.0.0.1', 56425)
2024-06-07 00:25:38,359 Connected by ('127.0.0.1', 56439)
2024-06-07 00:25:38,360 Connected by ('127.0.0.1', 56441)
2024-06-07 00:25:43,367 Connected by ('127.0.0.1', 56455)
2024-06-07 00:25:43,369 Connected by ('127.0.0.1', 56456)
2024-06-07 00:25:48,383 Connected by ('127.0.0.1', 56475)
2024-06-07 00:25:48,385 Connected by ('127.0.0.1', 56476)
2024-06-07 00:25:53,403 Connected by ('127.0.0.1', 56491)
2024-06-07 00:25:53,404 Connected by ('127.0.0.1', 56492)
2024-06-07 00:25:58,412 Connected by ('127.0.0.1', 56507)
2024-06-07 00:25:58,414 Connected by ('127.0.0.1', 56508)
2024-06-07 00:26:03,432 Connected by ('127.0.0.1', 56523)
2024-06-07 00:26:03,434 Connected by ('127.0.0.1', 56525)
2024-06-07 00:26:08,444 Connected by ('127.0.0.1', 56539)
2024-06-07 00:26:08,445 Connected by ('127.0.0.1', 56540)
2024-06-07 00:26:13,448 Connected by ('127.0.0.1', 56554)
2024-06-07 00:26:13,449 Connected by ('127.0.0.1', 56555)
2024-06-07 00:26:18,456 Connected by ('127.0.0.1', 56570)
2024-06-07 00:26:18,458 Connected by ('127.0.0.1', 56571)
2024-06-07 00:26:23,470 Connected by ('127.0.0.1', 56586)
2024-06-07 00:26:23,472 Connected by ('127.0.0.1', 56587)
2024-06-07 00:26:28,477 Connected by ('127.0.0.1', 56602)
2024-06-07 00:26:28,479 Connected by ('127.0.0.1', 56603)
2024-06-07 00:26:33,495 Connected by ('127.0.0.1', 56618)
2024-06-07 00:26:33,496 Connected by ('127.0.0.1', 56619)
2024-06-07 00:26:38,502 Connected by ('127.0.0.1', 56634)
2024-06-07 00:26:38,503 Connected by ('127.0.0.1', 56635)
2024-06-07 00:26:43,515 Connected by ('127.0.0.1', 56650)
2024-06-07 00:26:43,517 Connected by ('127.0.0.1', 56651)
2024-06-07 00:26:48,532 Connected by ('127.0.0.1', 56667)
2024-06-07 00:26:48,533 Connected by ('127.0.0.1', 56668)
2024-06-07 00:26:53,552 Connected by ('127.0.0.1', 56683)
2024-06-07 00:26:53,554 Connected by ('127.0.0.1', 56684)
2024-06-07 00:26:58,568 Connected by ('127.0.0.1', 56700)
2024-06-07 00:26:58,569 Connected by ('127.0.0.1', 56701)
2024-06-07 00:27:03,573 Connected by ('127.0.0.1', 56716)
2024-06-07 00:27:03,574 Connected by ('127.0.0.1', 56717)
2024-06-07 00:27:08,591 Connected by ('127.0.0.1', 56732)
2024-06-07 00:27:08,592 Connected by ('127.0.0.1', 56733)
2024-06-07 00:27:13,607 Connected by ('127.0.0.1', 56748)
2024-06-07 00:27:13,608 Connected by ('127.0.0.1', 56749)
2024-06-07 00:27:18,622 Connected by ('127.0.0.1', 56763)
2024-06-07 00:27:18,623 Connected by ('127.0.0.1', 56764)
2024-06-07 00:27:23,636 Connected by ('127.0.0.1', 56779)
2024-06-07 00:27:23,639 Connected by ('127.0.0.1', 56781)
2024-06-07 00:27:28,653 Connected by ('127.0.0.1', 56795)
2024-06-07 00:27:28,655 Connected by ('127.0.0.1', 56796)
2024-06-07 00:27:33,669 Connected by ('127.0.0.1', 56811)
2024-06-07 00:27:33,671 Connected by ('127.0.0.1', 56812)
2024-06-07 00:27:38,676 Connected by ('127.0.0.1', 56827)
2024-06-07 00:27:38,677 Connected by ('127.0.0.1', 56828)
2024-06-07 00:27:43,696 Connected by ('127.0.0.1', 56843)
2024-06-07 00:27:43,698 Connected by ('127.0.0.1', 56844)
2024-06-07 00:27:48,704 Connected by ('127.0.0.1', 56859)
2024-06-07 00:27:48,706 Connected by ('127.0.0.1', 56860)
2024-06-07 00:27:53,716 Connected by ('127.0.0.1', 56882)
2024-06-07 00:27:53,717 Connected by ('127.0.0.1', 56884)
2024-06-07 00:27:58,728 Connected by ('127.0.0.1', 56899)
2024-06-07 00:27:58,729 Connected by ('127.0.0.1', 56900)
2024-06-07 00:28:03,735 Connected by ('127.0.0.1', 56921)
