2024-06-09 23:06:32,918 Order Router listening for connections
2024-06-09 23:06:36,255 Connected by ('127.0.0.1', 62581)
2024-06-09 23:06:41,263 Connected by ('127.0.0.1', 62598)
2024-06-09 23:06:46,279 Connected by ('127.0.0.1', 62614)
2024-06-09 23:06:51,285 Connected by ('127.0.0.1', 62630)
2024-06-09 23:06:56,298 Connected by ('127.0.0.1', 62645)
2024-06-09 23:07:01,316 Connected by ('127.0.0.1', 62661)
2024-06-09 23:07:06,327 Connected by ('127.0.0.1', 62677)
2024-06-09 23:07:11,342 Connected by ('127.0.0.1', 62693)
2024-06-09 23:07:16,362 Connected by ('127.0.0.1', 62709)
2024-06-09 23:07:21,374 Connected by ('127.0.0.1', 62725)
2024-06-09 23:07:26,380 Connected by ('127.0.0.1', 62741)
2024-06-09 23:07:31,398 Connected by ('127.0.0.1', 62757)
2024-06-09 23:07:36,413 Connected by ('127.0.0.1', 62773)
2024-06-09 23:07:41,428 Connected by ('127.0.0.1', 62789)
2024-06-09 23:07:46,445 Connected by ('127.0.0.1', 62805)
2024-06-09 23:07:51,465 Connected by ('127.0.0.1', 62821)
2024-06-09 23:07:56,471 Connected by ('127.0.0.1', 62837)
2024-06-09 23:08:01,480 Connected by ('127.0.0.1', 62853)
2024-06-09 23:08:06,493 Connected by ('127.0.0.1', 62869)
2024-06-09 23:08:11,515 Connected by ('127.0.0.1', 62885)
2024-06-09 23:08:16,531 Connected by ('127.0.0.1', 62901)
2024-06-09 23:08:21,551 Connected by ('127.0.0.1', 62917)
2024-06-09 23:08:26,558 Connected by ('127.0.0.1', 62933)
2024-06-09 23:08:31,565 Connected by ('127.0.0.1', 62949)
2024-06-09 23:08:36,578 Connected by ('127.0.0.1', 62965)
2024-06-09 23:08:41,587 Connected by ('127.0.0.1', 62981)
2024-06-09 23:08:46,602 Connected by ('127.0.0.1', 62997)
2024-06-09 23:08:51,612 Connected by ('127.0.0.1', 63013)
2024-06-09 23:08:56,622 Connected by ('127.0.0.1', 63029)
2024-06-09 23:09:01,640 Connected by ('127.0.0.1', 63045)
2024-06-09 23:09:06,653 Connected by ('127.0.0.1', 63060)
2024-06-09 23:09:11,660 Connected by ('127.0.0.1', 63076)
2024-06-09 23:09:16,666 Connected by ('127.0.0.1', 63092)
2024-06-09 23:09:21,670 Connected by ('127.0.0.1', 63109)
2024-06-09 23:09:26,684 Connected by ('127.0.0.1', 63125)
2024-06-09 23:09:31,698 Connected by ('127.0.0.1', 63142)
2024-06-09 23:09:36,703 Connected by ('127.0.0.1', 63158)
2024-06-09 23:09:41,711 Connected by ('127.0.0.1', 63174)
2024-06-09 23:09:46,722 Connected by ('127.0.0.1', 63190)
2024-06-09 23:09:51,731 Connected by ('127.0.0.1', 63206)
2024-06-09 23:09:56,738 Connected by ('127.0.0.1', 63222)
2024-06-09 23:10:01,749 Connected by ('127.0.0.1', 63238)
2024-06-09 23:10:06,762 Connected by ('127.0.0.1', 63254)
2024-06-09 23:10:11,772 Connected by ('127.0.0.1', 63269)
2024-06-09 23:10:16,778 Connected by ('127.0.0.1', 63285)
2024-06-09 23:10:21,793 Connected by ('127.0.0.1', 63301)
2024-06-09 23:10:26,805 Connected by ('127.0.0.1', 63317)
2024-06-09 23:10:31,824 Connected by ('127.0.0.1', 63333)
2024-06-09 23:10:36,843 Connected by ('127.0.0.1', 63349)
2024-06-09 23:10:41,853 Connected by ('127.0.0.1', 63365)
2024-06-09 23:10:46,865 Connected by ('127.0.0.1', 63381)
2024-06-09 23:10:51,878 Connected by ('127.0.0.1', 63397)
2024-06-09 23:10:56,894 Connected by ('127.0.0.1', 63414)
2024-06-09 23:11:01,898 Connected by ('127.0.0.1', 63430)
2024-06-09 23:11:06,916 Connected by ('127.0.0.1', 63447)
