2024-06-09 15:28:22,835 Order Router listening for connections
2024-06-09 15:28:25,866 Connected by ('127.0.0.1', 55474)
2024-06-09 15:28:30,879 Connected by ('127.0.0.1', 55490)
2024-06-09 15:28:35,894 Connected by ('127.0.0.1', 55506)
2024-06-09 15:28:40,909 Connected by ('127.0.0.1', 55522)
2024-06-09 15:28:45,917 Connected by ('127.0.0.1', 55538)
2024-06-09 15:28:50,926 Connected by ('127.0.0.1', 55554)
2024-06-09 15:28:55,940 Connected by ('127.0.0.1', 55570)
2024-06-09 15:29:00,957 Connected by ('127.0.0.1', 55588)
2024-06-09 15:29:05,965 Connected by ('127.0.0.1', 55604)
2024-06-09 15:29:10,970 Connected by ('127.0.0.1', 55620)
2024-06-09 15:29:15,987 Connected by ('127.0.0.1', 55635)
2024-06-09 15:29:20,991 Connected by ('127.0.0.1', 55651)
2024-06-09 15:29:26,005 Connected by ('127.0.0.1', 55667)
2024-06-09 15:29:31,008 Connected by ('127.0.0.1', 55683)
2024-06-09 15:29:36,013 Connected by ('127.0.0.1', 55700)
2024-06-09 15:29:41,028 Connected by ('127.0.0.1', 55716)
2024-06-09 15:29:46,043 Connected by ('127.0.0.1', 55732)
2024-06-09 15:29:51,054 Connected by ('127.0.0.1', 55748)
2024-06-09 15:29:56,066 Connected by ('127.0.0.1', 55764)
2024-06-09 15:30:01,069 Connected by ('127.0.0.1', 55780)
2024-06-09 15:30:06,074 Connected by ('127.0.0.1', 55796)
2024-06-09 15:30:11,083 Connected by ('127.0.0.1', 55812)
2024-06-09 15:30:16,103 Connected by ('127.0.0.1', 55827)
2024-06-09 15:30:21,119 Connected by ('127.0.0.1', 55843)
2024-06-09 15:30:26,124 Connected by ('127.0.0.1', 55859)
2024-06-09 15:30:31,135 Connected by ('127.0.0.1', 55875)
2024-06-09 15:30:36,144 Connected by ('127.0.0.1', 55891)
2024-06-09 15:30:41,148 Connected by ('127.0.0.1', 55907)
2024-06-09 15:30:46,156 Connected by ('127.0.0.1', 55923)
