2024-06-10 19:53:27,257 Market Simulator listening for connections
2024-06-10 19:53:29,529 Connected by ('127.0.0.1', 49701)
2024-06-10 19:53:29,532 Connected by ('127.0.0.1', 49703)
2024-06-10 19:53:29,535 Connected by ('127.0.0.1', 49704)
2024-06-10 19:53:34,542 Connected by ('127.0.0.1', 49707)
2024-06-10 19:53:34,545 Connected by ('127.0.0.1', 49709)
2024-06-10 19:53:34,547 Connected by ('127.0.0.1', 49710)
2024-06-10 19:53:39,557 Connected by ('127.0.0.1', 49713)
2024-06-10 19:53:39,559 Connected by ('127.0.0.1', 49716)
2024-06-10 19:53:39,560 Connected by ('127.0.0.1', 49717)
2024-06-10 19:53:44,565 Connected by ('127.0.0.1', 49721)
2024-06-10 19:53:44,567 Connected by ('127.0.0.1', 49722)
2024-06-10 19:53:44,567 Connected by ('127.0.0.1', 49724)
2024-06-10 19:53:49,571 Connected by ('127.0.0.1', 49727)
2024-06-10 19:53:49,572 Connected by ('127.0.0.1', 49729)
2024-06-10 19:53:49,573 Connected by ('127.0.0.1', 49730)
2024-06-10 19:53:54,579 Connected by ('127.0.0.1', 49734)
2024-06-10 19:53:54,580 Connected by ('127.0.0.1', 49735)
2024-06-10 19:53:54,581 Connected by ('127.0.0.1', 49736)
2024-06-10 19:53:59,594 Connected by ('127.0.0.1', 49740)
2024-06-10 19:53:59,595 Connected by ('127.0.0.1', 49741)
2024-06-10 19:53:59,596 Connected by ('127.0.0.1', 49742)
2024-06-10 19:54:04,611 Connected by ('127.0.0.1', 49745)
2024-06-10 19:54:04,612 Connected by ('127.0.0.1', 49746)
2024-06-10 19:54:04,617 Connected by ('127.0.0.1', 49748)
2024-06-10 19:54:09,634 Connected by ('127.0.0.1', 49752)
2024-06-10 19:54:09,635 Connected by ('127.0.0.1', 49753)
2024-06-10 19:54:09,636 Connected by ('127.0.0.1', 49754)
2024-06-10 19:54:14,648 Connected by ('127.0.0.1', 49758)
2024-06-10 19:54:14,649 Connected by ('127.0.0.1', 49759)
2024-06-10 19:54:14,652 Connected by ('127.0.0.1', 49760)
2024-06-10 19:54:19,668 Connected by ('127.0.0.1', 49764)
2024-06-10 19:54:19,670 Connected by ('127.0.0.1', 49765)
2024-06-10 19:54:19,672 Connected by ('127.0.0.1', 49766)
2024-06-10 19:54:24,678 Connected by ('127.0.0.1', 49770)
2024-06-10 19:54:24,679 Connected by ('127.0.0.1', 49772)
2024-06-10 19:54:24,682 Connected by ('127.0.0.1', 49773)
2024-06-10 19:54:29,696 Connected by ('127.0.0.1', 49776)
2024-06-10 19:54:29,697 Connected by ('127.0.0.1', 49778)
2024-06-10 19:54:29,699 Connected by ('127.0.0.1', 49779)
2024-06-10 19:54:34,706 Connected by ('127.0.0.1', 49783)
2024-06-10 19:54:34,708 Connected by ('127.0.0.1', 49784)
2024-06-10 19:54:34,709 Connected by ('127.0.0.1', 49785)
2024-06-10 19:54:39,714 Connected by ('127.0.0.1', 49789)
2024-06-10 19:54:39,715 Connected by ('127.0.0.1', 49790)
2024-06-10 19:54:39,716 Connected by ('127.0.0.1', 49791)
2024-06-10 19:54:44,723 Connected by ('127.0.0.1', 49795)
2024-06-10 19:54:44,723 Connected by ('127.0.0.1', 49796)
2024-06-10 19:54:44,724 Connected by ('127.0.0.1', 49797)
2024-06-10 19:54:49,739 Connected by ('127.0.0.1', 49802)
2024-06-10 19:54:49,740 Connected by ('127.0.0.1', 49803)
2024-06-10 19:54:49,740 Connected by ('127.0.0.1', 49804)
2024-06-10 19:54:54,760 Connected by ('127.0.0.1', 49808)
2024-06-10 19:54:54,762 Connected by ('127.0.0.1', 49809)
2024-06-10 19:54:54,763 Connected by ('127.0.0.1', 49810)
2024-06-10 19:54:59,768 Connected by ('127.0.0.1', 49814)
2024-06-10 19:54:59,769 Connected by ('127.0.0.1', 49815)
