2024-07-05 12:02:59,037 Order Router listening for connections
2024-07-05 12:03:03,239 Connected by ('127.0.0.1', 53849)
2024-07-05 12:03:08,252 Connected by ('127.0.0.1', 53867)
2024-07-05 12:03:14,285 Connected by ('127.0.0.1', 53894)
2024-07-05 12:03:20,303 Connected by ('127.0.0.1', 53915)
2024-07-05 12:03:26,153 Connected by ('127.0.0.1', 53933)
2024-07-05 12:03:32,179 Connected by ('127.0.0.1', 53954)
2024-07-05 12:03:38,199 Connected by ('127.0.0.1', 53979)
2024-07-05 12:03:44,223 Connected by ('127.0.0.1', 54008)
2024-07-05 12:03:50,251 Connected by ('127.0.0.1', 54026)
2024-07-05 12:03:55,296 Connected by ('127.0.0.1', 54042)
2024-07-05 12:04:01,323 Connected by ('127.0.0.1', 54061)
2024-07-05 12:04:06,350 Connected by ('127.0.0.1', 54077)
2024-07-05 12:04:12,367 Connected by ('127.0.0.1', 54095)
2024-07-05 12:04:18,401 Connected by ('127.0.0.1', 54113)
2024-07-05 12:04:24,407 Connected by ('127.0.0.1', 54131)
2024-07-05 12:04:30,429 Connected by ('127.0.0.1', 54149)
2024-07-05 12:04:36,459 Connected by ('127.0.0.1', 54167)
2024-07-05 12:04:42,473 Connected by ('127.0.0.1', 54187)
2024-07-05 12:04:48,486 Connected by ('127.0.0.1', 54206)
2024-07-05 12:04:53,517 Connected by ('127.0.0.1', 54222)
2024-07-05 12:04:59,528 Connected by ('127.0.0.1', 54240)
2024-07-05 12:05:04,586 Connected by ('127.0.0.1', 54256)
2024-07-05 12:05:10,606 Connected by ('127.0.0.1', 54274)
2024-07-05 12:05:15,628 Connected by ('127.0.0.1', 54290)
2024-07-05 12:05:21,653 Connected by ('127.0.0.1', 54308)
2024-07-05 12:05:26,677 Connected by ('127.0.0.1', 54324)
2024-07-05 12:05:32,701 Connected by ('127.0.0.1', 54341)
2024-07-05 12:05:37,760 Connected by ('127.0.0.1', 54377)
2024-07-05 12:05:43,781 Connected by ('127.0.0.1', 54398)
