2024-06-11 19:41:18,494 FIX Engine listening for connections
2024-06-11 19:41:18,753 Connected by ('127.0.0.1', 50429)
2024-06-11 19:41:18,754 Connected by ('127.0.0.1', 50430)
2024-06-11 19:41:23,764 Connected by ('127.0.0.1', 50435)
2024-06-11 19:41:23,764 Connected by ('127.0.0.1', 50436)
2024-06-11 19:41:28,777 Connected by ('127.0.0.1', 50445)
2024-06-11 19:41:28,777 Connected by ('127.0.0.1', 50446)
2024-06-11 19:41:33,787 Connected by ('127.0.0.1', 50458)
2024-06-11 19:41:33,787 Connected by ('127.0.0.1', 50459)
2024-06-11 19:41:38,804 Connected by ('127.0.0.1', 50464)
2024-06-11 19:41:38,804 Connected by ('127.0.0.1', 50465)
2024-06-11 19:41:43,816 Connected by ('127.0.0.1', 50473)
2024-06-11 19:41:43,817 Connected by ('127.0.0.1', 50474)
2024-06-11 19:41:48,828 Connected by ('127.0.0.1', 50479)
2024-06-11 19:41:48,828 Connected by ('127.0.0.1', 50481)
2024-06-11 19:41:53,837 Connected by ('127.0.0.1', 50485)
2024-06-11 19:41:53,837 Connected by ('127.0.0.1', 50486)
2024-06-11 19:41:58,844 Connected by ('127.0.0.1', 50491)
2024-06-11 19:41:58,849 Connected by ('127.0.0.1', 50494)
2024-06-11 19:42:03,852 Connected by ('127.0.0.1', 50504)
2024-06-11 19:42:03,852 Connected by ('127.0.0.1', 50505)
2024-06-11 19:42:08,865 Connected by ('127.0.0.1', 50511)
2024-06-11 19:42:08,865 Connected by ('127.0.0.1', 50512)
2024-06-11 19:42:13,880 Connected by ('127.0.0.1', 50520)
2024-06-11 19:42:13,880 Connected by ('127.0.0.1', 50521)
2024-06-11 19:42:18,891 Connected by ('127.0.0.1', 50528)
2024-06-11 19:42:18,892 Connected by ('127.0.0.1', 50529)
2024-06-11 19:42:23,909 Connected by ('127.0.0.1', 50537)
2024-06-11 19:42:23,910 Connected by ('127.0.0.1', 50539)
2024-06-11 19:42:28,916 Connected by ('127.0.0.1', 50543)
2024-06-11 19:42:28,916 Connected by ('127.0.0.1', 50544)
2024-06-11 19:42:33,924 Connected by ('127.0.0.1', 50550)
2024-06-11 19:42:33,924 Connected by ('127.0.0.1', 50551)
2024-06-11 19:42:38,937 Connected by ('127.0.0.1', 50557)
2024-06-11 19:42:38,938 Connected by ('127.0.0.1', 50558)
2024-06-11 19:42:43,943 Connected by ('127.0.0.1', 50568)
2024-06-11 19:42:43,944 Connected by ('127.0.0.1', 50569)
2024-06-11 19:42:48,951 Connected by ('127.0.0.1', 50574)
2024-06-11 19:42:48,952 Connected by ('127.0.0.1', 50575)
2024-06-11 19:42:53,961 Connected by ('127.0.0.1', 50594)
2024-06-11 19:42:53,961 Connected by ('127.0.0.1', 50595)
2024-06-11 19:42:58,965 Connected by ('127.0.0.1', 50600)
2024-06-11 19:42:58,965 Connected by ('127.0.0.1', 50601)
2024-06-11 19:43:03,979 Connected by ('127.0.0.1', 50608)
2024-06-11 19:43:03,982 Connected by ('127.0.0.1', 50609)
2024-06-11 19:43:08,991 Connected by ('127.0.0.1', 50622)
2024-06-11 19:43:08,991 Connected by ('127.0.0.1', 50623)
2024-06-11 19:43:14,014 Connected by ('127.0.0.1', 50676)
2024-06-11 19:43:14,025 Connected by ('127.0.0.1', 50679)
