2024-07-02 23:35:07,008 Market Simulator listening for connections
2024-07-02 23:35:07,061 Connected by ('127.0.0.1', 59679)
2024-07-02 23:35:07,062 Connected by ('127.0.0.1', 59678)
2024-07-02 23:35:07,062 Connected by ('127.0.0.1', 59677)
2024-07-02 23:35:10,045 Connected by ('127.0.0.1', 59693)
2024-07-02 23:35:10,046 Connected by ('127.0.0.1', 59694)
2024-07-02 23:35:10,047 Connected by ('127.0.0.1', 59695)
2024-07-02 23:35:15,915 Connected by ('127.0.0.1', 59710)
2024-07-02 23:35:15,915 Connected by ('127.0.0.1', 59711)
2024-07-02 23:35:15,916 Connected by ('127.0.0.1', 59712)
2024-07-02 23:35:21,935 Connected by ('127.0.0.1', 59729)
2024-07-02 23:35:21,935 Connected by ('127.0.0.1', 59730)
2024-07-02 23:35:21,936 Connected by ('127.0.0.1', 59731)
2024-07-02 23:35:27,964 Connected by ('127.0.0.1', 59747)
2024-07-02 23:35:27,969 Connected by ('127.0.0.1', 59749)
2024-07-02 23:35:27,970 Connected by ('127.0.0.1', 59748)
2024-07-02 23:35:33,978 Connected by ('127.0.0.1', 59765)
2024-07-02 23:35:33,978 Connected by ('127.0.0.1', 59766)
2024-07-02 23:35:33,979 Connected by ('127.0.0.1', 59767)
2024-07-02 23:35:39,998 Connected by ('127.0.0.1', 59783)
2024-07-02 23:35:39,999 Connected by ('127.0.0.1', 59784)
2024-07-02 23:35:39,999 Connected by ('127.0.0.1', 59785)
2024-07-02 23:35:46,014 Connected by ('127.0.0.1', 59801)
2024-07-02 23:35:46,014 Connected by ('127.0.0.1', 59802)
2024-07-02 23:35:46,014 Connected by ('127.0.0.1', 59803)
2024-07-02 23:35:52,030 Connected by ('127.0.0.1', 59818)
2024-07-02 23:35:52,030 Connected by ('127.0.0.1', 59819)
2024-07-02 23:35:52,035 Connected by ('127.0.0.1', 59821)
2024-07-02 23:35:57,061 Connected by ('127.0.0.1', 59836)
2024-07-02 23:35:57,062 Connected by ('127.0.0.1', 59835)
2024-07-02 23:35:57,062 Connected by ('127.0.0.1', 59837)
2024-07-02 23:36:02,078 Connected by ('127.0.0.1', 59851)
2024-07-02 23:36:02,078 Connected by ('127.0.0.1', 59852)
2024-07-02 23:36:02,079 Connected by ('127.0.0.1', 59853)
2024-07-02 23:36:08,105 Connected by ('127.0.0.1', 59870)
2024-07-02 23:36:08,106 Connected by ('127.0.0.1', 59871)
2024-07-02 23:36:08,107 Connected by ('127.0.0.1', 59872)
2024-07-02 23:36:14,129 Connected by ('127.0.0.1', 59888)
2024-07-02 23:36:14,130 Connected by ('127.0.0.1', 59889)
2024-07-02 23:36:14,130 Connected by ('127.0.0.1', 59890)
2024-07-02 23:36:19,168 Connected by ('127.0.0.1', 59904)
2024-07-02 23:36:19,169 Connected by ('127.0.0.1', 59905)
2024-07-02 23:36:19,169 Connected by ('127.0.0.1', 59906)
2024-07-02 23:36:25,179 Connected by ('127.0.0.1', 59924)
2024-07-02 23:36:25,180 Connected by ('127.0.0.1', 59925)
2024-07-02 23:36:25,181 Connected by ('127.0.0.1', 59926)
2024-07-02 23:36:30,209 Connected by ('127.0.0.1', 59940)
2024-07-02 23:36:30,210 Connected by ('127.0.0.1', 59941)
2024-07-02 23:36:30,210 Connected by ('127.0.0.1', 59942)
2024-07-02 23:36:36,225 Connected by ('127.0.0.1', 59958)
2024-07-02 23:36:36,226 Connected by ('127.0.0.1', 59959)
2024-07-02 23:36:36,226 Connected by ('127.0.0.1', 59960)
2024-07-02 23:36:42,240 Connected by ('127.0.0.1', 59975)
2024-07-02 23:36:42,241 Connected by ('127.0.0.1', 59976)
2024-07-02 23:36:42,241 Connected by ('127.0.0.1', 59977)
2024-07-02 23:36:48,257 Connected by ('127.0.0.1', 59993)
2024-07-02 23:36:48,257 Connected by ('127.0.0.1', 59994)
2024-07-02 23:36:48,258 Connected by ('127.0.0.1', 59995)
