2024-06-10 23:16:10,601 Market Simulator listening for connections
2024-06-10 23:16:12,703 Connected by ('127.0.0.1', 52192)
2024-06-10 23:16:12,704 Connected by ('127.0.0.1', 52193)
2024-06-10 23:16:12,704 Connected by ('127.0.0.1', 52194)
2024-06-10 23:16:17,707 Connected by ('127.0.0.1', 52198)
2024-06-10 23:16:17,707 Connected by ('127.0.0.1', 52199)
2024-06-10 23:16:17,708 Connected by ('127.0.0.1', 52200)
2024-06-10 23:16:22,709 Connected by ('127.0.0.1', 52205)
2024-06-10 23:16:22,710 Connected by ('127.0.0.1', 52206)
2024-06-10 23:16:22,710 Connected by ('127.0.0.1', 52207)
2024-06-10 23:16:27,729 Connected by ('127.0.0.1', 52211)
2024-06-10 23:16:27,730 Connected by ('127.0.0.1', 52212)
2024-06-10 23:16:27,730 Connected by ('127.0.0.1', 52213)
2024-06-10 23:16:32,738 Connected by ('127.0.0.1', 52217)
2024-06-10 23:16:32,739 Connected by ('127.0.0.1', 52218)
2024-06-10 23:16:32,740 Connected by ('127.0.0.1', 52219)
2024-06-10 23:16:37,750 Connected by ('127.0.0.1', 52223)
2024-06-10 23:16:37,750 Connected by ('127.0.0.1', 52224)
2024-06-10 23:16:37,751 Connected by ('127.0.0.1', 52225)
2024-06-10 23:16:42,766 Connected by ('127.0.0.1', 52228)
2024-06-10 23:16:42,767 Connected by ('127.0.0.1', 52230)
2024-06-10 23:16:42,768 Connected by ('127.0.0.1', 52231)
2024-06-10 23:16:47,783 Connected by ('127.0.0.1', 52235)
2024-06-10 23:16:47,784 Connected by ('127.0.0.1', 52236)
2024-06-10 23:16:47,790 Connected by ('127.0.0.1', 52238)
2024-06-10 23:16:52,786 Connected by ('127.0.0.1', 52242)
2024-06-10 23:16:52,787 Connected by ('127.0.0.1', 52243)
2024-06-10 23:16:52,787 Connected by ('127.0.0.1', 52244)
2024-06-10 23:16:57,801 Connected by ('127.0.0.1', 52248)
2024-06-10 23:16:57,802 Connected by ('127.0.0.1', 52249)
2024-06-10 23:16:57,803 Connected by ('127.0.0.1', 52250)
2024-06-10 23:17:02,811 Connected by ('127.0.0.1', 52254)
2024-06-10 23:17:02,812 Connected by ('127.0.0.1', 52255)
2024-06-10 23:17:02,812 Connected by ('127.0.0.1', 52256)
2024-06-10 23:17:07,825 Connected by ('127.0.0.1', 52260)
2024-06-10 23:17:07,825 Connected by ('127.0.0.1', 52261)
2024-06-10 23:17:07,826 Connected by ('127.0.0.1', 52262)
2024-06-10 23:17:12,832 Connected by ('127.0.0.1', 52266)
2024-06-10 23:17:12,833 Connected by ('127.0.0.1', 52267)
2024-06-10 23:17:12,834 Connected by ('127.0.0.1', 52268)
2024-06-10 23:17:17,843 Connected by ('127.0.0.1', 52272)
2024-06-10 23:17:17,844 Connected by ('127.0.0.1', 52273)
2024-06-10 23:17:17,845 Connected by ('127.0.0.1', 52274)
2024-06-10 23:17:22,859 Connected by ('127.0.0.1', 52278)
2024-06-10 23:17:22,860 Connected by ('127.0.0.1', 52279)
2024-06-10 23:17:22,860 Connected by ('127.0.0.1', 52280)
2024-06-10 23:17:27,877 Connected by ('127.0.0.1', 52284)
2024-06-10 23:17:27,878 Connected by ('127.0.0.1', 52285)
2024-06-10 23:17:27,878 Connected by ('127.0.0.1', 52286)
2024-06-10 23:17:32,891 Connected by ('127.0.0.1', 52291)
2024-06-10 23:17:32,891 Connected by ('127.0.0.1', 52292)
2024-06-10 23:17:32,892 Connected by ('127.0.0.1', 52293)
2024-06-10 23:17:37,899 Connected by ('127.0.0.1', 52297)
2024-06-10 23:17:37,899 Connected by ('127.0.0.1', 52298)
2024-06-10 23:17:37,900 Connected by ('127.0.0.1', 52299)
2024-06-10 23:17:42,906 Connected by ('127.0.0.1', 52303)
2024-06-10 23:17:42,906 Connected by ('127.0.0.1', 52304)
2024-06-10 23:17:42,907 Connected by ('127.0.0.1', 52305)
2024-06-10 23:17:47,924 Connected by ('127.0.0.1', 52309)
2024-06-10 23:17:47,924 Connected by ('127.0.0.1', 52310)
2024-06-10 23:17:47,925 Connected by ('127.0.0.1', 52311)
2024-06-10 23:17:52,937 Connected by ('127.0.0.1', 52315)
2024-06-10 23:17:52,937 Connected by ('127.0.0.1', 52316)
2024-06-10 23:17:52,937 Connected by ('127.0.0.1', 52317)
2024-06-10 23:17:57,943 Connected by ('127.0.0.1', 52321)
2024-06-10 23:17:57,943 Connected by ('127.0.0.1', 52322)
2024-06-10 23:17:57,944 Connected by ('127.0.0.1', 52323)
2024-06-10 23:18:02,959 Connected by ('127.0.0.1', 52327)
2024-06-10 23:18:02,959 Connected by ('127.0.0.1', 52328)
2024-06-10 23:18:02,960 Connected by ('127.0.0.1', 52329)
2024-06-10 23:18:07,963 Connected by ('127.0.0.1', 52333)
2024-06-10 23:18:07,964 Connected by ('127.0.0.1', 52334)
2024-06-10 23:18:07,964 Connected by ('127.0.0.1', 52335)
2024-06-10 23:18:12,983 Connected by ('127.0.0.1', 52343)
2024-06-10 23:18:12,985 Connected by ('127.0.0.1', 52344)
2024-06-10 23:18:12,986 Connected by ('127.0.0.1', 52345)
2024-06-10 23:18:17,997 Connected by ('127.0.0.1', 52349)
2024-06-10 23:18:17,998 Connected by ('127.0.0.1', 52350)
2024-06-10 23:18:17,998 Connected by ('127.0.0.1', 52351)
2024-06-10 23:18:23,001 Connected by ('127.0.0.1', 52355)
2024-06-10 23:18:23,002 Connected by ('127.0.0.1', 52356)
2024-06-10 23:18:23,002 Connected by ('127.0.0.1', 52357)
2024-06-10 23:18:28,012 Connected by ('127.0.0.1', 52361)
2024-06-10 23:18:28,014 Connected by ('127.0.0.1', 52362)
2024-06-10 23:18:28,015 Connected by ('127.0.0.1', 52363)
2024-06-10 23:18:33,028 Connected by ('127.0.0.1', 52368)
2024-06-10 23:18:33,029 Connected by ('127.0.0.1', 52369)
