2024-06-11 21:49:20,719 Market Simulator listening for connections
2024-06-11 21:49:22,903 Connected by ('127.0.0.1', 57070)
2024-06-11 21:49:22,903 Connected by ('127.0.0.1', 57071)
2024-06-11 21:49:22,904 Connected by ('127.0.0.1', 57072)
2024-06-11 21:49:27,915 Connected by ('127.0.0.1', 57086)
2024-06-11 21:49:27,916 Connected by ('127.0.0.1', 57087)
2024-06-11 21:49:27,917 Connected by ('127.0.0.1', 57088)
2024-06-11 21:49:32,932 Connected by ('127.0.0.1', 57102)
2024-06-11 21:49:32,933 Connected by ('127.0.0.1', 57103)
2024-06-11 21:49:32,935 Connected by ('127.0.0.1', 57104)
2024-06-11 21:49:37,950 Connected by ('127.0.0.1', 57118)
2024-06-11 21:49:37,956 Connected by ('127.0.0.1', 57119)
2024-06-11 21:49:37,957 Connected by ('127.0.0.1', 57120)
2024-06-11 21:49:42,970 Connected by ('127.0.0.1', 57135)
2024-06-11 21:49:42,970 Connected by ('127.0.0.1', 57136)
2024-06-11 21:49:42,971 Connected by ('127.0.0.1', 57137)
2024-06-11 21:49:47,989 Connected by ('127.0.0.1', 57151)
2024-06-11 21:49:47,990 Connected by ('127.0.0.1', 57152)
2024-06-11 21:49:47,991 Connected by ('127.0.0.1', 57153)
2024-06-11 21:49:53,008 Connected by ('127.0.0.1', 57167)
2024-06-11 21:49:53,009 Connected by ('127.0.0.1', 57168)
2024-06-11 21:49:53,010 Connected by ('127.0.0.1', 57169)
2024-06-11 21:49:58,020 Connected by ('127.0.0.1', 57181)
2024-06-11 21:49:58,021 Connected by ('127.0.0.1', 57182)
2024-06-11 21:49:58,026 Connected by ('127.0.0.1', 57184)
2024-06-11 21:50:03,035 Connected by ('127.0.0.1', 57200)
2024-06-11 21:50:03,036 Connected by ('127.0.0.1', 57201)
2024-06-11 21:50:03,038 Connected by ('127.0.0.1', 57202)
2024-06-11 21:50:08,065 Connected by ('127.0.0.1', 57220)
2024-06-11 21:50:08,067 Connected by ('127.0.0.1', 57221)
2024-06-11 21:50:08,069 Connected by ('127.0.0.1', 57222)
2024-06-11 21:50:13,087 Connected by ('127.0.0.1', 57236)
2024-06-11 21:50:13,088 Connected by ('127.0.0.1', 57237)
2024-06-11 21:50:13,089 Connected by ('127.0.0.1', 57238)
2024-06-11 21:50:18,109 Connected by ('127.0.0.1', 57252)
2024-06-11 21:50:18,110 Connected by ('127.0.0.1', 57253)
2024-06-11 21:50:18,112 Connected by ('127.0.0.1', 57254)
2024-06-11 21:50:23,128 Connected by ('127.0.0.1', 57269)
2024-06-11 21:50:23,129 Connected by ('127.0.0.1', 57268)
2024-06-11 21:50:23,130 Connected by ('127.0.0.1', 57270)
2024-06-11 21:50:28,143 Connected by ('127.0.0.1', 57284)
2024-06-11 21:50:28,144 Connected by ('127.0.0.1', 57285)
2024-06-11 21:50:28,145 Connected by ('127.0.0.1', 57286)
2024-06-11 21:50:33,160 Connected by ('127.0.0.1', 57300)
