2024-06-11 21:49:14,626 Order Router listening for connections
2024-06-11 21:49:17,888 Connected by ('127.0.0.1', 57051)
2024-06-11 21:49:22,897 Connected by ('127.0.0.1', 57067)
2024-06-11 21:49:27,910 Connected by ('127.0.0.1', 57083)
2024-06-11 21:49:32,924 Connected by ('127.0.0.1', 57099)
2024-06-11 21:49:37,941 Connected by ('127.0.0.1', 57115)
2024-06-11 21:49:42,965 Connected by ('127.0.0.1', 57132)
2024-06-11 21:49:47,985 Connected by ('127.0.0.1', 57148)
2024-06-11 21:49:53,003 Connected by ('127.0.0.1', 57164)
2024-06-11 21:49:58,015 Connected by ('127.0.0.1', 57179)
2024-06-11 21:50:03,029 Connected by ('127.0.0.1', 57197)
2024-06-11 21:50:08,056 Connected by ('127.0.0.1', 57217)
2024-06-11 21:50:13,082 Connected by ('127.0.0.1', 57233)
2024-06-11 21:50:18,101 Connected by ('127.0.0.1', 57249)
2024-06-11 21:50:23,123 Connected by ('127.0.0.1', 57265)
2024-06-11 21:50:28,139 Connected by ('127.0.0.1', 57281)
2024-06-11 21:50:33,156 Connected by ('127.0.0.1', 57297)
2024-06-11 21:50:38,176 Connected by ('127.0.0.1', 57313)
2024-06-11 21:50:43,200 Connected by ('127.0.0.1', 57330)
2024-06-11 21:50:48,215 Connected by ('127.0.0.1', 57351)
2024-06-11 21:50:53,242 Connected by ('127.0.0.1', 57367)
2024-06-11 21:50:58,255 Connected by ('127.0.0.1', 57383)
2024-06-11 21:51:03,283 Connected by ('127.0.0.1', 57399)
2024-06-11 21:51:08,299 Connected by ('127.0.0.1', 57415)
2024-06-11 21:51:13,310 Connected by ('127.0.0.1', 57431)
2024-06-11 21:51:18,329 Connected by ('127.0.0.1', 57447)
2024-06-11 21:51:23,344 Connected by ('127.0.0.1', 57463)
2024-06-11 21:51:28,367 Connected by ('127.0.0.1', 57479)
2024-06-11 21:51:33,377 Connected by ('127.0.0.1', 57495)
2024-06-11 21:51:38,390 Connected by ('127.0.0.1', 57511)
2024-06-11 21:51:43,401 Connected by ('127.0.0.1', 57527)
2024-06-11 21:51:48,415 Connected by ('127.0.0.1', 57543)
2024-06-11 21:51:53,433 Connected by ('127.0.0.1', 57559)
2024-06-11 21:51:58,456 Connected by ('127.0.0.1', 57575)
2024-06-11 21:52:03,477 Connected by ('127.0.0.1', 57594)
2024-06-11 21:52:08,494 Connected by ('127.0.0.1', 57610)
2024-06-11 21:52:13,512 Connected by ('127.0.0.1', 57627)
2024-06-11 21:52:18,525 Connected by ('127.0.0.1', 57643)
2024-06-11 21:52:23,536 Connected by ('127.0.0.1', 57659)
2024-06-11 21:52:28,553 Connected by ('127.0.0.1', 57675)
2024-06-11 21:52:33,575 Connected by ('127.0.0.1', 57691)
2024-06-11 21:52:38,593 Connected by ('127.0.0.1', 57707)
2024-06-11 21:52:43,617 Connected by ('127.0.0.1', 57723)
2024-06-11 21:52:48,637 Connected by ('127.0.0.1', 57739)
2024-06-11 21:52:53,652 Connected by ('127.0.0.1', 57755)
2024-06-11 21:52:58,674 Connected by ('127.0.0.1', 57771)
2024-06-11 21:53:03,691 Connected by ('127.0.0.1', 57787)
2024-06-11 21:53:08,712 Connected by ('127.0.0.1', 57802)
2024-06-11 21:53:13,726 Connected by ('127.0.0.1', 57818)
2024-06-11 21:53:18,739 Connected by ('127.0.0.1', 57834)
2024-06-11 21:53:23,753 Connected by ('127.0.0.1', 57850)
2024-06-11 21:53:28,763 Connected by ('127.0.0.1', 57866)
2024-06-11 21:53:33,784 Connected by ('127.0.0.1', 57882)
2024-06-11 21:53:38,804 Connected by ('127.0.0.1', 57898)
2024-06-11 21:53:43,813 Connected by ('127.0.0.1', 57914)
2024-06-11 21:53:48,826 Connected by ('127.0.0.1', 57930)
2024-06-11 21:53:53,839 Connected by ('127.0.0.1', 57946)
2024-06-11 21:53:58,855 Connected by ('127.0.0.1', 57962)
2024-06-11 21:54:03,866 Connected by ('127.0.0.1', 57982)
2024-06-11 21:54:08,885 Connected by ('127.0.0.1', 58001)
2024-06-11 21:54:13,903 Connected by ('127.0.0.1', 58017)
2024-06-11 21:54:18,919 Connected by ('127.0.0.1', 58034)
2024-06-11 21:54:23,940 Connected by ('127.0.0.1', 58051)
2024-06-11 21:54:28,948 Connected by ('127.0.0.1', 58067)
2024-06-11 21:54:33,965 Connected by ('127.0.0.1', 58083)
2024-06-11 21:54:38,981 Connected by ('127.0.0.1', 58099)
2024-06-11 21:54:44,000 Connected by ('127.0.0.1', 58115)
2024-06-11 21:54:49,020 Connected by ('127.0.0.1', 58131)
2024-06-11 21:54:54,037 Connected by ('127.0.0.1', 58147)
2024-06-11 21:54:59,051 Connected by ('127.0.0.1', 58163)
2024-06-11 21:55:04,064 Connected by ('127.0.0.1', 58178)
2024-06-11 21:55:09,077 Connected by ('127.0.0.1', 58194)
2024-06-11 21:55:14,097 Connected by ('127.0.0.1', 58210)
2024-06-11 21:55:19,106 Connected by ('127.0.0.1', 58226)
2024-06-11 21:55:24,121 Connected by ('127.0.0.1', 58242)
2024-06-11 21:55:29,141 Connected by ('127.0.0.1', 58258)
2024-06-11 21:55:34,167 Connected by ('127.0.0.1', 58274)
2024-06-11 21:55:39,183 Connected by ('127.0.0.1', 58290)
2024-06-11 21:55:44,195 Connected by ('127.0.0.1', 58306)
2024-06-11 21:55:49,204 Connected by ('127.0.0.1', 58324)
2024-06-11 21:55:54,220 Connected by ('127.0.0.1', 58340)
2024-06-11 21:55:59,234 Connected by ('127.0.0.1', 58356)
2024-06-11 21:56:04,253 Connected by ('127.0.0.1', 58375)
2024-06-11 21:56:09,264 Connected by ('127.0.0.1', 58391)
2024-06-11 21:56:14,286 Connected by ('127.0.0.1', 58407)
2024-06-11 21:56:19,297 Connected by ('127.0.0.1', 58423)
2024-06-11 21:56:24,317 Connected by ('127.0.0.1', 58439)
2024-06-11 21:56:29,338 Connected by ('127.0.0.1', 58455)
2024-06-11 21:56:34,346 Connected by ('127.0.0.1', 58471)
2024-06-11 21:56:39,368 Connected by ('127.0.0.1', 58487)
2024-06-11 21:56:44,388 Connected by ('127.0.0.1', 58503)
2024-06-11 21:56:49,410 Connected by ('127.0.0.1', 58519)
2024-06-11 21:56:54,428 Connected by ('127.0.0.1', 58535)
2024-06-11 21:56:59,440 Connected by ('127.0.0.1', 58550)
2024-06-11 21:57:04,447 Connected by ('127.0.0.1', 58566)
2024-06-11 21:57:09,467 Connected by ('127.0.0.1', 58582)
2024-06-11 21:57:14,477 Connected by ('127.0.0.1', 58598)
2024-06-11 21:57:19,495 Connected by ('127.0.0.1', 58614)
2024-06-11 21:57:24,510 Connected by ('127.0.0.1', 58630)
2024-06-11 21:57:29,531 Connected by ('127.0.0.1', 58646)
2024-06-11 21:57:34,548 Connected by ('127.0.0.1', 58662)
2024-06-11 21:57:39,557 Connected by ('127.0.0.1', 58679)
2024-06-11 21:57:44,566 Connected by ('127.0.0.1', 58695)
2024-06-11 21:57:49,580 Connected by ('127.0.0.1', 58711)
2024-06-11 21:57:54,591 Connected by ('127.0.0.1', 58728)
2024-06-11 21:57:59,598 Connected by ('127.0.0.1', 58743)
2024-06-11 21:58:04,610 Connected by ('127.0.0.1', 58763)
2024-06-11 21:58:09,628 Connected by ('127.0.0.1', 58779)
2024-06-11 21:58:14,641 Connected by ('127.0.0.1', 58795)
2024-06-11 21:58:19,653 Connected by ('127.0.0.1', 58811)
2024-06-11 21:58:24,662 Connected by ('127.0.0.1', 58827)
2024-06-11 21:58:29,680 Connected by ('127.0.0.1', 58843)
2024-06-11 21:58:34,696 Connected by ('127.0.0.1', 58859)
2024-06-11 21:58:39,707 Connected by ('127.0.0.1', 58875)
2024-06-11 21:58:44,725 Connected by ('127.0.0.1', 58891)
2024-06-11 21:58:49,733 Connected by ('127.0.0.1', 58907)
2024-06-11 21:58:54,752 Connected by ('127.0.0.1', 58922)
2024-06-11 21:58:59,769 Connected by ('127.0.0.1', 58938)
2024-06-11 21:59:04,787 Connected by ('127.0.0.1', 58954)
2024-06-11 21:59:09,797 Connected by ('127.0.0.1', 58970)
2024-06-11 21:59:14,809 Connected by ('127.0.0.1', 58986)
2024-06-11 21:59:19,838 Connected by ('127.0.0.1', 59002)
2024-06-11 21:59:24,858 Connected by ('127.0.0.1', 59018)
2024-06-11 21:59:29,869 Connected by ('127.0.0.1', 59034)
2024-06-11 21:59:34,887 Connected by ('127.0.0.1', 59050)
2024-06-11 21:59:39,908 Connected by ('127.0.0.1', 59066)
2024-06-11 21:59:44,929 Connected by ('127.0.0.1', 59082)
2024-06-11 21:59:49,944 Connected by ('127.0.0.1', 59098)
2024-06-11 21:59:54,968 Connected by ('127.0.0.1', 59114)
2024-06-11 21:59:59,985 Connected by ('127.0.0.1', 59130)
2024-06-11 22:00:05,004 Connected by ('127.0.0.1', 59149)
2024-06-11 22:00:10,015 Connected by ('127.0.0.1', 59165)
2024-06-11 22:00:15,030 Connected by ('127.0.0.1', 59181)
2024-06-11 22:00:20,039 Connected by ('127.0.0.1', 59197)
2024-06-11 22:00:25,054 Connected by ('127.0.0.1', 59213)
2024-06-11 22:00:30,077 Connected by ('127.0.0.1', 59229)
2024-06-11 22:00:35,099 Connected by ('127.0.0.1', 59245)
2024-06-11 22:00:40,120 Connected by ('127.0.0.1', 59261)
2024-06-11 22:00:45,150 Connected by ('127.0.0.1', 59278)
2024-06-11 22:00:50,170 Connected by ('127.0.0.1', 59294)
2024-06-11 22:00:55,184 Connected by ('127.0.0.1', 59310)
2024-06-11 22:01:00,199 Connected by ('127.0.0.1', 59327)
2024-06-11 22:01:05,226 Connected by ('127.0.0.1', 59345)
2024-06-11 22:01:10,241 Connected by ('127.0.0.1', 59361)
2024-06-11 22:01:15,257 Connected by ('127.0.0.1', 59377)
2024-06-11 22:01:20,283 Connected by ('127.0.0.1', 59392)
2024-06-11 22:01:25,305 Connected by ('127.0.0.1', 59408)
2024-06-11 22:01:30,325 Connected by ('127.0.0.1', 59424)
2024-06-11 22:01:35,333 Connected by ('127.0.0.1', 59440)
2024-06-11 22:01:40,352 Connected by ('127.0.0.1', 59456)
2024-06-11 22:01:45,371 Connected by ('127.0.0.1', 59472)
2024-06-11 22:01:50,387 Connected by ('127.0.0.1', 59488)
2024-06-11 22:01:55,406 Connected by ('127.0.0.1', 59504)
2024-06-11 22:02:00,415 Connected by ('127.0.0.1', 59520)
2024-06-11 22:02:05,431 Connected by ('127.0.0.1', 59539)
2024-06-11 22:02:10,449 Connected by ('127.0.0.1', 59555)
2024-06-11 22:02:15,469 Connected by ('127.0.0.1', 59571)
2024-06-11 22:02:20,494 Connected by ('127.0.0.1', 59587)
2024-06-11 22:02:25,504 Connected by ('127.0.0.1', 59603)
2024-06-11 22:02:30,520 Connected by ('127.0.0.1', 59618)
2024-06-11 22:02:35,529 Connected by ('127.0.0.1', 59634)
2024-06-11 22:02:40,541 Connected by ('127.0.0.1', 59650)
2024-06-11 22:02:45,552 Connected by ('127.0.0.1', 59666)
2024-06-11 22:02:50,564 Connected by ('127.0.0.1', 59682)
2024-06-11 22:02:55,587 Connected by ('127.0.0.1', 59698)
2024-06-11 22:03:00,612 Connected by ('127.0.0.1', 59714)
2024-06-11 22:03:05,628 Connected by ('127.0.0.1', 59730)
2024-06-11 22:03:10,644 Connected by ('127.0.0.1', 59746)
2024-06-11 22:03:15,653 Connected by ('127.0.0.1', 59762)
2024-06-11 22:03:20,665 Connected by ('127.0.0.1', 59778)
2024-06-11 22:03:25,679 Connected by ('127.0.0.1', 59793)
2024-06-11 22:03:30,694 Connected by ('127.0.0.1', 59809)
2024-06-11 22:03:35,714 Connected by ('127.0.0.1', 59825)
2024-06-11 22:03:40,729 Connected by ('127.0.0.1', 59841)
2024-06-11 22:03:45,738 Connected by ('127.0.0.1', 59857)
2024-06-11 22:03:50,757 Connected by ('127.0.0.1', 59874)
2024-06-11 22:03:55,769 Connected by ('127.0.0.1', 59890)
2024-06-11 22:04:00,789 Connected by ('127.0.0.1', 59906)
2024-06-11 22:04:05,801 Connected by ('127.0.0.1', 59926)
2024-06-11 22:04:10,826 Connected by ('127.0.0.1', 59942)
2024-06-11 22:04:15,848 Connected by ('127.0.0.1', 59958)
2024-06-11 22:04:20,866 Connected by ('127.0.0.1', 59973)
2024-06-11 22:04:25,876 Connected by ('127.0.0.1', 59989)
2024-06-11 22:04:30,899 Connected by ('127.0.0.1', 60005)
2024-06-11 22:04:35,907 Connected by ('127.0.0.1', 60021)
2024-06-11 22:04:40,931 Connected by ('127.0.0.1', 60037)
2024-06-11 22:04:45,946 Connected by ('127.0.0.1', 60053)
2024-06-11 22:04:50,961 Connected by ('127.0.0.1', 60069)
2024-06-11 22:04:55,981 Connected by ('127.0.0.1', 60085)
2024-06-11 22:05:01,002 Connected by ('127.0.0.1', 60101)
2024-06-11 22:05:06,024 Connected by ('127.0.0.1', 60117)
2024-06-11 22:05:11,033 Connected by ('127.0.0.1', 60133)
2024-06-11 22:05:16,046 Connected by ('127.0.0.1', 60150)
2024-06-11 22:05:21,066 Connected by ('127.0.0.1', 60166)
