2024-06-07 01:07:54,843 FIX Engine listening for connections
2024-06-07 01:07:54,940 Connected by ('127.0.0.1', 64291)
2024-06-07 01:07:54,941 Connected by ('127.0.0.1', 64293)
2024-06-07 01:07:59,950 Connected by ('127.0.0.1', 64307)
2024-06-07 01:07:59,950 Connected by ('127.0.0.1', 64309)
2024-06-07 01:08:04,959 Connected by ('127.0.0.1', 64328)
2024-06-07 01:08:04,960 Connected by ('127.0.0.1', 64329)
2024-06-07 01:08:09,969 Connected by ('127.0.0.1', 64344)
2024-06-07 01:08:09,970 Connected by ('127.0.0.1', 64345)
2024-06-07 01:08:14,981 Connected by ('127.0.0.1', 64359)
2024-06-07 01:08:14,982 Connected by ('127.0.0.1', 64361)
2024-06-07 01:08:19,995 Connected by ('127.0.0.1', 64375)
2024-06-07 01:08:19,996 Connected by ('127.0.0.1', 64377)
2024-06-07 01:08:25,006 Connected by ('127.0.0.1', 64391)
2024-06-07 01:08:25,007 Connected by ('127.0.0.1', 64393)
2024-06-07 01:08:30,024 Connected by ('127.0.0.1', 64407)
2024-06-07 01:08:30,024 Connected by ('127.0.0.1', 64408)
2024-06-07 01:08:35,040 Connected by ('127.0.0.1', 64423)
2024-06-07 01:08:35,046 Connected by ('127.0.0.1', 64426)
2024-06-07 01:08:40,056 Connected by ('127.0.0.1', 64441)
2024-06-07 01:08:40,057 Connected by ('127.0.0.1', 64442)
2024-06-07 01:08:45,070 Connected by ('127.0.0.1', 64457)
2024-06-07 01:08:45,070 Connected by ('127.0.0.1', 64458)
2024-06-07 01:08:50,088 Connected by ('127.0.0.1', 64473)
2024-06-07 01:08:50,090 Connected by ('127.0.0.1', 64475)
2024-06-07 01:08:55,087 Connected by ('127.0.0.1', 64489)
2024-06-07 01:08:55,087 Connected by ('127.0.0.1', 64491)
2024-06-07 01:09:00,095 Connected by ('127.0.0.1', 64505)
2024-06-07 01:09:00,096 Connected by ('127.0.0.1', 64506)
2024-06-07 01:09:05,114 Connected by ('127.0.0.1', 64521)
2024-06-07 01:09:05,114 Connected by ('127.0.0.1', 64522)
2024-06-07 01:09:10,131 Connected by ('127.0.0.1', 64537)
2024-06-07 01:09:10,132 Connected by ('127.0.0.1', 64538)
2024-06-07 01:09:15,141 Connected by ('127.0.0.1', 64553)
2024-06-07 01:09:15,142 Connected by ('127.0.0.1', 64555)
2024-06-07 01:09:20,154 Connected by ('127.0.0.1', 64569)
2024-06-07 01:09:20,155 Connected by ('127.0.0.1', 64570)
2024-06-07 01:09:25,170 Connected by ('127.0.0.1', 64585)
2024-06-07 01:09:25,171 Connected by ('127.0.0.1', 64587)
2024-06-07 01:09:30,174 Connected by ('127.0.0.1', 64602)
2024-06-07 01:09:30,175 Connected by ('127.0.0.1', 64604)
2024-06-07 01:09:35,181 Connected by ('127.0.0.1', 64617)
2024-06-07 01:09:35,182 Connected by ('127.0.0.1', 64619)
2024-06-07 01:09:40,195 Connected by ('127.0.0.1', 64633)
2024-06-07 01:09:40,196 Connected by ('127.0.0.1', 64634)
2024-06-07 01:09:45,198 Connected by ('127.0.0.1', 64649)
2024-06-07 01:09:45,199 Connected by ('127.0.0.1', 64650)
2024-06-07 01:09:50,213 Connected by ('127.0.0.1', 64665)
2024-06-07 01:09:50,213 Connected by ('127.0.0.1', 64666)
2024-06-07 01:09:55,229 Connected by ('127.0.0.1', 64681)
