2024-06-10 23:26:17,647 FIX Engine listening for connections
2024-06-10 23:26:17,842 Connected by ('127.0.0.1', 52568)
2024-06-10 23:26:17,842 Connected by ('127.0.0.1', 52569)
2024-06-10 23:26:22,850 Connected by ('127.0.0.1', 52574)
2024-06-10 23:26:22,850 Connected by ('127.0.0.1', 52575)
2024-06-10 23:26:27,863 Connected by ('127.0.0.1', 52580)
2024-06-10 23:26:27,864 Connected by ('127.0.0.1', 52581)
2024-06-10 23:26:32,869 Connected by ('127.0.0.1', 52587)
2024-06-10 23:26:32,869 Connected by ('127.0.0.1', 52588)
2024-06-10 23:26:37,875 Connected by ('127.0.0.1', 52593)
2024-06-10 23:26:37,876 Connected by ('127.0.0.1', 52594)
2024-06-10 23:26:42,888 Connected by ('127.0.0.1', 52599)
2024-06-10 23:26:42,889 Connected by ('127.0.0.1', 52600)
2024-06-10 23:26:47,906 Connected by ('127.0.0.1', 52605)
2024-06-10 23:26:47,906 Connected by ('127.0.0.1', 52606)
2024-06-10 23:26:52,922 Connected by ('127.0.0.1', 52611)
2024-06-10 23:26:52,923 Connected by ('127.0.0.1', 52612)
2024-06-10 23:26:57,938 Connected by ('127.0.0.1', 52617)
2024-06-10 23:26:57,944 Connected by ('127.0.0.1', 52620)
2024-06-10 23:27:02,942 Connected by ('127.0.0.1', 52623)
2024-06-10 23:27:02,943 Connected by ('127.0.0.1', 52624)
2024-06-10 23:27:07,952 Connected by ('127.0.0.1', 52629)
2024-06-10 23:27:07,953 Connected by ('127.0.0.1', 52630)
2024-06-10 23:27:12,966 Connected by ('127.0.0.1', 52635)
2024-06-10 23:27:12,967 Connected by ('127.0.0.1', 52636)
2024-06-10 23:27:17,985 Connected by ('127.0.0.1', 52641)
2024-06-10 23:27:17,986 Connected by ('127.0.0.1', 52642)
2024-06-10 23:27:23,000 Connected by ('127.0.0.1', 52647)
2024-06-10 23:27:23,001 Connected by ('127.0.0.1', 52648)
2024-06-10 23:27:28,010 Connected by ('127.0.0.1', 52653)
2024-06-10 23:27:28,011 Connected by ('127.0.0.1', 52655)
2024-06-10 23:27:33,021 Connected by ('127.0.0.1', 52659)
2024-06-10 23:27:33,022 Connected by ('127.0.0.1', 52660)
2024-06-10 23:27:38,026 Connected by ('127.0.0.1', 52665)
2024-06-10 23:27:38,026 Connected by ('127.0.0.1', 52667)
2024-06-10 23:27:43,029 Connected by ('127.0.0.1', 52672)
2024-06-10 23:27:43,030 Connected by ('127.0.0.1', 52673)
2024-06-10 23:27:48,035 Connected by ('127.0.0.1', 52678)
2024-06-10 23:27:48,035 Connected by ('127.0.0.1', 52679)
2024-06-10 23:27:53,043 Connected by ('127.0.0.1', 52684)
2024-06-10 23:27:53,044 Connected by ('127.0.0.1', 52685)
2024-06-10 23:27:58,049 Connected by ('127.0.0.1', 52691)
2024-06-10 23:27:58,050 Connected by ('127.0.0.1', 52692)
2024-06-10 23:28:03,064 Connected by ('127.0.0.1', 52697)
2024-06-10 23:28:03,065 Connected by ('127.0.0.1', 52698)
2024-06-10 23:28:08,073 Connected by ('127.0.0.1', 52703)
2024-06-10 23:28:08,074 Connected by ('127.0.0.1', 52704)
2024-06-10 23:28:13,084 Connected by ('127.0.0.1', 52709)
2024-06-10 23:28:13,085 Connected by ('127.0.0.1', 52710)
2024-06-10 23:28:18,100 Connected by ('127.0.0.1', 52715)
2024-06-10 23:28:18,100 Connected by ('127.0.0.1', 52716)
2024-06-10 23:28:23,117 Connected by ('127.0.0.1', 52721)
2024-06-10 23:28:23,118 Connected by ('127.0.0.1', 52722)
2024-06-10 23:28:28,128 Connected by ('127.0.0.1', 52727)
2024-06-10 23:28:28,128 Connected by ('127.0.0.1', 52728)
2024-06-10 23:28:33,137 Connected by ('127.0.0.1', 52734)
2024-06-10 23:28:33,137 Connected by ('127.0.0.1', 52735)
2024-06-10 23:28:38,149 Connected by ('127.0.0.1', 52740)
2024-06-10 23:28:38,151 Connected by ('127.0.0.1', 52741)
2024-06-10 23:28:43,166 Connected by ('127.0.0.1', 52746)
2024-06-10 23:28:43,167 Connected by ('127.0.0.1', 52747)
2024-06-10 23:28:48,174 Connected by ('127.0.0.1', 52752)
2024-06-10 23:28:48,174 Connected by ('127.0.0.1', 52753)
2024-06-10 23:28:53,188 Connected by ('127.0.0.1', 52758)
2024-06-10 23:28:53,188 Connected by ('127.0.0.1', 52759)
2024-06-10 23:28:58,202 Connected by ('127.0.0.1', 52764)
2024-06-10 23:28:58,203 Connected by ('127.0.0.1', 52765)
2024-06-10 23:29:03,206 Connected by ('127.0.0.1', 52771)
2024-06-10 23:29:03,206 Connected by ('127.0.0.1', 52772)
2024-06-10 23:29:08,221 Connected by ('127.0.0.1', 52777)
2024-06-10 23:29:08,221 Connected by ('127.0.0.1', 52778)
2024-06-10 23:29:13,229 Connected by ('127.0.0.1', 52783)
2024-06-10 23:29:13,230 Connected by ('127.0.0.1', 52784)
2024-06-10 23:29:18,237 Connected by ('127.0.0.1', 52789)
2024-06-10 23:29:18,238 Connected by ('127.0.0.1', 52790)
2024-06-10 23:29:23,246 Connected by ('127.0.0.1', 52795)
2024-06-10 23:29:23,246 Connected by ('127.0.0.1', 52796)
2024-06-10 23:29:28,252 Connected by ('127.0.0.1', 52801)
2024-06-10 23:29:28,253 Connected by ('127.0.0.1', 52802)
2024-06-10 23:29:33,256 Connected by ('127.0.0.1', 52807)
