2024-06-11 18:34:10,649 Market Simulator listening for connections
2024-06-11 18:34:12,737 Connected by ('127.0.0.1', 54168)
2024-06-11 18:34:12,739 Connected by ('127.0.0.1', 54169)
2024-06-11 18:34:12,739 Connected by ('127.0.0.1', 54170)
2024-06-11 18:34:17,752 Connected by ('127.0.0.1', 54174)
2024-06-11 18:34:17,752 Connected by ('127.0.0.1', 54175)
2024-06-11 18:34:17,753 Connected by ('127.0.0.1', 54176)
2024-06-11 18:34:22,762 Connected by ('127.0.0.1', 54180)
2024-06-11 18:34:22,763 Connected by ('127.0.0.1', 54181)
2024-06-11 18:34:22,764 Connected by ('127.0.0.1', 54182)
2024-06-11 18:34:27,781 Connected by ('127.0.0.1', 54186)
2024-06-11 18:34:27,788 Connected by ('127.0.0.1', 54187)
2024-06-11 18:34:27,789 Connected by ('127.0.0.1', 54188)
2024-06-11 18:34:32,788 Connected by ('127.0.0.1', 54192)
2024-06-11 18:34:32,789 Connected by ('127.0.0.1', 54194)
2024-06-11 18:34:32,790 Connected by ('127.0.0.1', 54193)
2024-06-11 18:34:37,799 Connected by ('127.0.0.1', 54198)
2024-06-11 18:34:37,799 Connected by ('127.0.0.1', 54199)
2024-06-11 18:34:37,800 Connected by ('127.0.0.1', 54200)
2024-06-11 18:34:42,811 Connected by ('127.0.0.1', 54204)
2024-06-11 18:34:42,812 Connected by ('127.0.0.1', 54205)
2024-06-11 18:34:42,812 Connected by ('127.0.0.1', 54206)
2024-06-11 18:34:47,828 Connected by ('127.0.0.1', 54209)
2024-06-11 18:34:47,829 Connected by ('127.0.0.1', 54210)
2024-06-11 18:34:47,834 Connected by ('127.0.0.1', 54212)
2024-06-11 18:34:52,833 Connected by ('127.0.0.1', 54217)
2024-06-11 18:34:52,833 Connected by ('127.0.0.1', 54218)
2024-06-11 18:34:52,834 Connected by ('127.0.0.1', 54219)
2024-06-11 18:34:57,845 Connected by ('127.0.0.1', 54223)
2024-06-11 18:34:57,846 Connected by ('127.0.0.1', 54224)
2024-06-11 18:34:57,846 Connected by ('127.0.0.1', 54225)
2024-06-11 18:35:02,860 Connected by ('127.0.0.1', 54229)
2024-06-11 18:35:02,861 Connected by ('127.0.0.1', 54230)
2024-06-11 18:35:02,861 Connected by ('127.0.0.1', 54231)
2024-06-11 18:35:07,875 Connected by ('127.0.0.1', 54235)
2024-06-11 18:35:07,876 Connected by ('127.0.0.1', 54236)
2024-06-11 18:35:07,877 Connected by ('127.0.0.1', 54237)
2024-06-11 18:35:12,885 Connected by ('127.0.0.1', 54241)
2024-06-11 18:35:12,885 Connected by ('127.0.0.1', 54242)
2024-06-11 18:35:12,886 Connected by ('127.0.0.1', 54243)
2024-06-11 18:35:17,901 Connected by ('127.0.0.1', 54247)
2024-06-11 18:35:17,901 Connected by ('127.0.0.1', 54248)
2024-06-11 18:35:17,902 Connected by ('127.0.0.1', 54249)
2024-06-11 18:35:22,908 Connected by ('127.0.0.1', 54253)
2024-06-11 18:35:22,909 Connected by ('127.0.0.1', 54254)
2024-06-11 18:35:22,911 Connected by ('127.0.0.1', 54255)
2024-06-11 18:35:27,915 Connected by ('127.0.0.1', 54261)
2024-06-11 18:35:27,916 Connected by ('127.0.0.1', 54262)
2024-06-11 18:35:27,917 Connected by ('127.0.0.1', 54263)
2024-06-11 18:35:32,925 Connected by ('127.0.0.1', 54267)
2024-06-11 18:35:32,926 Connected by ('127.0.0.1', 54268)
2024-06-11 18:35:32,927 Connected by ('127.0.0.1', 54269)
2024-06-11 18:35:37,939 Connected by ('127.0.0.1', 54273)
2024-06-11 18:35:37,940 Connected by ('127.0.0.1', 54274)
2024-06-11 18:35:37,940 Connected by ('127.0.0.1', 54275)
2024-06-11 18:35:42,948 Connected by ('127.0.0.1', 54279)
2024-06-11 18:35:42,948 Connected by ('127.0.0.1', 54280)
2024-06-11 18:35:42,949 Connected by ('127.0.0.1', 54281)
2024-06-11 18:35:47,962 Connected by ('127.0.0.1', 54285)
2024-06-11 18:35:47,963 Connected by ('127.0.0.1', 54286)
2024-06-11 18:35:47,963 Connected by ('127.0.0.1', 54287)
2024-06-11 18:35:52,968 Connected by ('127.0.0.1', 54292)
2024-06-11 18:35:52,969 Connected by ('127.0.0.1', 54293)
2024-06-11 18:35:52,970 Connected by ('127.0.0.1', 54294)
2024-06-11 18:35:57,983 Connected by ('127.0.0.1', 54298)
2024-06-11 18:35:57,984 Connected by ('127.0.0.1', 54299)
2024-06-11 18:35:57,984 Connected by ('127.0.0.1', 54300)
2024-06-11 18:36:02,987 Connected by ('127.0.0.1', 54304)
2024-06-11 18:36:02,988 Connected by ('127.0.0.1', 54305)
2024-06-11 18:36:02,988 Connected by ('127.0.0.1', 54306)
2024-06-11 18:36:08,006 Connected by ('127.0.0.1', 54310)
