2024-06-11 19:50:15,307 FIX Engine listening for connections
2024-06-11 19:50:15,409 Connected by ('127.0.0.1', 51283)
2024-06-11 19:50:15,410 Connected by ('127.0.0.1', 51284)
2024-06-11 19:50:20,413 Connected by ('127.0.0.1', 51289)
2024-06-11 19:50:20,414 Connected by ('127.0.0.1', 51290)
2024-06-11 19:50:25,424 Connected by ('127.0.0.1', 51297)
2024-06-11 19:50:25,425 Connected by ('127.0.0.1', 51296)
2024-06-11 19:50:30,443 Connected by ('127.0.0.1', 51302)
2024-06-11 19:50:30,444 Connected by ('127.0.0.1', 51303)
2024-06-11 19:50:35,462 Connected by ('127.0.0.1', 51309)
2024-06-11 19:50:35,463 Connected by ('127.0.0.1', 51310)
2024-06-11 19:50:40,472 Connected by ('127.0.0.1', 51315)
2024-06-11 19:50:40,473 Connected by ('127.0.0.1', 51316)
2024-06-11 19:50:45,481 Connected by ('127.0.0.1', 51321)
2024-06-11 19:50:45,481 Connected by ('127.0.0.1', 51322)
2024-06-11 19:50:50,488 Connected by ('127.0.0.1', 51327)
2024-06-11 19:50:50,489 Connected by ('127.0.0.1', 51328)
2024-06-11 19:50:55,496 Connected by ('127.0.0.1', 51333)
2024-06-11 19:50:55,502 Connected by ('127.0.0.1', 51336)
2024-06-11 19:51:00,515 Connected by ('127.0.0.1', 51339)
2024-06-11 19:51:00,515 Connected by ('127.0.0.1', 51340)
2024-06-11 19:51:05,519 Connected by ('127.0.0.1', 51345)
2024-06-11 19:51:05,520 Connected by ('127.0.0.1', 51346)
2024-06-11 19:51:10,536 Connected by ('127.0.0.1', 51351)
2024-06-11 19:51:10,536 Connected by ('127.0.0.1', 51352)
2024-06-11 19:51:15,554 Connected by ('127.0.0.1', 51357)
2024-06-11 19:51:15,554 Connected by ('127.0.0.1', 51358)
2024-06-11 19:51:20,562 Connected by ('127.0.0.1', 51363)
2024-06-11 19:51:20,563 Connected by ('127.0.0.1', 51364)
2024-06-11 19:51:25,573 Connected by ('127.0.0.1', 51369)
2024-06-11 19:51:25,574 Connected by ('127.0.0.1', 51371)
2024-06-11 19:51:30,579 Connected by ('127.0.0.1', 51375)
2024-06-11 19:51:30,579 Connected by ('127.0.0.1', 51376)
2024-06-11 19:51:35,595 Connected by ('127.0.0.1', 51382)
2024-06-11 19:51:35,595 Connected by ('127.0.0.1', 51383)
2024-06-11 19:51:40,598 Connected by ('127.0.0.1', 51389)
2024-06-11 19:51:40,599 Connected by ('127.0.0.1', 51390)
2024-06-11 19:51:45,616 Connected by ('127.0.0.1', 51395)
2024-06-11 19:51:45,617 Connected by ('127.0.0.1', 51396)
2024-06-11 19:51:50,631 Connected by ('127.0.0.1', 51402)
2024-06-11 19:51:50,632 Connected by ('127.0.0.1', 51403)
2024-06-11 19:51:55,652 Connected by ('127.0.0.1', 51424)
2024-06-11 19:51:55,653 Connected by ('127.0.0.1', 51426)
2024-06-11 19:52:00,659 Connected by ('127.0.0.1', 51431)
2024-06-11 19:52:00,660 Connected by ('127.0.0.1', 51430)
2024-06-11 19:52:05,668 Connected by ('127.0.0.1', 51440)
2024-06-11 19:52:05,669 Connected by ('127.0.0.1', 51441)
2024-06-11 19:52:10,687 Connected by ('127.0.0.1', 51447)
2024-06-11 19:52:10,687 Connected by ('127.0.0.1', 51446)
2024-06-11 19:52:15,695 Connected by ('127.0.0.1', 51452)
