2024-06-10 20:06:58,383 FIX Engine listening for connections
2024-06-10 20:06:58,535 Connected by ('127.0.0.1', 50315)
2024-06-10 20:06:58,536 Connected by ('127.0.0.1', 50317)
2024-06-10 20:07:03,545 Connected by ('127.0.0.1', 50321)
2024-06-10 20:07:03,546 Connected by ('127.0.0.1', 50323)
2024-06-10 20:07:08,559 Connected by ('127.0.0.1', 50327)
2024-06-10 20:07:08,561 Connected by ('127.0.0.1', 50329)
2024-06-10 20:07:13,563 Connected by ('127.0.0.1', 50333)
2024-06-10 20:07:13,565 Connected by ('127.0.0.1', 50336)
2024-06-10 20:07:18,575 Connected by ('127.0.0.1', 50339)
2024-06-10 20:07:18,578 Connected by ('127.0.0.1', 50341)
2024-06-10 20:07:23,582 Connected by ('127.0.0.1', 50345)
2024-06-10 20:07:23,584 Connected by ('127.0.0.1', 50347)
2024-06-10 20:07:28,598 Connected by ('127.0.0.1', 50351)
2024-06-10 20:07:28,600 Connected by ('127.0.0.1', 50352)
2024-06-10 20:07:33,614 Connected by ('127.0.0.1', 50357)
2024-06-10 20:07:33,615 Connected by ('127.0.0.1', 50358)
2024-06-10 20:07:38,623 Connected by ('127.0.0.1', 50363)
2024-06-10 20:07:38,626 Connected by ('127.0.0.1', 50365)
2024-06-10 20:07:43,630 Connected by ('127.0.0.1', 50369)
2024-06-10 20:07:43,631 Connected by ('127.0.0.1', 50370)
2024-06-10 20:07:48,640 Connected by ('127.0.0.1', 50375)
2024-06-10 20:07:48,641 Connected by ('127.0.0.1', 50376)
2024-06-10 20:07:53,657 Connected by ('127.0.0.1', 50381)
2024-06-10 20:07:53,659 Connected by ('127.0.0.1', 50382)
2024-06-10 20:07:58,692 Connected by ('127.0.0.1', 50387)
2024-06-10 20:07:58,697 Connected by ('127.0.0.1', 50389)
2024-06-10 20:08:03,686 Connected by ('127.0.0.1', 50393)
2024-06-10 20:08:03,688 Connected by ('127.0.0.1', 50394)
2024-06-10 20:08:08,692 Connected by ('127.0.0.1', 50399)
2024-06-10 20:08:08,694 Connected by ('127.0.0.1', 50400)
2024-06-10 20:08:13,702 Connected by ('127.0.0.1', 50405)
2024-06-10 20:08:13,704 Connected by ('127.0.0.1', 50406)
2024-06-10 20:08:18,720 Connected by ('127.0.0.1', 50411)
2024-06-10 20:08:18,722 Connected by ('127.0.0.1', 50412)
2024-06-10 20:08:23,733 Connected by ('127.0.0.1', 50417)
2024-06-10 20:08:23,735 Connected by ('127.0.0.1', 50418)
2024-06-10 20:08:28,746 Connected by ('127.0.0.1', 50423)
2024-06-10 20:08:28,748 Connected by ('127.0.0.1', 50424)
2024-06-10 20:08:33,764 Connected by ('127.0.0.1', 50429)
2024-06-10 20:08:33,765 Connected by ('127.0.0.1', 50430)
2024-06-10 20:08:38,780 Connected by ('127.0.0.1', 50435)
2024-06-10 20:08:38,781 Connected by ('127.0.0.1', 50436)
2024-06-10 20:08:43,799 Connected by ('127.0.0.1', 50441)
2024-06-10 20:08:43,800 Connected by ('127.0.0.1', 50442)
2024-06-10 20:08:48,816 Connected by ('127.0.0.1', 50448)
2024-06-10 20:08:48,817 Connected by ('127.0.0.1', 50447)
2024-06-10 20:08:53,829 Connected by ('127.0.0.1', 50453)
2024-06-10 20:08:53,830 Connected by ('127.0.0.1', 50454)
2024-06-10 20:08:58,834 Connected by ('127.0.0.1', 50459)
2024-06-10 20:08:58,835 Connected by ('127.0.0.1', 50460)
2024-06-10 20:09:03,848 Connected by ('127.0.0.1', 50465)
2024-06-10 20:09:03,849 Connected by ('127.0.0.1', 50466)
