2024-06-07 01:12:29,831 Order Router listening for connections
2024-06-07 01:12:32,952 Connected by ('127.0.0.1', 65178)
2024-06-07 01:12:37,961 Connected by ('127.0.0.1', 65194)
2024-06-07 01:12:42,966 Connected by ('127.0.0.1', 65210)
2024-06-07 01:12:47,982 Connected by ('127.0.0.1', 65225)
2024-06-07 01:12:52,992 Connected by ('127.0.0.1', 65241)
2024-06-07 01:12:57,999 Connected by ('127.0.0.1', 65257)
2024-06-07 01:13:03,015 Connected by ('127.0.0.1', 65273)
2024-06-07 01:13:08,034 Connected by ('127.0.0.1', 65289)
2024-06-07 01:13:13,044 Connected by ('127.0.0.1', 65305)
2024-06-07 01:13:18,052 Connected by ('127.0.0.1', 65322)
2024-06-07 01:13:23,067 Connected by ('127.0.0.1', 65338)
2024-06-07 01:13:28,077 Connected by ('127.0.0.1', 65354)
2024-06-07 01:13:33,090 Connected by ('127.0.0.1', 65370)
2024-06-07 01:13:38,109 Connected by ('127.0.0.1', 65386)
2024-06-07 01:13:43,118 Connected by ('127.0.0.1', 65402)
2024-06-07 01:13:48,128 Connected by ('127.0.0.1', 65418)
2024-06-07 01:13:53,148 Connected by ('127.0.0.1', 65434)
2024-06-07 01:13:58,152 Connected by ('127.0.0.1', 65450)
2024-06-07 01:14:03,155 Connected by ('127.0.0.1', 65465)
2024-06-07 01:14:08,163 Connected by ('127.0.0.1', 65481)
2024-06-07 01:14:13,174 Connected by ('127.0.0.1', 65497)
2024-06-07 01:14:18,180 Connected by ('127.0.0.1', 65513)
2024-06-07 01:14:23,185 Connected by ('127.0.0.1', 65529)
2024-06-07 01:14:28,189 Connected by ('127.0.0.1', 49162)
2024-06-07 01:14:33,197 Connected by ('127.0.0.1', 49179)
2024-06-07 01:14:38,202 Connected by ('127.0.0.1', 49195)
2024-06-07 01:14:43,212 Connected by ('127.0.0.1', 49212)
2024-06-07 01:14:48,226 Connected by ('127.0.0.1', 49228)
2024-06-07 01:14:53,242 Connected by ('127.0.0.1', 49244)
2024-06-07 01:14:58,252 Connected by ('127.0.0.1', 49260)
2024-06-07 01:15:03,265 Connected by ('127.0.0.1', 49276)
2024-06-07 01:15:08,274 Connected by ('127.0.0.1', 49292)
2024-06-07 01:15:13,288 Connected by ('127.0.0.1', 49307)
2024-06-07 01:15:18,306 Connected by ('127.0.0.1', 49325)
2024-06-07 01:15:23,317 Connected by ('127.0.0.1', 49341)
2024-06-07 01:15:28,331 Connected by ('127.0.0.1', 49357)
2024-06-07 01:15:33,333 Connected by ('127.0.0.1', 49373)
2024-06-07 01:15:38,351 Connected by ('127.0.0.1', 49390)
2024-06-07 01:15:43,356 Connected by ('127.0.0.1', 49407)
2024-06-07 01:15:48,365 Connected by ('127.0.0.1', 49686)
2024-06-07 01:15:53,382 Connected by ('127.0.0.1', 49702)
2024-06-07 01:15:58,392 Connected by ('127.0.0.1', 49719)
2024-06-07 01:16:03,398 Connected by ('127.0.0.1', 49736)
2024-06-07 01:16:08,405 Connected by ('127.0.0.1', 49752)
2024-06-07 01:16:13,420 Connected by ('127.0.0.1', 49768)
2024-06-07 01:16:18,424 Connected by ('127.0.0.1', 49784)
2024-06-07 01:16:23,432 Connected by ('127.0.0.1', 49801)
2024-06-07 01:16:28,436 Connected by ('127.0.0.1', 49816)
2024-06-07 01:16:33,446 Connected by ('127.0.0.1', 49832)
2024-06-07 01:16:38,458 Connected by ('127.0.0.1', 49848)
2024-06-07 01:16:43,466 Connected by ('127.0.0.1', 49864)
2024-06-07 01:16:48,479 Connected by ('127.0.0.1', 49884)
2024-06-07 01:16:53,496 Connected by ('127.0.0.1', 49900)
2024-06-07 01:16:58,512 Connected by ('127.0.0.1', 49916)
2024-06-07 01:17:03,527 Connected by ('127.0.0.1', 49932)
2024-06-07 01:17:08,543 Connected by ('127.0.0.1', 49948)
2024-06-07 01:17:13,555 Connected by ('127.0.0.1', 49964)
2024-06-07 01:17:18,569 Connected by ('127.0.0.1', 49980)
2024-06-07 01:17:23,584 Connected by ('127.0.0.1', 49996)
2024-06-07 01:17:28,597 Connected by ('127.0.0.1', 50013)
2024-06-07 01:17:33,605 Connected by ('127.0.0.1', 50033)
2024-06-07 01:17:38,621 Connected by ('127.0.0.1', 50061)
2024-06-07 01:17:43,635 Connected by ('127.0.0.1', 50080)
2024-06-07 01:17:48,638 Connected by ('127.0.0.1', 50097)
