2024-06-09 15:57:55,467 Order Router listening for connections
2024-06-09 15:57:58,591 Connected by ('127.0.0.1', 61148)
2024-06-09 15:58:03,592 Connected by ('127.0.0.1', 61164)
2024-06-09 15:58:08,606 Connected by ('127.0.0.1', 61180)
2024-06-09 15:58:13,625 Connected by ('127.0.0.1', 61196)
2024-06-09 15:58:18,642 Connected by ('127.0.0.1', 61212)
2024-06-09 15:58:23,654 Connected by ('127.0.0.1', 61228)
2024-06-09 15:58:28,666 Connected by ('127.0.0.1', 61244)
2024-06-09 15:58:33,681 Connected by ('127.0.0.1', 61260)
2024-06-09 15:58:38,687 Connected by ('127.0.0.1', 61276)
2024-06-09 15:58:43,692 Connected by ('127.0.0.1', 61292)
2024-06-09 15:58:48,702 Connected by ('127.0.0.1', 61307)
2024-06-09 15:58:53,707 Connected by ('127.0.0.1', 61323)
2024-06-09 15:58:58,723 Connected by ('127.0.0.1', 61339)
2024-06-09 15:59:03,736 Connected by ('127.0.0.1', 61357)
2024-06-09 15:59:08,747 Connected by ('127.0.0.1', 61374)
2024-06-09 15:59:13,757 Connected by ('127.0.0.1', 61390)
2024-06-09 15:59:18,765 Connected by ('127.0.0.1', 61406)
2024-06-09 15:59:23,777 Connected by ('127.0.0.1', 61422)
2024-06-09 15:59:28,789 Connected by ('127.0.0.1', 61438)
2024-06-09 15:59:33,795 Connected by ('127.0.0.1', 61454)
2024-06-09 15:59:38,799 Connected by ('127.0.0.1', 61470)
2024-06-09 15:59:43,817 Connected by ('127.0.0.1', 61486)
2024-06-09 15:59:48,828 Connected by ('127.0.0.1', 61502)
2024-06-09 15:59:53,836 Connected by ('127.0.0.1', 61517)
2024-06-09 15:59:58,848 Connected by ('127.0.0.1', 61533)
2024-06-09 16:00:03,863 Connected by ('127.0.0.1', 61549)
2024-06-09 16:00:08,870 Connected by ('127.0.0.1', 61565)
2024-06-09 16:00:13,884 Connected by ('127.0.0.1', 61581)
2024-06-09 16:00:18,898 Connected by ('127.0.0.1', 61597)
2024-06-09 16:00:23,914 Connected by ('127.0.0.1', 61613)
2024-06-09 16:00:28,920 Connected by ('127.0.0.1', 61629)
2024-06-09 16:00:33,932 Connected by ('127.0.0.1', 61645)
2024-06-09 16:00:38,950 Connected by ('127.0.0.1', 61661)
2024-06-09 16:00:43,954 Connected by ('127.0.0.1', 61677)
2024-06-09 16:00:48,968 Connected by ('127.0.0.1', 61693)
2024-06-09 16:00:53,976 Connected by ('127.0.0.1', 61709)
2024-06-09 16:00:58,987 Connected by ('127.0.0.1', 61724)
2024-06-09 16:01:04,004 Connected by ('127.0.0.1', 61740)
2024-06-09 16:01:09,014 Connected by ('127.0.0.1', 61756)
2024-06-09 16:01:14,029 Connected by ('127.0.0.1', 61772)
2024-06-09 16:01:19,039 Connected by ('127.0.0.1', 61788)
2024-06-09 16:01:24,045 Connected by ('127.0.0.1', 61804)
2024-06-09 16:01:29,053 Connected by ('127.0.0.1', 61820)
2024-06-09 16:01:34,059 Connected by ('127.0.0.1', 61836)
2024-06-09 16:01:39,071 Connected by ('127.0.0.1', 61852)
2024-06-09 16:01:44,080 Connected by ('127.0.0.1', 61868)
2024-06-09 16:01:49,089 Connected by ('127.0.0.1', 61887)
2024-06-09 16:01:54,096 Connected by ('127.0.0.1', 61903)
2024-06-09 16:01:59,101 Connected by ('127.0.0.1', 61919)
2024-06-09 16:02:04,105 Connected by ('127.0.0.1', 61934)
2024-06-09 16:02:09,112 Connected by ('127.0.0.1', 61950)
2024-06-09 16:02:14,125 Connected by ('127.0.0.1', 61966)
2024-06-09 16:02:19,129 Connected by ('127.0.0.1', 61982)
2024-06-09 16:02:24,133 Connected by ('127.0.0.1', 61998)
2024-06-09 16:02:29,147 Connected by ('127.0.0.1', 62014)
2024-06-09 16:02:34,163 Connected by ('127.0.0.1', 62030)
2024-06-09 16:02:39,167 Connected by ('127.0.0.1', 62046)
2024-06-09 16:02:44,184 Connected by ('127.0.0.1', 62062)
2024-06-09 16:02:49,195 Connected by ('127.0.0.1', 62078)
2024-06-09 16:02:54,204 Connected by ('127.0.0.1', 62094)
2024-06-09 16:02:59,220 Connected by ('127.0.0.1', 62110)
2024-06-09 16:03:04,224 Connected by ('127.0.0.1', 62126)
2024-06-09 16:03:09,230 Connected by ('127.0.0.1', 62142)
2024-06-09 16:03:14,244 Connected by ('127.0.0.1', 62157)
2024-06-09 16:03:19,251 Connected by ('127.0.0.1', 62173)
