2024-06-09 15:27:00,804 Market Simulator listening for connections
2024-06-09 15:27:02,935 Connected by ('127.0.0.1', 55229)
2024-06-09 15:27:02,936 Connected by ('127.0.0.1', 55231)
2024-06-09 15:27:02,937 Connected by ('127.0.0.1', 55232)
2024-06-09 15:27:07,938 Connected by ('127.0.0.1', 55245)
2024-06-09 15:27:07,938 Connected by ('127.0.0.1', 55247)
2024-06-09 15:27:07,939 Connected by ('127.0.0.1', 55248)
2024-06-09 15:27:12,951 Connected by ('127.0.0.1', 55261)
2024-06-09 15:27:12,952 Connected by ('127.0.0.1', 55263)
2024-06-09 15:27:12,952 Connected by ('127.0.0.1', 55264)
2024-06-09 15:27:17,966 Connected by ('127.0.0.1', 55277)
2024-06-09 15:27:17,971 Connected by ('127.0.0.1', 55279)
2024-06-09 15:27:17,972 Connected by ('127.0.0.1', 55280)
2024-06-09 15:27:22,968 Connected by ('127.0.0.1', 55293)
2024-06-09 15:27:22,969 Connected by ('127.0.0.1', 55295)
2024-06-09 15:27:22,970 Connected by ('127.0.0.1', 55296)
2024-06-09 15:27:27,988 Connected by ('127.0.0.1', 55310)
2024-06-09 15:27:27,990 Connected by ('127.0.0.1', 55311)
2024-06-09 15:27:27,991 Connected by ('127.0.0.1', 55312)
2024-06-09 15:27:33,006 Connected by ('127.0.0.1', 55326)
2024-06-09 15:27:33,007 Connected by ('127.0.0.1', 55327)
2024-06-09 15:27:33,007 Connected by ('127.0.0.1', 55328)
2024-06-09 15:27:38,015 Connected by ('127.0.0.1', 55341)
2024-06-09 15:27:38,016 Connected by ('127.0.0.1', 55342)
2024-06-09 15:27:38,021 Connected by ('127.0.0.1', 55344)
2024-06-09 15:27:43,029 Connected by ('127.0.0.1', 55357)
2024-06-09 15:27:43,030 Connected by ('127.0.0.1', 55359)
2024-06-09 15:27:43,031 Connected by ('127.0.0.1', 55360)
2024-06-09 15:27:48,040 Connected by ('127.0.0.1', 55373)
2024-06-09 15:27:48,041 Connected by ('127.0.0.1', 55375)
2024-06-09 15:27:48,042 Connected by ('127.0.0.1', 55376)
2024-06-09 15:27:53,043 Connected by ('127.0.0.1', 55389)
2024-06-09 15:27:53,043 Connected by ('127.0.0.1', 55391)
2024-06-09 15:27:53,045 Connected by ('127.0.0.1', 55392)
2024-06-09 15:27:58,053 Connected by ('127.0.0.1', 55406)
2024-06-09 15:27:58,054 Connected by ('127.0.0.1', 55407)
2024-06-09 15:27:58,054 Connected by ('127.0.0.1', 55408)
2024-06-09 15:28:03,060 Connected by ('127.0.0.1', 55422)
2024-06-09 15:28:03,060 Connected by ('127.0.0.1', 55424)
2024-06-09 15:28:03,061 Connected by ('127.0.0.1', 55425)
