2024-07-02 23:44:55,093 Order Router listening for connections
2024-07-02 23:44:59,228 Connected by ('127.0.0.1', 61425)
2024-07-02 23:45:04,232 Connected by ('127.0.0.1', 61440)
2024-07-02 23:45:10,252 Connected by ('127.0.0.1', 61458)
2024-07-02 23:45:16,264 Connected by ('127.0.0.1', 61476)
2024-07-02 23:45:22,285 Connected by ('127.0.0.1', 61494)
2024-07-02 23:45:28,314 Connected by ('127.0.0.1', 61512)
2024-07-02 23:45:34,336 Connected by ('127.0.0.1', 61530)
2024-07-02 23:45:40,363 Connected by ('127.0.0.1', 61548)
2024-07-02 23:45:46,224 Connected by ('127.0.0.1', 61566)
2024-07-02 23:45:52,246 Connected by ('127.0.0.1', 61583)
2024-07-02 23:45:58,258 Connected by ('127.0.0.1', 61601)
2024-07-02 23:46:04,255 Connected by ('127.0.0.1', 61619)
2024-07-02 23:46:10,267 Connected by ('127.0.0.1', 61637)
2024-07-02 23:46:15,313 Connected by ('127.0.0.1', 61653)
2024-07-02 23:46:21,326 Connected by ('127.0.0.1', 61671)
2024-07-02 23:46:27,359 Connected by ('127.0.0.1', 61689)
2024-07-02 23:46:33,375 Connected by ('127.0.0.1', 61708)
2024-07-02 23:46:39,392 Connected by ('127.0.0.1', 61726)
2024-07-02 23:46:44,415 Connected by ('127.0.0.1', 61742)
2024-07-02 23:46:49,446 Connected by ('127.0.0.1', 61758)
2024-07-02 23:46:55,468 Connected by ('127.0.0.1', 61776)
2024-07-02 23:47:01,494 Connected by ('127.0.0.1', 61794)
2024-07-02 23:47:07,515 Connected by ('127.0.0.1', 61812)
2024-07-02 23:47:13,522 Connected by ('127.0.0.1', 61829)
2024-07-02 23:47:18,539 Connected by ('127.0.0.1', 61845)
2024-07-02 23:47:24,558 Connected by ('127.0.0.1', 61863)
2024-07-02 23:47:30,572 Connected by ('127.0.0.1', 61881)
2024-07-02 23:47:36,588 Connected by ('127.0.0.1', 61899)
2024-07-02 23:47:41,636 Connected by ('127.0.0.1', 61915)
2024-07-02 23:47:47,655 Connected by ('127.0.0.1', 61933)
2024-07-02 23:47:53,662 Connected by ('127.0.0.1', 61951)
2024-07-02 23:47:59,679 Connected by ('127.0.0.1', 61969)
2024-07-02 23:48:05,692 Connected by ('127.0.0.1', 61987)
2024-07-02 23:48:11,715 Connected by ('127.0.0.1', 62005)
2024-07-02 23:48:17,731 Connected by ('127.0.0.1', 62023)
2024-07-02 23:48:23,748 Connected by ('127.0.0.1', 62041)
2024-07-02 23:48:28,799 Connected by ('127.0.0.1', 62057)
2024-07-02 23:48:34,807 Connected by ('127.0.0.1', 62074)
2024-07-02 23:48:40,829 Connected by ('127.0.0.1', 62092)
2024-07-02 23:48:46,842 Connected by ('127.0.0.1', 62111)
2024-07-02 23:48:52,862 Connected by ('127.0.0.1', 62129)
2024-07-02 23:48:58,879 Connected by ('127.0.0.1', 62147)
2024-07-02 23:49:03,916 Connected by ('127.0.0.1', 62163)
2024-07-02 23:49:09,943 Connected by ('127.0.0.1', 62181)
2024-07-02 23:49:15,958 Connected by ('127.0.0.1', 62199)
2024-07-02 23:49:20,992 Connected by ('127.0.0.1', 62216)
2024-07-02 23:49:27,008 Connected by ('127.0.0.1', 62234)
2024-07-02 23:49:33,033 Connected by ('127.0.0.1', 62252)
2024-07-02 23:49:39,062 Connected by ('127.0.0.1', 62270)
2024-07-02 23:49:44,102 Connected by ('127.0.0.1', 62286)
2024-07-02 23:49:50,122 Connected by ('127.0.0.1', 62304)
2024-07-02 23:49:56,140 Connected by ('127.0.0.1', 62322)
2024-07-02 23:50:02,154 Connected by ('127.0.0.1', 62339)
2024-07-02 23:50:08,164 Connected by ('127.0.0.1', 62359)
2024-07-02 23:50:14,178 Connected by ('127.0.0.1', 62378)
2024-07-02 23:50:19,244 Connected by ('127.0.0.1', 62395)
2024-07-02 23:50:24,266 Connected by ('127.0.0.1', 62412)
2024-07-02 23:50:29,299 Connected by ('127.0.0.1', 62428)
2024-07-02 23:50:34,331 Connected by ('127.0.0.1', 62444)
2024-07-02 23:50:40,356 Connected by ('127.0.0.1', 62484)
2024-07-02 23:50:46,382 Connected by ('127.0.0.1', 62502)
2024-07-02 23:50:52,395 Connected by ('127.0.0.1', 62520)
2024-07-02 23:50:57,428 Connected by ('127.0.0.1', 62536)
2024-07-02 23:51:02,446 Connected by ('127.0.0.1', 62552)
2024-07-02 23:51:07,478 Connected by ('127.0.0.1', 62568)
2024-07-02 23:51:13,497 Connected by ('127.0.0.1', 62587)
2024-07-02 23:51:18,516 Connected by ('127.0.0.1', 62603)
2024-07-02 23:51:23,555 Connected by ('127.0.0.1', 62619)
2024-07-02 23:51:29,569 Connected by ('127.0.0.1', 62637)
2024-07-02 23:51:34,608 Connected by ('127.0.0.1', 62654)
2024-07-02 23:51:39,634 Connected by ('127.0.0.1', 62670)
2024-07-02 23:51:45,639 Connected by ('127.0.0.1', 62687)
2024-07-02 23:51:51,667 Connected by ('127.0.0.1', 62705)
2024-07-02 23:51:57,682 Connected by ('127.0.0.1', 62723)
2024-07-02 23:52:03,703 Connected by ('127.0.0.1', 62741)
2024-07-02 23:52:09,734 Connected by ('127.0.0.1', 62759)
2024-07-02 23:52:14,809 Connected by ('127.0.0.1', 62775)
2024-07-02 23:52:20,826 Connected by ('127.0.0.1', 62793)
2024-07-02 23:52:25,847 Connected by ('127.0.0.1', 62809)
2024-07-02 23:52:30,883 Connected by ('127.0.0.1', 62825)
2024-07-02 23:52:36,914 Connected by ('127.0.0.1', 62843)
2024-07-02 23:52:42,922 Connected by ('127.0.0.1', 62861)
2024-07-02 23:52:48,946 Connected by ('127.0.0.1', 62879)
