2024-06-10 20:07:01,547 Market Simulator listening for connections
2024-06-10 20:07:03,546 Connected by ('127.0.0.1', 50322)
2024-06-10 20:07:03,547 Connected by ('127.0.0.1', 50324)
2024-06-10 20:07:03,548 Connected by ('127.0.0.1', 50325)
2024-06-10 20:07:08,561 Connected by ('127.0.0.1', 50328)
2024-06-10 20:07:08,564 Connected by ('127.0.0.1', 50330)
2024-06-10 20:07:08,566 Connected by ('127.0.0.1', 50331)
2024-06-10 20:07:13,564 Connected by ('127.0.0.1', 50334)
2024-06-10 20:07:13,564 Connected by ('127.0.0.1', 50335)
2024-06-10 20:07:13,566 Connected by ('127.0.0.1', 50337)
2024-06-10 20:07:18,577 Connected by ('127.0.0.1', 50340)
2024-06-10 20:07:18,585 Connected by ('127.0.0.1', 50342)
2024-06-10 20:07:18,587 Connected by ('127.0.0.1', 50343)
2024-06-10 20:07:23,583 Connected by ('127.0.0.1', 50346)
2024-06-10 20:07:23,585 Connected by ('127.0.0.1', 50348)
2024-06-10 20:07:23,587 Connected by ('127.0.0.1', 50349)
2024-06-10 20:07:28,600 Connected by ('127.0.0.1', 50353)
2024-06-10 20:07:28,602 Connected by ('127.0.0.1', 50354)
2024-06-10 20:07:28,603 Connected by ('127.0.0.1', 50355)
2024-06-10 20:07:33,617 Connected by ('127.0.0.1', 50359)
2024-06-10 20:07:33,621 Connected by ('127.0.0.1', 50360)
2024-06-10 20:07:33,622 Connected by ('127.0.0.1', 50361)
2024-06-10 20:07:38,625 Connected by ('127.0.0.1', 50364)
2024-06-10 20:07:38,628 Connected by ('127.0.0.1', 50366)
2024-06-10 20:07:38,631 Connected by ('127.0.0.1', 50367)
2024-06-10 20:07:43,631 Connected by ('127.0.0.1', 50371)
2024-06-10 20:07:43,633 Connected by ('127.0.0.1', 50372)
2024-06-10 20:07:43,634 Connected by ('127.0.0.1', 50373)
2024-06-10 20:07:48,641 Connected by ('127.0.0.1', 50377)
