2024-06-10 22:37:03,755 Market Simulator listening for connections
2024-06-10 22:37:05,942 Connected by ('127.0.0.1', 65414)
2024-06-10 22:37:05,943 Connected by ('127.0.0.1', 65416)
2024-06-10 22:37:05,943 Connected by ('127.0.0.1', 65417)
2024-06-10 22:37:10,961 Connected by ('127.0.0.1', 65421)
2024-06-10 22:37:10,961 Connected by ('127.0.0.1', 65422)
2024-06-10 22:37:10,962 Connected by ('127.0.0.1', 65423)
2024-06-10 22:37:15,973 Connected by ('127.0.0.1', 65428)
2024-06-10 22:37:15,974 Connected by ('127.0.0.1', 65429)
2024-06-10 22:37:15,974 Connected by ('127.0.0.1', 65430)
2024-06-10 22:37:20,983 Connected by ('127.0.0.1', 65433)
2024-06-10 22:37:20,989 Connected by ('127.0.0.1', 65436)
2024-06-10 22:37:20,990 Connected by ('127.0.0.1', 65435)
2024-06-10 22:37:26,000 Connected by ('127.0.0.1', 65439)
2024-06-10 22:37:26,000 Connected by ('127.0.0.1', 65441)
2024-06-10 22:37:26,001 Connected by ('127.0.0.1', 65442)
2024-06-10 22:37:31,016 Connected by ('127.0.0.1', 65446)
2024-06-10 22:37:31,016 Connected by ('127.0.0.1', 65447)
2024-06-10 22:37:31,017 Connected by ('127.0.0.1', 65448)
2024-06-10 22:37:36,028 Connected by ('127.0.0.1', 65451)
2024-06-10 22:37:36,029 Connected by ('127.0.0.1', 65453)
2024-06-10 22:37:36,029 Connected by ('127.0.0.1', 65454)
2024-06-10 22:37:41,039 Connected by ('127.0.0.1', 65458)
2024-06-10 22:37:41,040 Connected by ('127.0.0.1', 65459)
2024-06-10 22:37:41,045 Connected by ('127.0.0.1', 65461)
2024-06-10 22:37:46,055 Connected by ('127.0.0.1', 65467)
2024-06-10 22:37:46,056 Connected by ('127.0.0.1', 65469)
2024-06-10 22:37:46,057 Connected by ('127.0.0.1', 65470)
2024-06-10 22:37:51,071 Connected by ('127.0.0.1', 65473)
2024-06-10 22:37:51,071 Connected by ('127.0.0.1', 65475)
2024-06-10 22:37:51,072 Connected by ('127.0.0.1', 65476)
2024-06-10 22:37:56,077 Connected by ('127.0.0.1', 65479)
2024-06-10 22:37:56,078 Connected by ('127.0.0.1', 65481)
2024-06-10 22:37:56,079 Connected by ('127.0.0.1', 65482)
2024-06-10 22:38:01,085 Connected by ('127.0.0.1', 65487)
2024-06-10 22:38:01,086 Connected by ('127.0.0.1', 65488)
2024-06-10 22:38:01,087 Connected by ('127.0.0.1', 65489)
2024-06-10 22:38:06,087 Connected by ('127.0.0.1', 65493)
2024-06-10 22:38:06,088 Connected by ('127.0.0.1', 65494)
2024-06-10 22:38:06,088 Connected by ('127.0.0.1', 65495)
2024-06-10 22:38:11,098 Connected by ('127.0.0.1', 65498)
2024-06-10 22:38:11,099 Connected by ('127.0.0.1', 65500)
2024-06-10 22:38:11,099 Connected by ('127.0.0.1', 65501)
2024-06-10 22:38:16,109 Connected by ('127.0.0.1', 65505)
2024-06-10 22:38:16,109 Connected by ('127.0.0.1', 65506)
2024-06-10 22:38:16,111 Connected by ('127.0.0.1', 65507)
2024-06-10 22:38:21,115 Connected by ('127.0.0.1', 65511)
2024-06-10 22:38:21,115 Connected by ('127.0.0.1', 65512)
2024-06-10 22:38:21,116 Connected by ('127.0.0.1', 65513)
2024-06-10 22:38:26,131 Connected by ('127.0.0.1', 65517)
2024-06-10 22:38:26,134 Connected by ('127.0.0.1', 65518)
2024-06-10 22:38:26,135 Connected by ('127.0.0.1', 65519)
2024-06-10 22:38:31,142 Connected by ('127.0.0.1', 65522)
2024-06-10 22:38:31,143 Connected by ('127.0.0.1', 65524)
2024-06-10 22:38:31,143 Connected by ('127.0.0.1', 65525)
2024-06-10 22:38:36,152 Connected by ('127.0.0.1', 65529)
2024-06-10 22:38:36,153 Connected by ('127.0.0.1', 65530)
2024-06-10 22:38:36,154 Connected by ('127.0.0.1', 65531)
2024-06-10 22:38:41,163 Connected by ('127.0.0.1', 49152)
2024-06-10 22:38:41,164 Connected by ('127.0.0.1', 49153)
2024-06-10 22:38:41,165 Connected by ('127.0.0.1', 49154)
2024-06-10 22:38:46,168 Connected by ('127.0.0.1', 49157)
2024-06-10 22:38:46,169 Connected by ('127.0.0.1', 49159)
2024-06-10 22:38:46,169 Connected by ('127.0.0.1', 49160)
2024-06-10 22:38:51,171 Connected by ('127.0.0.1', 49164)
2024-06-10 22:38:51,172 Connected by ('127.0.0.1', 49165)
2024-06-10 22:38:51,173 Connected by ('127.0.0.1', 49166)
2024-06-10 22:38:56,187 Connected by ('127.0.0.1', 49170)
2024-06-10 22:38:56,188 Connected by ('127.0.0.1', 49171)
2024-06-10 22:38:56,189 Connected by ('127.0.0.1', 49172)
2024-06-10 22:39:01,201 Connected by ('127.0.0.1', 49176)
2024-06-10 22:39:01,201 Connected by ('127.0.0.1', 49177)
2024-06-10 22:39:01,202 Connected by ('127.0.0.1', 49178)
2024-06-10 22:39:06,202 Connected by ('127.0.0.1', 49182)
2024-06-10 22:39:06,203 Connected by ('127.0.0.1', 49184)
2024-06-10 22:39:06,204 Connected by ('127.0.0.1', 49185)
2024-06-10 22:39:11,220 Connected by ('127.0.0.1', 49189)
2024-06-10 22:39:11,221 Connected by ('127.0.0.1', 49190)
2024-06-10 22:39:11,221 Connected by ('127.0.0.1', 49191)
2024-06-10 22:39:16,229 Connected by ('127.0.0.1', 49194)
2024-06-10 22:39:16,230 Connected by ('127.0.0.1', 49196)
2024-06-10 22:39:16,230 Connected by ('127.0.0.1', 49197)
2024-06-10 22:39:21,233 Connected by ('127.0.0.1', 49200)
2024-06-10 22:39:21,234 Connected by ('127.0.0.1', 49202)
2024-06-10 22:39:21,234 Connected by ('127.0.0.1', 49203)
2024-06-10 22:39:26,245 Connected by ('127.0.0.1', 49207)
2024-06-10 22:39:26,247 Connected by ('127.0.0.1', 49208)
2024-06-10 22:39:26,248 Connected by ('127.0.0.1', 49209)
2024-06-10 22:39:31,257 Connected by ('127.0.0.1', 49213)
2024-06-10 22:39:31,257 Connected by ('127.0.0.1', 49214)
2024-06-10 22:39:31,258 Connected by ('127.0.0.1', 49215)
2024-06-10 22:39:36,266 Connected by ('127.0.0.1', 49219)
2024-06-10 22:39:36,266 Connected by ('127.0.0.1', 49220)
2024-06-10 22:39:36,266 Connected by ('127.0.0.1', 49221)
2024-06-10 22:39:41,276 Connected by ('127.0.0.1', 49224)
2024-06-10 22:39:41,277 Connected by ('127.0.0.1', 49226)
2024-06-10 22:39:41,277 Connected by ('127.0.0.1', 49227)
2024-06-10 22:39:46,291 Connected by ('127.0.0.1', 49231)
2024-06-10 22:39:46,292 Connected by ('127.0.0.1', 49232)
2024-06-10 22:39:46,292 Connected by ('127.0.0.1', 49233)
2024-06-10 22:39:51,300 Connected by ('127.0.0.1', 49243)
2024-06-10 22:39:51,301 Connected by ('127.0.0.1', 49245)
2024-06-10 22:39:51,301 Connected by ('127.0.0.1', 49246)
2024-06-10 22:39:56,305 Connected by ('127.0.0.1', 49250)
2024-06-10 22:39:56,305 Connected by ('127.0.0.1', 49251)
2024-06-10 22:39:56,306 Connected by ('127.0.0.1', 49252)
2024-06-10 22:40:01,318 Connected by ('127.0.0.1', 49256)
2024-06-10 22:40:01,319 Connected by ('127.0.0.1', 49257)
2024-06-10 22:40:01,320 Connected by ('127.0.0.1', 49258)
2024-06-10 22:40:06,329 Connected by ('127.0.0.1', 49262)
2024-06-10 22:40:06,330 Connected by ('127.0.0.1', 49263)
2024-06-10 22:40:06,330 Connected by ('127.0.0.1', 49264)
2024-06-10 22:40:11,347 Connected by ('127.0.0.1', 49268)
2024-06-10 22:40:11,348 Connected by ('127.0.0.1', 49269)
2024-06-10 22:40:11,348 Connected by ('127.0.0.1', 49270)
2024-06-10 22:40:16,362 Connected by ('127.0.0.1', 49276)
2024-06-10 22:40:16,362 Connected by ('127.0.0.1', 49277)
2024-06-10 22:40:16,363 Connected by ('127.0.0.1', 49278)
2024-06-10 22:40:21,369 Connected by ('127.0.0.1', 49281)
2024-06-10 22:40:21,370 Connected by ('127.0.0.1', 49283)
2024-06-10 22:40:21,370 Connected by ('127.0.0.1', 49284)
2024-06-10 22:40:26,376 Connected by ('127.0.0.1', 49288)
2024-06-10 22:40:26,376 Connected by ('127.0.0.1', 49289)
2024-06-10 22:40:26,377 Connected by ('127.0.0.1', 49290)
2024-06-10 22:40:31,391 Connected by ('127.0.0.1', 49294)
2024-06-10 22:40:31,391 Connected by ('127.0.0.1', 49295)
2024-06-10 22:40:31,392 Connected by ('127.0.0.1', 49296)
2024-06-10 22:40:36,398 Connected by ('127.0.0.1', 49300)
2024-06-10 22:40:36,398 Connected by ('127.0.0.1', 49301)
2024-06-10 22:40:36,399 Connected by ('127.0.0.1', 49302)
2024-06-10 22:40:41,404 Connected by ('127.0.0.1', 49306)
2024-06-10 22:40:41,405 Connected by ('127.0.0.1', 49307)
2024-06-10 22:40:41,405 Connected by ('127.0.0.1', 49308)
2024-06-10 22:40:46,416 Connected by ('127.0.0.1', 49315)
2024-06-10 22:40:46,417 Connected by ('127.0.0.1', 49316)
2024-06-10 22:40:46,418 Connected by ('127.0.0.1', 49317)
2024-06-10 22:40:51,433 Connected by ('127.0.0.1', 49322)
2024-06-10 22:40:51,435 Connected by ('127.0.0.1', 49323)
2024-06-10 22:40:51,436 Connected by ('127.0.0.1', 49324)
2024-06-10 22:40:56,437 Connected by ('127.0.0.1', 49328)
2024-06-10 22:40:56,437 Connected by ('127.0.0.1', 49329)
2024-06-10 22:40:56,438 Connected by ('127.0.0.1', 49330)
