2024-06-11 21:11:58,110 Order Router listening for connections
2024-06-11 21:12:01,231 Connected by ('127.0.0.1', 49793)
2024-06-11 21:12:06,235 Connected by ('127.0.0.1', 49816)
2024-06-11 21:12:11,240 Connected by ('127.0.0.1', 49831)
2024-06-11 21:12:16,253 Connected by ('127.0.0.1', 49851)
2024-06-11 21:12:21,260 Connected by ('127.0.0.1', 49868)
2024-06-11 21:12:26,274 Connected by ('127.0.0.1', 49886)
2024-06-11 21:12:31,283 Connected by ('127.0.0.1', 49902)
2024-06-11 21:12:36,288 Connected by ('127.0.0.1', 49921)
2024-06-11 21:12:41,305 Connected by ('127.0.0.1', 49940)
2024-06-11 21:12:46,319 Connected by ('127.0.0.1', 49962)
2024-06-11 21:12:51,335 Connected by ('127.0.0.1', 49978)
2024-06-11 21:12:56,350 Connected by ('127.0.0.1', 49999)
2024-06-11 21:13:01,362 Connected by ('127.0.0.1', 50017)
2024-06-11 21:13:06,369 Connected by ('127.0.0.1', 50033)
2024-06-11 21:13:11,387 Connected by ('127.0.0.1', 50049)
2024-06-11 21:13:16,399 Connected by ('127.0.0.1', 50065)
2024-06-11 21:13:21,403 Connected by ('127.0.0.1', 50081)
2024-06-11 21:13:26,419 Connected by ('127.0.0.1', 50097)
2024-06-11 21:13:31,430 Connected by ('127.0.0.1', 50113)
2024-06-11 21:13:36,448 Connected by ('127.0.0.1', 50129)
2024-06-11 21:13:41,464 Connected by ('127.0.0.1', 50145)
2024-06-11 21:13:46,476 Connected by ('127.0.0.1', 50161)
2024-06-11 21:13:51,482 Connected by ('127.0.0.1', 50177)
2024-06-11 21:13:56,497 Connected by ('127.0.0.1', 50193)
2024-06-11 21:14:01,509 Connected by ('127.0.0.1', 50209)
2024-06-11 21:14:06,527 Connected by ('127.0.0.1', 50231)
2024-06-11 21:14:11,538 Connected by ('127.0.0.1', 50247)
2024-06-11 21:14:16,542 Connected by ('127.0.0.1', 50263)
2024-06-11 21:14:21,556 Connected by ('127.0.0.1', 50278)
2024-06-11 21:14:26,567 Connected by ('127.0.0.1', 50294)
2024-06-11 21:14:31,578 Connected by ('127.0.0.1', 50310)
2024-06-11 21:14:36,583 Connected by ('127.0.0.1', 50326)
2024-06-11 21:14:41,590 Connected by ('127.0.0.1', 50342)
2024-06-11 21:14:46,598 Connected by ('127.0.0.1', 50358)
2024-06-11 21:14:51,609 Connected by ('127.0.0.1', 50374)
2024-06-11 21:14:56,621 Connected by ('127.0.0.1', 50391)
2024-06-11 21:15:01,636 Connected by ('127.0.0.1', 50407)
2024-06-11 21:15:06,652 Connected by ('127.0.0.1', 50423)
2024-06-11 21:15:11,660 Connected by ('127.0.0.1', 50439)
2024-06-11 21:15:16,674 Connected by ('127.0.0.1', 50455)
2024-06-11 21:15:21,683 Connected by ('127.0.0.1', 50470)
2024-06-11 21:15:26,696 Connected by ('127.0.0.1', 50486)
2024-06-11 21:15:31,700 Connected by ('127.0.0.1', 50502)
2024-06-11 21:15:36,712 Connected by ('127.0.0.1', 50518)
2024-06-11 21:15:41,727 Connected by ('127.0.0.1', 50534)
2024-06-11 21:15:46,787 Connected by ('127.0.0.1', 50550)
2024-06-11 21:15:51,743 Connected by ('127.0.0.1', 50566)
2024-06-11 21:15:56,758 Connected by ('127.0.0.1', 50582)
2024-06-11 21:16:01,778 Connected by ('127.0.0.1', 50598)
2024-06-11 21:16:06,786 Connected by ('127.0.0.1', 50618)
2024-06-11 21:16:11,789 Connected by ('127.0.0.1', 50634)
2024-06-11 21:16:16,803 Connected by ('127.0.0.1', 50650)
2024-06-11 21:16:21,811 Connected by ('127.0.0.1', 50666)
2024-06-11 21:16:26,822 Connected by ('127.0.0.1', 50682)
2024-06-11 21:16:31,830 Connected by ('127.0.0.1', 50698)
2024-06-11 21:16:36,845 Connected by ('127.0.0.1', 50713)
2024-06-11 21:16:41,857 Connected by ('127.0.0.1', 50729)
2024-06-11 21:16:46,863 Connected by ('127.0.0.1', 50745)
2024-06-11 21:16:51,880 Connected by ('127.0.0.1', 50761)
2024-06-11 21:16:56,890 Connected by ('127.0.0.1', 50777)
2024-06-11 21:17:01,905 Connected by ('127.0.0.1', 50793)
2024-06-11 21:17:06,913 Connected by ('127.0.0.1', 50809)
2024-06-11 21:17:11,927 Connected by ('127.0.0.1', 50825)
2024-06-11 21:17:16,942 Connected by ('127.0.0.1', 50841)
2024-06-11 21:17:21,951 Connected by ('127.0.0.1', 50857)
2024-06-11 21:17:26,958 Connected by ('127.0.0.1', 50874)
2024-06-11 21:17:31,975 Connected by ('127.0.0.1', 50890)
2024-06-11 21:17:36,988 Connected by ('127.0.0.1', 50906)
2024-06-11 21:17:42,000 Connected by ('127.0.0.1', 50922)
2024-06-11 21:17:47,008 Connected by ('127.0.0.1', 50937)
