2024-06-08 12:41:22,978 Market Simulator listening for connections
2024-06-08 12:41:25,049 Connected by ('127.0.0.1', 50684)
2024-06-08 12:41:25,050 Connected by ('127.0.0.1', 50685)
2024-06-08 12:41:25,050 Connected by ('127.0.0.1', 50686)
2024-06-08 12:41:30,054 Connected by ('127.0.0.1', 50699)
2024-06-08 12:41:30,055 Connected by ('127.0.0.1', 50701)
2024-06-08 12:41:30,055 Connected by ('127.0.0.1', 50702)
2024-06-08 12:41:35,064 Connected by ('127.0.0.1', 50716)
2024-06-08 12:41:35,065 Connected by ('127.0.0.1', 50717)
2024-06-08 12:41:35,066 Connected by ('127.0.0.1', 50718)
2024-06-08 12:41:40,079 Connected by ('127.0.0.1', 50732)
2024-06-08 12:41:40,084 Connected by ('127.0.0.1', 50733)
2024-06-08 12:41:40,085 Connected by ('127.0.0.1', 50734)
2024-06-08 12:41:45,089 Connected by ('127.0.0.1', 50748)
2024-06-08 12:41:45,089 Connected by ('127.0.0.1', 50749)
2024-06-08 12:41:45,090 Connected by ('127.0.0.1', 50750)
2024-06-08 12:41:50,110 Connected by ('127.0.0.1', 50764)
2024-06-08 12:41:50,112 Connected by ('127.0.0.1', 50765)
2024-06-08 12:41:50,113 Connected by ('127.0.0.1', 50766)
2024-06-08 12:41:55,120 Connected by ('127.0.0.1', 50780)
2024-06-08 12:41:55,121 Connected by ('127.0.0.1', 50782)
2024-06-08 12:41:55,122 Connected by ('127.0.0.1', 50783)
2024-06-08 12:42:00,133 Connected by ('127.0.0.1', 50796)
2024-06-08 12:42:00,133 Connected by ('127.0.0.1', 50797)
2024-06-08 12:42:00,139 Connected by ('127.0.0.1', 50799)
2024-06-08 12:42:05,140 Connected by ('127.0.0.1', 50813)
2024-06-08 12:42:05,141 Connected by ('127.0.0.1', 50814)
2024-06-08 12:42:05,142 Connected by ('127.0.0.1', 50815)
2024-06-08 12:42:10,149 Connected by ('127.0.0.1', 50829)
2024-06-08 12:42:10,150 Connected by ('127.0.0.1', 50830)
2024-06-08 12:42:10,150 Connected by ('127.0.0.1', 50831)
2024-06-08 12:42:15,158 Connected by ('127.0.0.1', 50844)
2024-06-08 12:42:15,159 Connected by ('127.0.0.1', 50846)
2024-06-08 12:42:15,159 Connected by ('127.0.0.1', 50847)
2024-06-08 12:42:20,173 Connected by ('127.0.0.1', 50862)
2024-06-08 12:42:20,174 Connected by ('127.0.0.1', 50865)
2024-06-08 12:42:20,174 Connected by ('127.0.0.1', 50866)
2024-06-08 12:42:25,189 Connected by ('127.0.0.1', 50880)
2024-06-08 12:42:25,190 Connected by ('127.0.0.1', 50881)
2024-06-08 12:42:25,190 Connected by ('127.0.0.1', 50882)
2024-06-08 12:42:30,207 Connected by ('127.0.0.1', 50895)
2024-06-08 12:42:30,208 Connected by ('127.0.0.1', 50897)
2024-06-08 12:42:30,209 Connected by ('127.0.0.1', 50898)
2024-06-08 12:42:35,221 Connected by ('127.0.0.1', 50911)
2024-06-08 12:42:35,221 Connected by ('127.0.0.1', 50913)
2024-06-08 12:42:35,222 Connected by ('127.0.0.1', 50914)
2024-06-08 12:42:40,231 Connected by ('127.0.0.1', 50928)
2024-06-08 12:42:40,232 Connected by ('127.0.0.1', 50929)
2024-06-08 12:42:40,233 Connected by ('127.0.0.1', 50930)
2024-06-08 12:42:45,241 Connected by ('127.0.0.1', 50944)
2024-06-08 12:42:45,241 Connected by ('127.0.0.1', 50945)
2024-06-08 12:42:45,242 Connected by ('127.0.0.1', 50946)
2024-06-08 12:42:50,245 Connected by ('127.0.0.1', 50960)
2024-06-08 12:42:50,246 Connected by ('127.0.0.1', 50961)
2024-06-08 12:42:50,246 Connected by ('127.0.0.1', 50962)
2024-06-08 12:42:55,252 Connected by ('127.0.0.1', 50976)
2024-06-08 12:42:55,253 Connected by ('127.0.0.1', 50977)
2024-06-08 12:42:55,254 Connected by ('127.0.0.1', 50978)
2024-06-08 12:43:00,255 Connected by ('127.0.0.1', 50991)
2024-06-08 12:43:00,256 Connected by ('127.0.0.1', 50992)
2024-06-08 12:43:00,257 Connected by ('127.0.0.1', 50993)
2024-06-08 12:43:05,268 Connected by ('127.0.0.1', 51006)
2024-06-08 12:43:05,270 Connected by ('127.0.0.1', 51008)
2024-06-08 12:43:05,271 Connected by ('127.0.0.1', 51009)
2024-06-08 12:43:10,276 Connected by ('127.0.0.1', 51023)
2024-06-08 12:43:10,276 Connected by ('127.0.0.1', 51024)
2024-06-08 12:43:10,277 Connected by ('127.0.0.1', 51025)
2024-06-08 12:43:15,283 Connected by ('127.0.0.1', 51039)
2024-06-08 12:43:15,284 Connected by ('127.0.0.1', 51040)
2024-06-08 12:43:15,284 Connected by ('127.0.0.1', 51041)
2024-06-08 12:43:20,300 Connected by ('127.0.0.1', 51056)
2024-06-08 12:43:20,302 Connected by ('127.0.0.1', 51058)
2024-06-08 12:43:20,302 Connected by ('127.0.0.1', 51059)
2024-06-08 12:43:25,315 Connected by ('127.0.0.1', 51072)
2024-06-08 12:43:25,316 Connected by ('127.0.0.1', 51074)
2024-06-08 12:43:25,316 Connected by ('127.0.0.1', 51075)
2024-06-08 12:43:30,327 Connected by ('127.0.0.1', 51089)
2024-06-08 12:43:30,328 Connected by ('127.0.0.1', 51091)
2024-06-08 12:43:30,328 Connected by ('127.0.0.1', 51092)
2024-06-08 12:43:35,340 Connected by ('127.0.0.1', 51106)
2024-06-08 12:43:35,341 Connected by ('127.0.0.1', 51107)
2024-06-08 12:43:35,342 Connected by ('127.0.0.1', 51108)
2024-06-08 12:43:40,353 Connected by ('127.0.0.1', 51124)
2024-06-08 12:43:40,354 Connected by ('127.0.0.1', 51125)
2024-06-08 12:43:40,354 Connected by ('127.0.0.1', 51126)
2024-06-08 12:43:45,359 Connected by ('127.0.0.1', 51140)
2024-06-08 12:43:45,360 Connected by ('127.0.0.1', 51141)
2024-06-08 12:43:45,360 Connected by ('127.0.0.1', 51142)
2024-06-08 12:43:50,369 Connected by ('127.0.0.1', 51156)
2024-06-08 12:43:50,370 Connected by ('127.0.0.1', 51157)
2024-06-08 12:43:50,370 Connected by ('127.0.0.1', 51158)
2024-06-08 12:43:55,382 Connected by ('127.0.0.1', 51172)
2024-06-08 12:43:55,383 Connected by ('127.0.0.1', 51173)
2024-06-08 12:43:55,384 Connected by ('127.0.0.1', 51174)
2024-06-08 12:44:00,397 Connected by ('127.0.0.1', 51188)
2024-06-08 12:44:00,398 Connected by ('127.0.0.1', 51190)
2024-06-08 12:44:00,399 Connected by ('127.0.0.1', 51189)
2024-06-08 12:44:05,411 Connected by ('127.0.0.1', 51203)
2024-06-08 12:44:05,411 Connected by ('127.0.0.1', 51205)
2024-06-08 12:44:05,412 Connected by ('127.0.0.1', 51206)
2024-06-08 12:44:10,423 Connected by ('127.0.0.1', 51220)
2024-06-08 12:44:10,424 Connected by ('127.0.0.1', 51221)
2024-06-08 12:44:10,424 Connected by ('127.0.0.1', 51222)
2024-06-08 12:44:15,431 Connected by ('127.0.0.1', 51235)
2024-06-08 12:44:15,432 Connected by ('127.0.0.1', 51236)
2024-06-08 12:44:15,433 Connected by ('127.0.0.1', 51237)
2024-06-08 12:44:20,439 Connected by ('127.0.0.1', 51251)
2024-06-08 12:44:20,439 Connected by ('127.0.0.1', 51252)
2024-06-08 12:44:20,440 Connected by ('127.0.0.1', 51253)
2024-06-08 12:44:25,447 Connected by ('127.0.0.1', 51266)
2024-06-08 12:44:25,447 Connected by ('127.0.0.1', 51268)
2024-06-08 12:44:25,448 Connected by ('127.0.0.1', 51269)
2024-06-08 12:44:30,463 Connected by ('127.0.0.1', 51282)
2024-06-08 12:44:30,464 Connected by ('127.0.0.1', 51284)
2024-06-08 12:44:30,464 Connected by ('127.0.0.1', 51285)
2024-06-08 12:44:35,472 Connected by ('127.0.0.1', 51298)
2024-06-08 12:44:35,473 Connected by ('127.0.0.1', 51300)
2024-06-08 12:44:35,473 Connected by ('127.0.0.1', 51301)
2024-06-08 12:44:40,488 Connected by ('127.0.0.1', 51315)
2024-06-08 12:44:40,490 Connected by ('127.0.0.1', 51316)
2024-06-08 12:44:40,490 Connected by ('127.0.0.1', 51317)
2024-06-08 12:44:45,491 Connected by ('127.0.0.1', 51331)
2024-06-08 12:44:45,491 Connected by ('127.0.0.1', 51333)
2024-06-08 12:44:45,492 Connected by ('127.0.0.1', 51334)
2024-06-08 12:44:50,493 Connected by ('127.0.0.1', 51347)
2024-06-08 12:44:50,494 Connected by ('127.0.0.1', 51349)
