2024-06-07 00:56:13,203 Order Router listening for connections
2024-06-07 00:56:16,347 Connected by ('127.0.0.1', 62208)
2024-06-07 00:56:21,359 Connected by ('127.0.0.1', 62224)
2024-06-07 00:56:26,375 Connected by ('127.0.0.1', 62240)
2024-06-07 00:56:31,392 Connected by ('127.0.0.1', 62256)
2024-06-07 00:56:36,400 Connected by ('127.0.0.1', 62272)
2024-06-07 00:56:41,413 Connected by ('127.0.0.1', 62288)
2024-06-07 00:56:46,430 Connected by ('127.0.0.1', 62304)
2024-06-07 00:56:51,443 Connected by ('127.0.0.1', 62320)
2024-06-07 00:56:56,452 Connected by ('127.0.0.1', 62336)
2024-06-07 00:57:01,468 Connected by ('127.0.0.1', 62352)
2024-06-07 00:57:06,474 Connected by ('127.0.0.1', 62368)
2024-06-07 00:57:11,487 Connected by ('127.0.0.1', 62384)
2024-06-07 00:57:16,500 Connected by ('127.0.0.1', 62399)
2024-06-07 00:57:21,510 Connected by ('127.0.0.1', 62415)
2024-06-07 00:57:26,514 Connected by ('127.0.0.1', 62433)
2024-06-07 00:57:31,518 Connected by ('127.0.0.1', 62449)
2024-06-07 00:57:36,524 Connected by ('127.0.0.1', 62465)
2024-06-07 00:57:41,542 Connected by ('127.0.0.1', 62481)
2024-06-07 00:57:46,548 Connected by ('127.0.0.1', 62497)
2024-06-07 00:57:51,556 Connected by ('127.0.0.1', 62513)
2024-06-07 00:57:56,568 Connected by ('127.0.0.1', 62529)
2024-06-07 00:58:01,580 Connected by ('127.0.0.1', 62545)
2024-06-07 00:58:06,589 Connected by ('127.0.0.1', 62562)
2024-06-07 00:58:11,601 Connected by ('127.0.0.1', 62578)
2024-06-07 00:58:16,614 Connected by ('127.0.0.1', 62594)
2024-06-07 00:58:21,626 Connected by ('127.0.0.1', 62609)
2024-06-07 00:58:26,635 Connected by ('127.0.0.1', 62625)
2024-06-07 00:58:31,648 Connected by ('127.0.0.1', 62641)
2024-06-07 00:58:36,653 Connected by ('127.0.0.1', 62657)
2024-06-07 00:58:41,662 Connected by ('127.0.0.1', 62673)
2024-06-07 00:58:46,677 Connected by ('127.0.0.1', 62689)
2024-06-07 00:58:51,689 Connected by ('127.0.0.1', 62706)
2024-06-07 00:58:56,698 Connected by ('127.0.0.1', 62722)
2024-06-07 00:59:01,708 Connected by ('127.0.0.1', 62738)
2024-06-07 00:59:06,727 Connected by ('127.0.0.1', 62754)
2024-06-07 00:59:11,743 Connected by ('127.0.0.1', 62771)
2024-06-07 00:59:16,758 Connected by ('127.0.0.1', 62787)
2024-06-07 00:59:21,761 Connected by ('127.0.0.1', 62803)
2024-06-07 00:59:26,777 Connected by ('127.0.0.1', 62819)
2024-06-07 00:59:31,785 Connected by ('127.0.0.1', 62835)
2024-06-07 00:59:36,794 Connected by ('127.0.0.1', 62851)
2024-06-07 00:59:41,805 Connected by ('127.0.0.1', 62867)
2024-06-07 00:59:46,812 Connected by ('127.0.0.1', 62883)
2024-06-07 00:59:51,825 Connected by ('127.0.0.1', 62899)
2024-06-07 00:59:56,844 Connected by ('127.0.0.1', 62915)
2024-06-07 01:00:01,854 Connected by ('127.0.0.1', 62931)
2024-06-07 01:00:06,863 Connected by ('127.0.0.1', 62947)
2024-06-07 01:00:11,879 Connected by ('127.0.0.1', 62963)
2024-06-07 01:00:16,891 Connected by ('127.0.0.1', 62979)
2024-06-07 01:00:21,907 Connected by ('127.0.0.1', 62996)
2024-06-07 01:00:26,909 Connected by ('127.0.0.1', 63012)
2024-06-07 01:00:31,914 Connected by ('127.0.0.1', 63028)
2024-06-07 01:00:36,930 Connected by ('127.0.0.1', 63044)
2024-06-07 01:00:41,942 Connected by ('127.0.0.1', 63062)
2024-06-07 01:00:46,958 Connected by ('127.0.0.1', 63078)
2024-06-07 01:00:51,965 Connected by ('127.0.0.1', 63093)
