2024-06-07 00:49:09,804 Order Router listening for connections
2024-06-07 00:49:12,872 Connected by ('127.0.0.1', 60852)
2024-06-07 00:49:18,020 Connected by ('127.0.0.1', 60868)
2024-06-07 00:49:23,036 Connected by ('127.0.0.1', 60884)
2024-06-07 00:49:28,039 Connected by ('127.0.0.1', 60900)
2024-06-07 00:49:33,053 Connected by ('127.0.0.1', 60919)
2024-06-07 00:49:38,066 Connected by ('127.0.0.1', 60935)
2024-06-07 00:49:43,074 Connected by ('127.0.0.1', 60951)
2024-06-07 00:49:48,079 Connected by ('127.0.0.1', 60966)
2024-06-07 00:49:53,104 Connected by ('127.0.0.1', 60982)
2024-06-07 00:49:58,101 Connected by ('127.0.0.1', 60998)
2024-06-07 00:50:03,118 Connected by ('127.0.0.1', 61014)
2024-06-07 00:50:08,130 Connected by ('127.0.0.1', 61030)
2024-06-07 00:50:13,135 Connected by ('127.0.0.1', 61046)
2024-06-07 00:50:18,148 Connected by ('127.0.0.1', 61064)
2024-06-07 00:50:23,153 Connected by ('127.0.0.1', 61080)
2024-06-07 00:50:28,159 Connected by ('127.0.0.1', 61096)
2024-06-07 00:50:33,164 Connected by ('127.0.0.1', 61112)
2024-06-07 00:50:38,177 Connected by ('127.0.0.1', 61128)
2024-06-07 00:50:43,181 Connected by ('127.0.0.1', 61144)
2024-06-07 00:50:48,194 Connected by ('127.0.0.1', 61160)
2024-06-07 00:50:53,204 Connected by ('127.0.0.1', 61175)
2024-06-07 00:50:58,217 Connected by ('127.0.0.1', 61191)
2024-06-07 00:51:03,229 Connected by ('127.0.0.1', 61207)
2024-06-07 00:51:08,244 Connected by ('127.0.0.1', 61223)
2024-06-07 00:51:13,253 Connected by ('127.0.0.1', 61239)
2024-06-07 00:51:18,268 Connected by ('127.0.0.1', 61255)
2024-06-07 00:51:23,279 Connected by ('127.0.0.1', 61271)
2024-06-07 00:51:28,284 Connected by ('127.0.0.1', 61287)
2024-06-07 00:51:33,302 Connected by ('127.0.0.1', 61303)
2024-06-07 00:51:38,307 Connected by ('127.0.0.1', 61319)
2024-06-07 00:51:43,321 Connected by ('127.0.0.1', 61339)
2024-06-07 00:51:48,337 Connected by ('127.0.0.1', 61355)
2024-06-07 00:51:53,354 Connected by ('127.0.0.1', 61371)
2024-06-07 00:51:58,364 Connected by ('127.0.0.1', 61387)
2024-06-07 00:52:03,373 Connected by ('127.0.0.1', 61406)
2024-06-07 00:52:08,383 Connected by ('127.0.0.1', 61422)
2024-06-07 00:52:13,395 Connected by ('127.0.0.1', 61438)
2024-06-07 00:52:18,410 Connected by ('127.0.0.1', 61453)
2024-06-07 00:52:23,427 Connected by ('127.0.0.1', 61469)
2024-06-07 00:52:28,434 Connected by ('127.0.0.1', 61485)
2024-06-07 00:52:33,443 Connected by ('127.0.0.1', 61502)
2024-06-07 00:52:38,454 Connected by ('127.0.0.1', 61518)
2024-06-07 00:52:43,469 Connected by ('127.0.0.1', 61534)
2024-06-07 00:52:48,481 Connected by ('127.0.0.1', 61550)
2024-06-07 00:52:53,492 Connected by ('127.0.0.1', 61567)
2024-06-07 00:52:58,510 Connected by ('127.0.0.1', 61583)
2024-06-07 00:53:03,518 Connected by ('127.0.0.1', 61599)
2024-06-07 00:53:08,534 Connected by ('127.0.0.1', 61615)
2024-06-07 00:53:13,539 Connected by ('127.0.0.1', 61631)
2024-06-07 00:53:18,550 Connected by ('127.0.0.1', 61647)
2024-06-07 00:53:23,558 Connected by ('127.0.0.1', 61663)
2024-06-07 00:53:28,572 Connected by ('127.0.0.1', 61679)
