2024-06-11 21:12:01,198 FIX Engine listening for connections
2024-06-11 21:12:01,232 Connected by ('127.0.0.1', 49794)
2024-06-11 21:12:01,232 Connected by ('127.0.0.1', 49795)
2024-06-11 21:12:06,236 Connected by ('127.0.0.1', 49817)
2024-06-11 21:12:06,237 Connected by ('127.0.0.1', 49818)
2024-06-11 21:12:11,240 Connected by ('127.0.0.1', 49832)
2024-06-11 21:12:11,241 Connected by ('127.0.0.1', 49833)
2024-06-11 21:12:16,254 Connected by ('127.0.0.1', 49852)
2024-06-11 21:12:16,254 Connected by ('127.0.0.1', 49853)
2024-06-11 21:12:21,261 Connected by ('127.0.0.1', 49869)
2024-06-11 21:12:21,262 Connected by ('127.0.0.1', 49871)
2024-06-11 21:12:26,275 Connected by ('127.0.0.1', 49887)
2024-06-11 21:12:26,275 Connected by ('127.0.0.1', 49888)
2024-06-11 21:12:31,284 Connected by ('127.0.0.1', 49904)
2024-06-11 21:12:31,284 Connected by ('127.0.0.1', 49905)
2024-06-11 21:12:36,290 Connected by ('127.0.0.1', 49922)
2024-06-11 21:12:36,290 Connected by ('127.0.0.1', 49923)
2024-06-11 21:12:41,306 Connected by ('127.0.0.1', 49941)
2024-06-11 21:12:41,311 Connected by ('127.0.0.1', 49944)
2024-06-11 21:12:46,320 Connected by ('127.0.0.1', 49963)
2024-06-11 21:12:46,321 Connected by ('127.0.0.1', 49964)
2024-06-11 21:12:51,335 Connected by ('127.0.0.1', 49979)
2024-06-11 21:12:51,336 Connected by ('127.0.0.1', 49980)
2024-06-11 21:12:56,351 Connected by ('127.0.0.1', 50001)
2024-06-11 21:12:56,351 Connected by ('127.0.0.1', 50002)
2024-06-11 21:13:01,363 Connected by ('127.0.0.1', 50018)
2024-06-11 21:13:01,364 Connected by ('127.0.0.1', 50020)
2024-06-11 21:13:06,370 Connected by ('127.0.0.1', 50034)
2024-06-11 21:13:06,370 Connected by ('127.0.0.1', 50035)
2024-06-11 21:13:11,388 Connected by ('127.0.0.1', 50050)
2024-06-11 21:13:11,388 Connected by ('127.0.0.1', 50051)
