2024-06-11 18:19:24,261 FIX Engine listening for connections
2024-06-11 18:19:24,443 Connected by ('127.0.0.1', 53238)
2024-06-11 18:19:24,444 Connected by ('127.0.0.1', 53239)
2024-06-11 18:19:29,447 Connected by ('127.0.0.1', 53244)
2024-06-11 18:19:29,448 Connected by ('127.0.0.1', 53245)
2024-06-11 18:19:34,464 Connected by ('127.0.0.1', 53250)
2024-06-11 18:19:34,465 Connected by ('127.0.0.1', 53251)
2024-06-11 18:19:39,475 Connected by ('127.0.0.1', 53256)
2024-06-11 18:19:39,476 Connected by ('127.0.0.1', 53257)
2024-06-11 18:19:44,488 Connected by ('127.0.0.1', 53262)
2024-06-11 18:19:44,488 Connected by ('127.0.0.1', 53263)
2024-06-11 18:19:49,495 Connected by ('127.0.0.1', 53268)
2024-06-11 18:19:49,495 Connected by ('127.0.0.1', 53269)
2024-06-11 18:19:54,501 Connected by ('127.0.0.1', 53274)
2024-06-11 18:19:54,502 Connected by ('127.0.0.1', 53275)
2024-06-11 18:19:59,514 Connected by ('127.0.0.1', 53280)
2024-06-11 18:19:59,515 Connected by ('127.0.0.1', 53281)
2024-06-11 18:20:04,523 Connected by ('127.0.0.1', 53286)
2024-06-11 18:20:04,528 Connected by ('127.0.0.1', 53289)
2024-06-11 18:20:09,537 Connected by ('127.0.0.1', 53292)
2024-06-11 18:20:09,538 Connected by ('127.0.0.1', 53293)
2024-06-11 18:20:14,542 Connected by ('127.0.0.1', 53298)
2024-06-11 18:20:14,542 Connected by ('127.0.0.1', 53299)
2024-06-11 18:20:19,551 Connected by ('127.0.0.1', 53305)
2024-06-11 18:20:19,552 Connected by ('127.0.0.1', 53306)
2024-06-11 18:20:24,564 Connected by ('127.0.0.1', 53311)
2024-06-11 18:20:24,564 Connected by ('127.0.0.1', 53312)
2024-06-11 18:20:29,567 Connected by ('127.0.0.1', 53318)
2024-06-11 18:20:29,567 Connected by ('127.0.0.1', 53319)
2024-06-11 18:20:34,581 Connected by ('127.0.0.1', 53324)
2024-06-11 18:20:34,582 Connected by ('127.0.0.1', 53325)
2024-06-11 18:20:39,587 Connected by ('127.0.0.1', 53330)
2024-06-11 18:20:39,588 Connected by ('127.0.0.1', 53331)
2024-06-11 18:20:44,605 Connected by ('127.0.0.1', 53336)
2024-06-11 18:20:44,606 Connected by ('127.0.0.1', 53337)
2024-06-11 18:20:49,620 Connected by ('127.0.0.1', 53342)
2024-06-11 18:20:49,621 Connected by ('127.0.0.1', 53343)
2024-06-11 18:20:54,625 Connected by ('127.0.0.1', 53348)
2024-06-11 18:20:54,625 Connected by ('127.0.0.1', 53349)
2024-06-11 18:20:59,640 Connected by ('127.0.0.1', 53355)
2024-06-11 18:20:59,640 Connected by ('127.0.0.1', 53356)
