2024-06-09 15:58:01,633 Market Simulator listening for connections
2024-06-09 15:58:03,594 Connected by ('127.0.0.1', 61167)
2024-06-09 15:58:03,594 Connected by ('127.0.0.1', 61168)
2024-06-09 15:58:03,595 Connected by ('127.0.0.1', 61169)
2024-06-09 15:58:08,608 Connected by ('127.0.0.1', 61183)
2024-06-09 15:58:08,609 Connected by ('127.0.0.1', 61184)
2024-06-09 15:58:08,609 Connected by ('127.0.0.1', 61185)
2024-06-09 15:58:13,627 Connected by ('127.0.0.1', 61199)
2024-06-09 15:58:13,627 Connected by ('127.0.0.1', 61200)
2024-06-09 15:58:13,628 Connected by ('127.0.0.1', 61201)
2024-06-09 15:58:18,643 Connected by ('127.0.0.1', 61214)
2024-06-09 15:58:18,649 Connected by ('127.0.0.1', 61216)
2024-06-09 15:58:18,650 Connected by ('127.0.0.1', 61217)
2024-06-09 15:58:23,655 Connected by ('127.0.0.1', 61230)
2024-06-09 15:58:23,656 Connected by ('127.0.0.1', 61232)
2024-06-09 15:58:23,656 Connected by ('127.0.0.1', 61233)
2024-06-09 15:58:28,668 Connected by ('127.0.0.1', 61247)
2024-06-09 15:58:28,670 Connected by ('127.0.0.1', 61248)
2024-06-09 15:58:28,670 Connected by ('127.0.0.1', 61249)
2024-06-09 15:58:33,686 Connected by ('127.0.0.1', 61263)
2024-06-09 15:58:33,687 Connected by ('127.0.0.1', 61264)
2024-06-09 15:58:33,687 Connected by ('127.0.0.1', 61265)
2024-06-09 15:58:38,690 Connected by ('127.0.0.1', 61278)
2024-06-09 15:58:38,690 Connected by ('127.0.0.1', 61279)
2024-06-09 15:58:38,694 Connected by ('127.0.0.1', 61281)
2024-06-09 15:58:43,694 Connected by ('127.0.0.1', 61295)
2024-06-09 15:58:43,695 Connected by ('127.0.0.1', 61296)
2024-06-09 15:58:43,696 Connected by ('127.0.0.1', 61297)
2024-06-09 15:58:48,704 Connected by ('127.0.0.1', 61309)
2024-06-09 15:58:48,705 Connected by ('127.0.0.1', 61311)
2024-06-09 15:58:48,705 Connected by ('127.0.0.1', 61312)
2024-06-09 15:58:53,709 Connected by ('127.0.0.1', 61326)
2024-06-09 15:58:53,710 Connected by ('127.0.0.1', 61327)
2024-06-09 15:58:53,710 Connected by ('127.0.0.1', 61328)
2024-06-09 15:58:58,725 Connected by ('127.0.0.1', 61341)
2024-06-09 15:58:58,725 Connected by ('127.0.0.1', 61342)
2024-06-09 15:58:58,727 Connected by ('127.0.0.1', 61344)
2024-06-09 15:59:03,737 Connected by ('127.0.0.1', 61360)
2024-06-09 15:59:03,738 Connected by ('127.0.0.1', 61361)
2024-06-09 15:59:03,739 Connected by ('127.0.0.1', 61362)
2024-06-09 15:59:08,749 Connected by ('127.0.0.1', 61376)
2024-06-09 15:59:08,750 Connected by ('127.0.0.1', 61378)
2024-06-09 15:59:08,750 Connected by ('127.0.0.1', 61379)
2024-06-09 15:59:13,759 Connected by ('127.0.0.1', 61393)
2024-06-09 15:59:13,760 Connected by ('127.0.0.1', 61394)
2024-06-09 15:59:13,760 Connected by ('127.0.0.1', 61395)
2024-06-09 15:59:18,766 Connected by ('127.0.0.1', 61408)
2024-06-09 15:59:18,767 Connected by ('127.0.0.1', 61410)
2024-06-09 15:59:18,767 Connected by ('127.0.0.1', 61411)
2024-06-09 15:59:23,778 Connected by ('127.0.0.1', 61425)
2024-06-09 15:59:23,779 Connected by ('127.0.0.1', 61426)
2024-06-09 15:59:23,780 Connected by ('127.0.0.1', 61427)
2024-06-09 15:59:28,791 Connected by ('127.0.0.1', 61441)
2024-06-09 15:59:28,791 Connected by ('127.0.0.1', 61442)
2024-06-09 15:59:28,792 Connected by ('127.0.0.1', 61443)
2024-06-09 15:59:33,796 Connected by ('127.0.0.1', 61457)
2024-06-09 15:59:33,797 Connected by ('127.0.0.1', 61458)
2024-06-09 15:59:33,797 Connected by ('127.0.0.1', 61459)
2024-06-09 15:59:38,803 Connected by ('127.0.0.1', 61473)
2024-06-09 15:59:38,808 Connected by ('127.0.0.1', 61474)
2024-06-09 15:59:38,809 Connected by ('127.0.0.1', 61475)
2024-06-09 15:59:43,818 Connected by ('127.0.0.1', 61489)
2024-06-09 15:59:43,819 Connected by ('127.0.0.1', 61490)
2024-06-09 15:59:43,819 Connected by ('127.0.0.1', 61491)
2024-06-09 15:59:48,829 Connected by ('127.0.0.1', 61504)
2024-06-09 15:59:48,830 Connected by ('127.0.0.1', 61506)
2024-06-09 15:59:48,830 Connected by ('127.0.0.1', 61507)
2024-06-09 15:59:53,838 Connected by ('127.0.0.1', 61520)
2024-06-09 15:59:53,839 Connected by ('127.0.0.1', 61521)
2024-06-09 15:59:53,839 Connected by ('127.0.0.1', 61522)
2024-06-09 15:59:58,850 Connected by ('127.0.0.1', 61536)
2024-06-09 15:59:58,851 Connected by ('127.0.0.1', 61537)
2024-06-09 15:59:58,852 Connected by ('127.0.0.1', 61538)
2024-06-09 16:00:03,866 Connected by ('127.0.0.1', 61551)
2024-06-09 16:00:03,867 Connected by ('127.0.0.1', 61553)
2024-06-09 16:00:03,869 Connected by ('127.0.0.1', 61554)
2024-06-09 16:00:08,872 Connected by ('127.0.0.1', 61568)
2024-06-09 16:00:08,873 Connected by ('127.0.0.1', 61569)
2024-06-09 16:00:08,873 Connected by ('127.0.0.1', 61570)
2024-06-09 16:00:13,886 Connected by ('127.0.0.1', 61584)
2024-06-09 16:00:13,886 Connected by ('127.0.0.1', 61585)
2024-06-09 16:00:13,887 Connected by ('127.0.0.1', 61586)
2024-06-09 16:00:18,900 Connected by ('127.0.0.1', 61599)
2024-06-09 16:00:18,901 Connected by ('127.0.0.1', 61601)
2024-06-09 16:00:18,902 Connected by ('127.0.0.1', 61602)
2024-06-09 16:00:23,915 Connected by ('127.0.0.1', 61615)
2024-06-09 16:00:23,917 Connected by ('127.0.0.1', 61617)
2024-06-09 16:00:23,917 Connected by ('127.0.0.1', 61618)
2024-06-09 16:00:28,923 Connected by ('127.0.0.1', 61632)
2024-06-09 16:00:28,923 Connected by ('127.0.0.1', 61633)
2024-06-09 16:00:28,924 Connected by ('127.0.0.1', 61634)
2024-06-09 16:00:33,933 Connected by ('127.0.0.1', 61648)
2024-06-09 16:00:33,934 Connected by ('127.0.0.1', 61649)
2024-06-09 16:00:33,934 Connected by ('127.0.0.1', 61650)
2024-06-09 16:00:38,952 Connected by ('127.0.0.1', 61663)
2024-06-09 16:00:38,953 Connected by ('127.0.0.1', 61665)
2024-06-09 16:00:38,954 Connected by ('127.0.0.1', 61666)
2024-06-09 16:00:43,957 Connected by ('127.0.0.1', 61680)
2024-06-09 16:00:43,957 Connected by ('127.0.0.1', 61681)
2024-06-09 16:00:43,958 Connected by ('127.0.0.1', 61682)
2024-06-09 16:00:48,970 Connected by ('127.0.0.1', 61696)
2024-06-09 16:00:48,970 Connected by ('127.0.0.1', 61697)
2024-06-09 16:00:48,971 Connected by ('127.0.0.1', 61698)
2024-06-09 16:00:53,977 Connected by ('127.0.0.1', 61712)
2024-06-09 16:00:53,978 Connected by ('127.0.0.1', 61713)
2024-06-09 16:00:53,978 Connected by ('127.0.0.1', 61714)
2024-06-09 16:00:58,988 Connected by ('127.0.0.1', 61726)
2024-06-09 16:00:58,988 Connected by ('127.0.0.1', 61728)
2024-06-09 16:00:58,989 Connected by ('127.0.0.1', 61729)
2024-06-09 16:01:04,006 Connected by ('127.0.0.1', 61742)
2024-06-09 16:01:04,006 Connected by ('127.0.0.1', 61744)
2024-06-09 16:01:04,007 Connected by ('127.0.0.1', 61745)
2024-06-09 16:01:09,015 Connected by ('127.0.0.1', 61758)
2024-06-09 16:01:09,016 Connected by ('127.0.0.1', 61760)
2024-06-09 16:01:09,017 Connected by ('127.0.0.1', 61761)
2024-06-09 16:01:14,030 Connected by ('127.0.0.1', 61774)
2024-06-09 16:01:14,031 Connected by ('127.0.0.1', 61776)
2024-06-09 16:01:14,032 Connected by ('127.0.0.1', 61777)
2024-06-09 16:01:19,043 Connected by ('127.0.0.1', 61791)
2024-06-09 16:01:19,045 Connected by ('127.0.0.1', 61792)
2024-06-09 16:01:19,046 Connected by ('127.0.0.1', 61793)
2024-06-09 16:01:24,046 Connected by ('127.0.0.1', 61806)
2024-06-09 16:01:24,047 Connected by ('127.0.0.1', 61808)
2024-06-09 16:01:24,048 Connected by ('127.0.0.1', 61809)
2024-06-09 16:01:29,057 Connected by ('127.0.0.1', 61822)
2024-06-09 16:01:29,059 Connected by ('127.0.0.1', 61824)
2024-06-09 16:01:29,060 Connected by ('127.0.0.1', 61825)
2024-06-09 16:01:34,060 Connected by ('127.0.0.1', 61838)
2024-06-09 16:01:34,061 Connected by ('127.0.0.1', 61840)
2024-06-09 16:01:34,061 Connected by ('127.0.0.1', 61841)
2024-06-09 16:01:39,072 Connected by ('127.0.0.1', 61854)
2024-06-09 16:01:39,073 Connected by ('127.0.0.1', 61856)
2024-06-09 16:01:39,074 Connected by ('127.0.0.1', 61857)
2024-06-09 16:01:44,082 Connected by ('127.0.0.1', 61871)
2024-06-09 16:01:44,083 Connected by ('127.0.0.1', 61872)
2024-06-09 16:01:44,083 Connected by ('127.0.0.1', 61873)
2024-06-09 16:01:49,090 Connected by ('127.0.0.1', 61889)
2024-06-09 16:01:49,091 Connected by ('127.0.0.1', 61891)
2024-06-09 16:01:49,091 Connected by ('127.0.0.1', 61892)
2024-06-09 16:01:54,099 Connected by ('127.0.0.1', 61906)
2024-06-09 16:01:54,099 Connected by ('127.0.0.1', 61907)
2024-06-09 16:01:54,100 Connected by ('127.0.0.1', 61908)
2024-06-09 16:01:59,102 Connected by ('127.0.0.1', 61921)
2024-06-09 16:01:59,103 Connected by ('127.0.0.1', 61923)
2024-06-09 16:01:59,104 Connected by ('127.0.0.1', 61924)
2024-06-09 16:02:04,108 Connected by ('127.0.0.1', 61937)
2024-06-09 16:02:04,109 Connected by ('127.0.0.1', 61938)
2024-06-09 16:02:04,110 Connected by ('127.0.0.1', 61939)
2024-06-09 16:02:09,115 Connected by ('127.0.0.1', 61952)
2024-06-09 16:02:09,115 Connected by ('127.0.0.1', 61954)
2024-06-09 16:02:09,115 Connected by ('127.0.0.1', 61955)
2024-06-09 16:02:14,127 Connected by ('127.0.0.1', 61969)
2024-06-09 16:02:14,127 Connected by ('127.0.0.1', 61970)
2024-06-09 16:02:14,128 Connected by ('127.0.0.1', 61971)
2024-06-09 16:02:19,130 Connected by ('127.0.0.1', 61984)
2024-06-09 16:02:19,132 Connected by ('127.0.0.1', 61986)
2024-06-09 16:02:19,134 Connected by ('127.0.0.1', 61987)
2024-06-09 16:02:24,134 Connected by ('127.0.0.1', 62001)
2024-06-09 16:02:24,135 Connected by ('127.0.0.1', 62002)
2024-06-09 16:02:24,135 Connected by ('127.0.0.1', 62003)
2024-06-09 16:02:29,148 Connected by ('127.0.0.1', 62017)
2024-06-09 16:02:29,149 Connected by ('127.0.0.1', 62018)
2024-06-09 16:02:29,149 Connected by ('127.0.0.1', 62019)
2024-06-09 16:02:34,166 Connected by ('127.0.0.1', 62032)
2024-06-09 16:02:34,166 Connected by ('127.0.0.1', 62034)
2024-06-09 16:02:34,167 Connected by ('127.0.0.1', 62035)
2024-06-09 16:02:39,168 Connected by ('127.0.0.1', 62049)
2024-06-09 16:02:39,169 Connected by ('127.0.0.1', 62050)
2024-06-09 16:02:39,170 Connected by ('127.0.0.1', 62051)
2024-06-09 16:02:44,186 Connected by ('127.0.0.1', 62065)
2024-06-09 16:02:44,186 Connected by ('127.0.0.1', 62066)
2024-06-09 16:02:44,187 Connected by ('127.0.0.1', 62067)
2024-06-09 16:02:49,196 Connected by ('127.0.0.1', 62080)
2024-06-09 16:02:49,196 Connected by ('127.0.0.1', 62082)
2024-06-09 16:02:49,197 Connected by ('127.0.0.1', 62083)
2024-06-09 16:02:54,205 Connected by ('127.0.0.1', 62097)
2024-06-09 16:02:54,206 Connected by ('127.0.0.1', 62098)
2024-06-09 16:02:54,206 Connected by ('127.0.0.1', 62099)
2024-06-09 16:02:59,222 Connected by ('127.0.0.1', 62112)
2024-06-09 16:02:59,223 Connected by ('127.0.0.1', 62114)
2024-06-09 16:02:59,223 Connected by ('127.0.0.1', 62115)
2024-06-09 16:03:04,227 Connected by ('127.0.0.1', 62128)
2024-06-09 16:03:04,228 Connected by ('127.0.0.1', 62130)
2024-06-09 16:03:04,229 Connected by ('127.0.0.1', 62131)
2024-06-09 16:03:09,231 Connected by ('127.0.0.1', 62144)
2024-06-09 16:03:09,232 Connected by ('127.0.0.1', 62146)
2024-06-09 16:03:09,232 Connected by ('127.0.0.1', 62147)
2024-06-09 16:03:14,245 Connected by ('127.0.0.1', 62160)
2024-06-09 16:03:14,246 Connected by ('127.0.0.1', 62161)
2024-06-09 16:03:14,246 Connected by ('127.0.0.1', 62163)
2024-06-09 16:03:19,253 Connected by ('127.0.0.1', 62175)
2024-06-09 16:03:19,254 Connected by ('127.0.0.1', 62177)
2024-06-09 16:03:19,254 Connected by ('127.0.0.1', 62178)
2024-06-09 16:03:24,267 Connected by ('127.0.0.1', 62192)
2024-06-09 16:03:24,268 Connected by ('127.0.0.1', 62193)
2024-06-09 16:03:24,269 Connected by ('127.0.0.1', 62194)
2024-06-09 16:03:29,286 Connected by ('127.0.0.1', 62208)
2024-06-09 16:03:29,286 Connected by ('127.0.0.1', 62209)
2024-06-09 16:03:29,287 Connected by ('127.0.0.1', 62210)
2024-06-09 16:03:34,290 Connected by ('127.0.0.1', 62224)
2024-06-09 16:03:34,291 Connected by ('127.0.0.1', 62225)
2024-06-09 16:03:34,291 Connected by ('127.0.0.1', 62226)
2024-06-09 16:03:39,300 Connected by ('127.0.0.1', 62240)
2024-06-09 16:03:39,301 Connected by ('127.0.0.1', 62241)
2024-06-09 16:03:39,301 Connected by ('127.0.0.1', 62242)
2024-06-09 16:03:44,304 Connected by ('127.0.0.1', 62256)
2024-06-09 16:03:44,304 Connected by ('127.0.0.1', 62257)
2024-06-09 16:03:44,305 Connected by ('127.0.0.1', 62258)
2024-06-09 16:03:49,312 Connected by ('127.0.0.1', 62272)
2024-06-09 16:03:49,313 Connected by ('127.0.0.1', 62273)
2024-06-09 16:03:49,313 Connected by ('127.0.0.1', 62274)
2024-06-09 16:03:54,318 Connected by ('127.0.0.1', 62287)
2024-06-09 16:03:54,319 Connected by ('127.0.0.1', 62289)
2024-06-09 16:03:54,319 Connected by ('127.0.0.1', 62290)
2024-06-09 16:03:59,327 Connected by ('127.0.0.1', 62304)
2024-06-09 16:03:59,328 Connected by ('127.0.0.1', 62305)
2024-06-09 16:03:59,328 Connected by ('127.0.0.1', 62306)
2024-06-09 16:04:04,334 Connected by ('127.0.0.1', 62319)
2024-06-09 16:04:04,335 Connected by ('127.0.0.1', 62321)
2024-06-09 16:04:04,336 Connected by ('127.0.0.1', 62322)
2024-06-09 16:04:09,349 Connected by ('127.0.0.1', 62334)
2024-06-09 16:04:09,350 Connected by ('127.0.0.1', 62336)
2024-06-09 16:04:09,350 Connected by ('127.0.0.1', 62337)
2024-06-09 16:04:14,359 Connected by ('127.0.0.1', 62350)
2024-06-09 16:04:14,360 Connected by ('127.0.0.1', 62352)
2024-06-09 16:04:14,360 Connected by ('127.0.0.1', 62353)
2024-06-09 16:04:19,375 Connected by ('127.0.0.1', 62368)
2024-06-09 16:04:19,376 Connected by ('127.0.0.1', 62369)
2024-06-09 16:04:19,377 Connected by ('127.0.0.1', 62370)
2024-06-09 16:04:24,381 Connected by ('127.0.0.1', 62383)
2024-06-09 16:04:24,385 Connected by ('127.0.0.1', 62385)
2024-06-09 16:04:24,386 Connected by ('127.0.0.1', 62386)
2024-06-09 16:04:29,393 Connected by ('127.0.0.1', 62399)
2024-06-09 16:04:29,394 Connected by ('127.0.0.1', 62401)
2024-06-09 16:04:29,394 Connected by ('127.0.0.1', 62402)
2024-06-09 16:04:34,399 Connected by ('127.0.0.1', 62416)
2024-06-09 16:04:34,400 Connected by ('127.0.0.1', 62417)
2024-06-09 16:04:34,400 Connected by ('127.0.0.1', 62418)
2024-06-09 16:04:39,415 Connected by ('127.0.0.1', 62431)
