2024-06-07 01:12:35,925 Market Simulator listening for connections
2024-06-07 01:12:37,962 Connected by ('127.0.0.1', 65196)
2024-06-07 01:12:37,963 Connected by ('127.0.0.1', 65198)
2024-06-07 01:12:37,964 Connected by ('127.0.0.1', 65199)
2024-06-07 01:12:42,969 Connected by ('127.0.0.1', 65213)
2024-06-07 01:12:42,970 Connected by ('127.0.0.1', 65214)
2024-06-07 01:12:42,970 Connected by ('127.0.0.1', 65215)
2024-06-07 01:12:47,983 Connected by ('127.0.0.1', 65227)
2024-06-07 01:12:47,984 Connected by ('127.0.0.1', 65228)
2024-06-07 01:12:47,985 Connected by ('127.0.0.1', 65230)
2024-06-07 01:12:52,994 Connected by ('127.0.0.1', 65244)
2024-06-07 01:12:52,997 Connected by ('127.0.0.1', 65245)
2024-06-07 01:12:52,998 Connected by ('127.0.0.1', 65246)
2024-06-07 01:12:58,000 Connected by ('127.0.0.1', 65259)
2024-06-07 01:12:58,001 Connected by ('127.0.0.1', 65261)
2024-06-07 01:12:58,001 Connected by ('127.0.0.1', 65262)
2024-06-07 01:13:03,019 Connected by ('127.0.0.1', 65276)
2024-06-07 01:13:03,021 Connected by ('127.0.0.1', 65277)
2024-06-07 01:13:03,022 Connected by ('127.0.0.1', 65278)
2024-06-07 01:13:08,037 Connected by ('127.0.0.1', 65292)
2024-06-07 01:13:08,038 Connected by ('127.0.0.1', 65293)
2024-06-07 01:13:08,038 Connected by ('127.0.0.1', 65294)
2024-06-07 01:13:13,048 Connected by ('127.0.0.1', 65307)
2024-06-07 01:13:13,050 Connected by ('127.0.0.1', 65308)
2024-06-07 01:13:13,053 Connected by ('127.0.0.1', 65310)
2024-06-07 01:13:18,055 Connected by ('127.0.0.1', 65324)
2024-06-07 01:13:18,055 Connected by ('127.0.0.1', 65326)
2024-06-07 01:13:18,056 Connected by ('127.0.0.1', 65327)
2024-06-07 01:13:23,070 Connected by ('127.0.0.1', 65340)
2024-06-07 01:13:23,072 Connected by ('127.0.0.1', 65342)
2024-06-07 01:13:23,073 Connected by ('127.0.0.1', 65343)
2024-06-07 01:13:28,078 Connected by ('127.0.0.1', 65356)
2024-06-07 01:13:28,079 Connected by ('127.0.0.1', 65358)
2024-06-07 01:13:28,079 Connected by ('127.0.0.1', 65359)
2024-06-07 01:13:33,091 Connected by ('127.0.0.1', 65372)
2024-06-07 01:13:33,092 Connected by ('127.0.0.1', 65374)
2024-06-07 01:13:33,093 Connected by ('127.0.0.1', 65375)
2024-06-07 01:13:38,112 Connected by ('127.0.0.1', 65389)
2024-06-07 01:13:38,113 Connected by ('127.0.0.1', 65390)
2024-06-07 01:13:38,114 Connected by ('127.0.0.1', 65391)
2024-06-07 01:13:43,120 Connected by ('127.0.0.1', 65405)
2024-06-07 01:13:43,121 Connected by ('127.0.0.1', 65406)
2024-06-07 01:13:43,121 Connected by ('127.0.0.1', 65407)
2024-06-07 01:13:48,129 Connected by ('127.0.0.1', 65420)
2024-06-07 01:13:48,130 Connected by ('127.0.0.1', 65422)
2024-06-07 01:13:48,131 Connected by ('127.0.0.1', 65423)
2024-06-07 01:13:53,151 Connected by ('127.0.0.1', 65436)
2024-06-07 01:13:53,151 Connected by ('127.0.0.1', 65438)
2024-06-07 01:13:53,152 Connected by ('127.0.0.1', 65439)
2024-06-07 01:13:58,153 Connected by ('127.0.0.1', 65453)
2024-06-07 01:13:58,154 Connected by ('127.0.0.1', 65454)
2024-06-07 01:13:58,155 Connected by ('127.0.0.1', 65455)
2024-06-07 01:14:03,157 Connected by ('127.0.0.1', 65467)
2024-06-07 01:14:03,157 Connected by ('127.0.0.1', 65469)
2024-06-07 01:14:03,158 Connected by ('127.0.0.1', 65470)
2024-06-07 01:14:08,165 Connected by ('127.0.0.1', 65484)
2024-06-07 01:14:08,166 Connected by ('127.0.0.1', 65485)
2024-06-07 01:14:08,167 Connected by ('127.0.0.1', 65486)
2024-06-07 01:14:13,175 Connected by ('127.0.0.1', 65500)
2024-06-07 01:14:13,177 Connected by ('127.0.0.1', 65501)
2024-06-07 01:14:13,178 Connected by ('127.0.0.1', 65502)
2024-06-07 01:14:18,181 Connected by ('127.0.0.1', 65515)
2024-06-07 01:14:18,181 Connected by ('127.0.0.1', 65517)
2024-06-07 01:14:18,182 Connected by ('127.0.0.1', 65518)
2024-06-07 01:14:23,186 Connected by ('127.0.0.1', 65531)
2024-06-07 01:14:23,187 Connected by ('127.0.0.1', 65533)
2024-06-07 01:14:23,188 Connected by ('127.0.0.1', 65534)
2024-06-07 01:14:28,190 Connected by ('127.0.0.1', 49164)
2024-06-07 01:14:28,191 Connected by ('127.0.0.1', 49166)
2024-06-07 01:14:28,192 Connected by ('127.0.0.1', 49167)
2024-06-07 01:14:33,199 Connected by ('127.0.0.1', 49182)
2024-06-07 01:14:33,200 Connected by ('127.0.0.1', 49183)
2024-06-07 01:14:33,201 Connected by ('127.0.0.1', 49184)
2024-06-07 01:14:38,203 Connected by ('127.0.0.1', 49197)
2024-06-07 01:14:38,204 Connected by ('127.0.0.1', 49198)
2024-06-07 01:14:38,205 Connected by ('127.0.0.1', 49200)
2024-06-07 01:14:43,214 Connected by ('127.0.0.1', 49215)
2024-06-07 01:14:43,214 Connected by ('127.0.0.1', 49216)
2024-06-07 01:14:43,215 Connected by ('127.0.0.1', 49217)
2024-06-07 01:14:48,229 Connected by ('127.0.0.1', 49231)
2024-06-07 01:14:48,229 Connected by ('127.0.0.1', 49232)
2024-06-07 01:14:48,230 Connected by ('127.0.0.1', 49233)
2024-06-07 01:14:53,243 Connected by ('127.0.0.1', 49246)
2024-06-07 01:14:53,244 Connected by ('127.0.0.1', 49248)
2024-06-07 01:14:53,244 Connected by ('127.0.0.1', 49249)
2024-06-07 01:14:58,254 Connected by ('127.0.0.1', 49263)
2024-06-07 01:14:58,255 Connected by ('127.0.0.1', 49264)
2024-06-07 01:14:58,255 Connected by ('127.0.0.1', 49265)
2024-06-07 01:15:03,267 Connected by ('127.0.0.1', 49279)
2024-06-07 01:15:03,267 Connected by ('127.0.0.1', 49280)
2024-06-07 01:15:03,268 Connected by ('127.0.0.1', 49281)
2024-06-07 01:15:08,276 Connected by ('127.0.0.1', 49295)
2024-06-07 01:15:08,277 Connected by ('127.0.0.1', 49296)
2024-06-07 01:15:08,278 Connected by ('127.0.0.1', 49297)
2024-06-07 01:15:13,289 Connected by ('127.0.0.1', 49310)
2024-06-07 01:15:13,290 Connected by ('127.0.0.1', 49311)
2024-06-07 01:15:13,291 Connected by ('127.0.0.1', 49312)
2024-06-07 01:15:18,309 Connected by ('127.0.0.1', 49328)
2024-06-07 01:15:18,309 Connected by ('127.0.0.1', 49329)
2024-06-07 01:15:18,310 Connected by ('127.0.0.1', 49330)
2024-06-07 01:15:23,318 Connected by ('127.0.0.1', 49343)
