2024-06-10 19:21:30,899 FIX Engine listening for connections
2024-06-10 19:21:31,071 Connected by ('127.0.0.1', 53556)
2024-06-10 19:21:31,072 Connected by ('127.0.0.1', 53557)
2024-06-10 19:21:36,074 Connected by ('127.0.0.1', 53562)
2024-06-10 19:21:36,077 Connected by ('127.0.0.1', 53564)
2024-06-10 19:21:41,079 Connected by ('127.0.0.1', 53568)
2024-06-10 19:21:41,082 Connected by ('127.0.0.1', 53570)
2024-06-10 19:21:46,086 Connected by ('127.0.0.1', 53574)
2024-06-10 19:21:46,089 Connected by ('127.0.0.1', 53576)
2024-06-10 19:21:51,094 Connected by ('127.0.0.1', 53580)
2024-06-10 19:21:51,097 Connected by ('127.0.0.1', 53582)
2024-06-10 19:21:56,111 Connected by ('127.0.0.1', 53586)
2024-06-10 19:21:56,113 Connected by ('127.0.0.1', 53588)
2024-06-10 19:22:01,132 Connected by ('127.0.0.1', 53592)
2024-06-10 19:22:01,135 Connected by ('127.0.0.1', 53594)
2024-06-10 19:22:06,156 Connected by ('127.0.0.1', 53598)
2024-06-10 19:22:06,161 Connected by ('127.0.0.1', 53599)
2024-06-10 19:22:11,179 Connected by ('127.0.0.1', 53604)
2024-06-10 19:22:11,186 Connected by ('127.0.0.1', 53607)
2024-06-10 19:22:16,201 Connected by ('127.0.0.1', 53610)
2024-06-10 19:22:16,202 Connected by ('127.0.0.1', 53611)
2024-06-10 19:22:21,219 Connected by ('127.0.0.1', 53616)
2024-06-10 19:22:21,221 Connected by ('127.0.0.1', 53617)
2024-06-10 19:22:26,235 Connected by ('127.0.0.1', 53622)
2024-06-10 19:22:26,236 Connected by ('127.0.0.1', 53623)
2024-06-10 19:22:31,242 Connected by ('127.0.0.1', 53628)
2024-06-10 19:22:31,244 Connected by ('127.0.0.1', 53629)
2024-06-10 19:22:36,257 Connected by ('127.0.0.1', 53634)
2024-06-10 19:22:36,258 Connected by ('127.0.0.1', 53635)
2024-06-10 19:22:41,267 Connected by ('127.0.0.1', 53640)
2024-06-10 19:22:41,267 Connected by ('127.0.0.1', 53641)
2024-06-10 19:22:46,283 Connected by ('127.0.0.1', 53646)
2024-06-10 19:22:46,285 Connected by ('127.0.0.1', 53647)
2024-06-10 19:22:51,301 Connected by ('127.0.0.1', 53652)
2024-06-10 19:22:51,302 Connected by ('127.0.0.1', 53653)
2024-06-10 19:22:56,307 Connected by ('127.0.0.1', 53658)
2024-06-10 19:22:56,311 Connected by ('127.0.0.1', 53660)
2024-06-10 19:23:01,326 Connected by ('127.0.0.1', 53664)
2024-06-10 19:23:01,327 Connected by ('127.0.0.1', 53665)
2024-06-10 19:23:06,339 Connected by ('127.0.0.1', 53670)
2024-06-10 19:23:06,341 Connected by ('127.0.0.1', 53671)
2024-06-10 19:23:11,345 Connected by ('127.0.0.1', 53676)
2024-06-10 19:23:11,346 Connected by ('127.0.0.1', 53677)
2024-06-10 19:23:16,353 Connected by ('127.0.0.1', 53683)
2024-06-10 19:23:16,354 Connected by ('127.0.0.1', 53684)
2024-06-10 19:23:21,372 Connected by ('127.0.0.1', 53690)
2024-06-10 19:23:21,374 Connected by ('127.0.0.1', 53691)
2024-06-10 19:23:26,379 Connected by ('127.0.0.1', 53696)
2024-06-10 19:23:26,381 Connected by ('127.0.0.1', 53697)
2024-06-10 19:23:31,400 Connected by ('127.0.0.1', 53702)
2024-06-10 19:23:31,403 Connected by ('127.0.0.1', 53703)
2024-06-10 19:23:36,415 Connected by ('127.0.0.1', 53709)
2024-06-10 19:23:36,417 Connected by ('127.0.0.1', 53710)
2024-06-10 19:23:41,430 Connected by ('127.0.0.1', 53715)
2024-06-10 19:23:41,431 Connected by ('127.0.0.1', 53716)
2024-06-10 19:23:46,450 Connected by ('127.0.0.1', 53721)
2024-06-10 19:23:46,452 Connected by ('127.0.0.1', 53722)
2024-06-10 19:23:51,461 Connected by ('127.0.0.1', 53727)
2024-06-10 19:23:51,463 Connected by ('127.0.0.1', 53728)
2024-06-10 19:23:56,470 Connected by ('127.0.0.1', 53733)
2024-06-10 19:23:56,471 Connected by ('127.0.0.1', 53734)
2024-06-10 19:24:01,480 Connected by ('127.0.0.1', 53740)
2024-06-10 19:24:01,482 Connected by ('127.0.0.1', 53741)
2024-06-10 19:24:06,490 Connected by ('127.0.0.1', 53746)
2024-06-10 19:24:06,493 Connected by ('127.0.0.1', 53747)
2024-06-10 19:24:11,501 Connected by ('127.0.0.1', 53752)
2024-06-10 19:24:11,503 Connected by ('127.0.0.1', 53753)
2024-06-10 19:24:16,517 Connected by ('127.0.0.1', 53758)
2024-06-10 19:24:16,519 Connected by ('127.0.0.1', 53759)
2024-06-10 19:24:21,532 Connected by ('127.0.0.1', 53764)
2024-06-10 19:24:21,534 Connected by ('127.0.0.1', 53765)
2024-06-10 19:24:26,541 Connected by ('127.0.0.1', 53772)
2024-06-10 19:24:26,541 Connected by ('127.0.0.1', 53771)
2024-06-10 19:24:31,546 Connected by ('127.0.0.1', 53777)
2024-06-10 19:24:31,547 Connected by ('127.0.0.1', 53778)
