2024-07-02 23:35:00,904 Order Router listening for connections
2024-07-02 23:35:05,030 Connected by ('127.0.0.1', 59674)
2024-07-02 23:35:10,040 Connected by ('127.0.0.1', 59690)
2024-07-02 23:35:15,911 Connected by ('127.0.0.1', 59707)
2024-07-02 23:35:21,932 Connected by ('127.0.0.1', 59726)
2024-07-02 23:35:27,961 Connected by ('127.0.0.1', 59744)
2024-07-02 23:35:33,975 Connected by ('127.0.0.1', 59762)
2024-07-02 23:35:39,997 Connected by ('127.0.0.1', 59780)
2024-07-02 23:35:46,012 Connected by ('127.0.0.1', 59798)
2024-07-02 23:35:52,028 Connected by ('127.0.0.1', 59816)
2024-07-02 23:35:57,058 Connected by ('127.0.0.1', 59832)
2024-07-02 23:36:02,076 Connected by ('127.0.0.1', 59848)
2024-07-02 23:36:08,102 Connected by ('127.0.0.1', 59867)
2024-07-02 23:36:14,125 Connected by ('127.0.0.1', 59885)
2024-07-02 23:36:19,166 Connected by ('127.0.0.1', 59901)
2024-07-02 23:36:25,175 Connected by ('127.0.0.1', 59921)
2024-07-02 23:36:30,208 Connected by ('127.0.0.1', 59937)
2024-07-02 23:36:36,223 Connected by ('127.0.0.1', 59955)
2024-07-02 23:36:42,238 Connected by ('127.0.0.1', 59972)
2024-07-02 23:36:48,253 Connected by ('127.0.0.1', 59990)
2024-07-02 23:36:54,260 Connected by ('127.0.0.1', 60008)
2024-07-02 23:37:00,271 Connected by ('127.0.0.1', 60026)
2024-07-02 23:37:06,296 Connected by ('127.0.0.1', 60045)
2024-07-02 23:37:11,315 Connected by ('127.0.0.1', 60061)
2024-07-02 23:37:16,357 Connected by ('127.0.0.1', 60077)
2024-07-02 23:37:21,383 Connected by ('127.0.0.1', 60093)
2024-07-02 23:37:27,398 Connected by ('127.0.0.1', 60111)
2024-07-02 23:37:33,408 Connected by ('127.0.0.1', 60129)
2024-07-02 23:37:38,439 Connected by ('127.0.0.1', 60145)
2024-07-02 23:37:44,453 Connected by ('127.0.0.1', 60163)
2024-07-02 23:37:50,461 Connected by ('127.0.0.1', 60181)
2024-07-02 23:37:55,490 Connected by ('127.0.0.1', 60198)
2024-07-02 23:38:01,512 Connected by ('127.0.0.1', 60216)
2024-07-02 23:38:06,545 Connected by ('127.0.0.1', 60237)
2024-07-02 23:38:12,566 Connected by ('127.0.0.1', 60255)
2024-07-02 23:38:18,571 Connected by ('127.0.0.1', 60273)
2024-07-02 23:38:23,592 Connected by ('127.0.0.1', 60289)
2024-07-02 23:38:29,607 Connected by ('127.0.0.1', 60306)
2024-07-02 23:38:35,621 Connected by ('127.0.0.1', 60324)
2024-07-02 23:38:41,653 Connected by ('127.0.0.1', 60342)
2024-07-02 23:38:47,670 Connected by ('127.0.0.1', 60360)
2024-07-02 23:38:52,688 Connected by ('127.0.0.1', 60376)
2024-07-02 23:38:58,704 Connected by ('127.0.0.1', 60394)
2024-07-02 23:39:03,725 Connected by ('127.0.0.1', 60410)
2024-07-02 23:39:09,753 Connected by ('127.0.0.1', 60428)
2024-07-02 23:39:15,759 Connected by ('127.0.0.1', 60446)
2024-07-02 23:39:21,777 Connected by ('127.0.0.1', 60464)
2024-07-02 23:39:27,800 Connected by ('127.0.0.1', 60482)
2024-07-02 23:39:33,817 Connected by ('127.0.0.1', 60500)
2024-07-02 23:39:39,843 Connected by ('127.0.0.1', 60518)
2024-07-02 23:39:45,865 Connected by ('127.0.0.1', 60536)
2024-07-02 23:39:51,881 Connected by ('127.0.0.1', 60554)
2024-07-02 23:39:56,917 Connected by ('127.0.0.1', 60570)
2024-07-02 23:40:02,923 Connected by ('127.0.0.1', 60587)
2024-07-02 23:40:08,942 Connected by ('127.0.0.1', 60605)
2024-07-02 23:40:13,989 Connected by ('127.0.0.1', 60621)
2024-07-02 23:40:19,992 Connected by ('127.0.0.1', 60639)
2024-07-02 23:40:25,009 Connected by ('127.0.0.1', 60655)
2024-07-02 23:40:30,032 Connected by ('127.0.0.1', 60671)
2024-07-02 23:40:36,054 Connected by ('127.0.0.1', 60689)
2024-07-02 23:40:42,070 Connected by ('127.0.0.1', 60707)
2024-07-02 23:40:47,087 Connected by ('127.0.0.1', 60723)
2024-07-02 23:40:53,108 Connected by ('127.0.0.1', 60741)
2024-07-02 23:40:59,122 Connected by ('127.0.0.1', 60760)
2024-07-02 23:41:05,150 Connected by ('127.0.0.1', 60778)
2024-07-02 23:41:11,161 Connected by ('127.0.0.1', 60796)
2024-07-02 23:41:17,186 Connected by ('127.0.0.1', 60814)
2024-07-02 23:41:22,265 Connected by ('127.0.0.1', 60830)
2024-07-02 23:41:28,279 Connected by ('127.0.0.1', 60848)
2024-07-02 23:41:33,300 Connected by ('127.0.0.1', 60864)
2024-07-02 23:41:38,318 Connected by ('127.0.0.1', 60879)
2024-07-02 23:41:44,350 Connected by ('127.0.0.1', 60897)
2024-07-02 23:41:50,374 Connected by ('127.0.0.1', 60915)
2024-07-02 23:41:55,396 Connected by ('127.0.0.1', 60931)
2024-07-02 23:42:00,423 Connected by ('127.0.0.1', 60947)
2024-07-02 23:42:05,453 Connected by ('127.0.0.1', 60964)
2024-07-02 23:42:10,481 Connected by ('127.0.0.1', 60980)
2024-07-02 23:42:16,496 Connected by ('127.0.0.1', 60998)
2024-07-02 23:42:21,507 Connected by ('127.0.0.1', 61014)
2024-07-02 23:42:27,529 Connected by ('127.0.0.1', 61032)
2024-07-02 23:42:33,544 Connected by ('127.0.0.1', 61050)
2024-07-02 23:42:39,553 Connected by ('127.0.0.1', 61068)
2024-07-02 23:42:45,575 Connected by ('127.0.0.1', 61086)
2024-07-02 23:42:51,574 Connected by ('127.0.0.1', 61104)
2024-07-02 23:42:56,588 Connected by ('127.0.0.1', 61120)
2024-07-02 23:43:02,601 Connected by ('127.0.0.1', 61140)
2024-07-02 23:43:08,616 Connected by ('127.0.0.1', 61160)
2024-07-02 23:43:13,672 Connected by ('127.0.0.1', 61176)
2024-07-02 23:43:19,687 Connected by ('127.0.0.1', 61194)
2024-07-02 23:43:25,703 Connected by ('127.0.0.1', 61213)
2024-07-02 23:43:30,749 Connected by ('127.0.0.1', 61229)
2024-07-02 23:43:36,769 Connected by ('127.0.0.1', 61247)
