2024-06-11 19:41:15,437 Order Router listening for connections
2024-06-11 19:41:18,753 Connected by ('127.0.0.1', 50428)
2024-06-11 19:41:23,762 Connected by ('127.0.0.1', 50434)
2024-06-11 19:41:28,776 Connected by ('127.0.0.1', 50444)
2024-06-11 19:41:33,786 Connected by ('127.0.0.1', 50457)
2024-06-11 19:41:38,803 Connected by ('127.0.0.1', 50463)
2024-06-11 19:41:43,815 Connected by ('127.0.0.1', 50472)
2024-06-11 19:41:48,827 Connected by ('127.0.0.1', 50478)
2024-06-11 19:41:53,836 Connected by ('127.0.0.1', 50484)
2024-06-11 19:41:58,843 Connected by ('127.0.0.1', 50490)
2024-06-11 19:42:03,851 Connected by ('127.0.0.1', 50503)
2024-06-11 19:42:08,864 Connected by ('127.0.0.1', 50510)
2024-06-11 19:42:13,878 Connected by ('127.0.0.1', 50519)
2024-06-11 19:42:18,889 Connected by ('127.0.0.1', 50527)
2024-06-11 19:42:23,907 Connected by ('127.0.0.1', 50536)
2024-06-11 19:42:28,914 Connected by ('127.0.0.1', 50542)
2024-06-11 19:42:33,923 Connected by ('127.0.0.1', 50549)
2024-06-11 19:42:38,936 Connected by ('127.0.0.1', 50556)
2024-06-11 19:42:43,942 Connected by ('127.0.0.1', 50567)
2024-06-11 19:42:48,950 Connected by ('127.0.0.1', 50573)
2024-06-11 19:42:53,960 Connected by ('127.0.0.1', 50593)
2024-06-11 19:42:58,964 Connected by ('127.0.0.1', 50599)
2024-06-11 19:43:03,977 Connected by ('127.0.0.1', 50607)
2024-06-11 19:43:08,990 Connected by ('127.0.0.1', 50621)
2024-06-11 19:43:14,014 Connected by ('127.0.0.1', 50675)
2024-06-11 19:43:19,012 Connected by ('127.0.0.1', 50699)
2024-06-11 19:43:24,030 Connected by ('127.0.0.1', 50711)
2024-06-11 19:43:29,040 Connected by ('127.0.0.1', 50722)
2024-06-11 19:43:34,048 Connected by ('127.0.0.1', 50732)
2024-06-11 19:43:39,064 Connected by ('127.0.0.1', 50738)
2024-06-11 19:43:44,069 Connected by ('127.0.0.1', 50744)
2024-06-11 19:43:49,076 Connected by ('127.0.0.1', 50751)
2024-06-11 19:43:54,092 Connected by ('127.0.0.1', 50757)
2024-06-11 19:43:59,106 Connected by ('127.0.0.1', 50765)
2024-06-11 19:44:04,120 Connected by ('127.0.0.1', 50776)
2024-06-11 19:44:09,127 Connected by ('127.0.0.1', 50782)
2024-06-11 19:44:14,138 Connected by ('127.0.0.1', 50790)
2024-06-11 19:44:19,141 Connected by ('127.0.0.1', 50796)
2024-06-11 19:44:24,155 Connected by ('127.0.0.1', 50802)
2024-06-11 19:44:29,172 Connected by ('127.0.0.1', 50809)
2024-06-11 19:44:34,187 Connected by ('127.0.0.1', 50816)
2024-06-11 19:44:39,191 Connected by ('127.0.0.1', 50823)
2024-06-11 19:44:44,199 Connected by ('127.0.0.1', 50831)
2024-06-11 19:44:49,217 Connected by ('127.0.0.1', 50839)
2024-06-11 19:44:54,221 Connected by ('127.0.0.1', 50846)
2024-06-11 19:44:59,230 Connected by ('127.0.0.1', 50852)
2024-06-11 19:45:04,238 Connected by ('127.0.0.1', 50858)
2024-06-11 19:45:09,247 Connected by ('127.0.0.1', 50868)
2024-06-11 19:45:14,256 Connected by ('127.0.0.1', 50874)
2024-06-11 19:45:19,265 Connected by ('127.0.0.1', 50880)
2024-06-11 19:45:24,281 Connected by ('127.0.0.1', 50886)
2024-06-11 19:45:29,297 Connected by ('127.0.0.1', 50892)
2024-06-11 19:45:34,310 Connected by ('127.0.0.1', 50900)
2024-06-11 19:45:39,321 Connected by ('127.0.0.1', 50906)
2024-06-11 19:45:44,333 Connected by ('127.0.0.1', 50913)
2024-06-11 19:45:49,343 Connected by ('127.0.0.1', 50923)
2024-06-11 19:45:54,352 Connected by ('127.0.0.1', 50941)
2024-06-11 19:45:59,367 Connected by ('127.0.0.1', 50947)
2024-06-11 19:46:04,382 Connected by ('127.0.0.1', 50957)
2024-06-11 19:46:09,391 Connected by ('127.0.0.1', 50964)
2024-06-11 19:46:14,407 Connected by ('127.0.0.1', 50972)
2024-06-11 19:46:19,422 Connected by ('127.0.0.1', 50978)
2024-06-11 19:46:24,441 Connected by ('127.0.0.1', 50985)
2024-06-11 19:46:29,455 Connected by ('127.0.0.1', 50991)
2024-06-11 19:46:34,465 Connected by ('127.0.0.1', 50998)
2024-06-11 19:46:39,477 Connected by ('127.0.0.1', 51004)
2024-06-11 19:46:44,483 Connected by ('127.0.0.1', 51010)
2024-06-11 19:46:49,495 Connected by ('127.0.0.1', 51016)
2024-06-11 19:46:54,512 Connected by ('127.0.0.1', 51022)
2024-06-11 19:46:59,525 Connected by ('127.0.0.1', 51028)
2024-06-11 19:47:04,536 Connected by ('127.0.0.1', 51034)
2024-06-11 19:47:09,541 Connected by ('127.0.0.1', 51040)
2024-06-11 19:47:14,550 Connected by ('127.0.0.1', 51047)
2024-06-11 19:47:19,559 Connected by ('127.0.0.1', 51053)
2024-06-11 19:47:24,570 Connected by ('127.0.0.1', 51059)
2024-06-11 19:47:29,581 Connected by ('127.0.0.1', 51065)
2024-06-11 19:47:34,591 Connected by ('127.0.0.1', 51071)
