2024-06-11 18:53:02,555 Market Simulator listening for connections
2024-06-11 18:55:39,930 Connected by ('127.0.0.1', 55895)
2024-06-11 18:55:39,931 Connected by ('127.0.0.1', 55896)
2024-06-11 18:55:39,932 Connected by ('127.0.0.1', 55897)
2024-06-11 18:55:44,934 Connected by ('127.0.0.1', 55901)
2024-06-11 18:55:44,934 Connected by ('127.0.0.1', 55902)
2024-06-11 18:55:44,935 Connected by ('127.0.0.1', 55903)
2024-06-11 18:55:49,949 Connected by ('127.0.0.1', 55909)
2024-06-11 18:55:49,950 Connected by ('127.0.0.1', 55910)
2024-06-11 18:55:49,951 Connected by ('127.0.0.1', 55911)
2024-06-11 18:55:54,959 Connected by ('127.0.0.1', 55915)
2024-06-11 18:55:54,961 Connected by ('127.0.0.1', 55916)
2024-06-11 18:55:54,962 Connected by ('127.0.0.1', 55917)
2024-06-11 18:55:59,979 Connected by ('127.0.0.1', 55921)
2024-06-11 18:55:59,980 Connected by ('127.0.0.1', 55922)
2024-06-11 18:55:59,981 Connected by ('127.0.0.1', 55923)
2024-06-11 18:56:04,985 Connected by ('127.0.0.1', 55927)
2024-06-11 18:56:04,986 Connected by ('127.0.0.1', 55928)
2024-06-11 18:56:04,986 Connected by ('127.0.0.1', 55929)
2024-06-11 18:56:09,988 Connected by ('127.0.0.1', 55933)
2024-06-11 18:56:09,989 Connected by ('127.0.0.1', 55934)
2024-06-11 18:56:09,990 Connected by ('127.0.0.1', 55935)
2024-06-11 18:56:15,004 Connected by ('127.0.0.1', 55938)
2024-06-11 18:56:15,005 Connected by ('127.0.0.1', 55940)
2024-06-11 18:56:15,006 Connected by ('127.0.0.1', 55941)
2024-06-11 18:56:20,021 Connected by ('127.0.0.1', 55949)
2024-06-11 18:56:20,022 Connected by ('127.0.0.1', 55950)
2024-06-11 18:56:20,022 Connected by ('127.0.0.1', 55951)
2024-06-11 18:56:25,024 Connected by ('127.0.0.1', 55962)
2024-06-11 18:56:25,025 Connected by ('127.0.0.1', 55963)
2024-06-11 18:56:25,025 Connected by ('127.0.0.1', 55964)
2024-06-11 18:56:30,038 Connected by ('127.0.0.1', 55968)
2024-06-11 18:56:30,038 Connected by ('127.0.0.1', 55969)
2024-06-11 18:56:30,039 Connected by ('127.0.0.1', 55970)
2024-06-11 18:56:35,050 Connected by ('127.0.0.1', 55974)
2024-06-11 18:56:35,051 Connected by ('127.0.0.1', 55975)
2024-06-11 18:56:35,051 Connected by ('127.0.0.1', 55976)
2024-06-11 18:56:40,057 Connected by ('127.0.0.1', 55990)
2024-06-11 18:56:40,057 Connected by ('127.0.0.1', 55991)
2024-06-11 18:56:40,058 Connected by ('127.0.0.1', 55992)
2024-06-11 18:56:45,066 Connected by ('127.0.0.1', 55996)
2024-06-11 18:56:45,067 Connected by ('127.0.0.1', 55997)
2024-06-11 18:56:45,067 Connected by ('127.0.0.1', 55998)
2024-06-11 18:56:50,080 Connected by ('127.0.0.1', 56009)
2024-06-11 18:56:50,081 Connected by ('127.0.0.1', 56010)
2024-06-11 18:56:50,081 Connected by ('127.0.0.1', 56011)
2024-06-11 18:56:55,092 Connected by ('127.0.0.1', 56015)
2024-06-11 18:56:55,093 Connected by ('127.0.0.1', 56016)
2024-06-11 18:56:55,093 Connected by ('127.0.0.1', 56017)
2024-06-11 18:57:00,103 Connected by ('127.0.0.1', 56023)
2024-06-11 18:57:00,103 Connected by ('127.0.0.1', 56024)
2024-06-11 18:57:00,103 Connected by ('127.0.0.1', 56025)
2024-06-11 18:57:05,108 Connected by ('127.0.0.1', 56034)
2024-06-11 18:57:05,109 Connected by ('127.0.0.1', 56035)
2024-06-11 18:57:05,109 Connected by ('127.0.0.1', 56036)
2024-06-11 18:57:10,113 Connected by ('127.0.0.1', 56040)
2024-06-11 18:57:10,114 Connected by ('127.0.0.1', 56041)
2024-06-11 18:57:10,114 Connected by ('127.0.0.1', 56042)
2024-06-11 18:57:15,129 Connected by ('127.0.0.1', 56046)
2024-06-11 18:57:15,130 Connected by ('127.0.0.1', 56047)
2024-06-11 18:57:15,130 Connected by ('127.0.0.1', 56048)
2024-06-11 18:57:20,145 Connected by ('127.0.0.1', 56055)
2024-06-11 18:57:20,146 Connected by ('127.0.0.1', 56056)
2024-06-11 18:57:20,146 Connected by ('127.0.0.1', 56057)
2024-06-11 18:57:25,155 Connected by ('127.0.0.1', 56064)
2024-06-11 18:57:25,157 Connected by ('127.0.0.1', 56065)
2024-06-11 18:57:25,157 Connected by ('127.0.0.1', 56066)
2024-06-11 18:57:30,159 Connected by ('127.0.0.1', 56072)
2024-06-11 18:57:30,160 Connected by ('127.0.0.1', 56073)
2024-06-11 18:57:30,161 Connected by ('127.0.0.1', 56074)
2024-06-11 18:57:35,173 Connected by ('127.0.0.1', 56085)
2024-06-11 18:57:35,174 Connected by ('127.0.0.1', 56086)
2024-06-11 18:57:35,174 Connected by ('127.0.0.1', 56087)
2024-06-11 18:57:40,188 Connected by ('127.0.0.1', 56095)
2024-06-11 18:57:40,189 Connected by ('127.0.0.1', 56096)
2024-06-11 18:57:40,189 Connected by ('127.0.0.1', 56097)
2024-06-11 18:57:45,205 Connected by ('127.0.0.1', 56101)
2024-06-11 18:57:45,206 Connected by ('127.0.0.1', 56102)
2024-06-11 18:57:45,206 Connected by ('127.0.0.1', 56103)
2024-06-11 18:57:50,216 Connected by ('127.0.0.1', 56108)
2024-06-11 18:57:50,216 Connected by ('127.0.0.1', 56109)
2024-06-11 18:57:50,217 Connected by ('127.0.0.1', 56110)
2024-06-11 18:57:55,222 Connected by ('127.0.0.1', 56114)
2024-06-11 18:57:55,223 Connected by ('127.0.0.1', 56115)
2024-06-11 18:57:55,223 Connected by ('127.0.0.1', 56116)
2024-06-11 18:58:00,241 Connected by ('127.0.0.1', 56120)
2024-06-11 18:58:00,242 Connected by ('127.0.0.1', 56121)
2024-06-11 18:58:00,242 Connected by ('127.0.0.1', 56122)
2024-06-11 18:58:05,255 Connected by ('127.0.0.1', 56125)
2024-06-11 18:58:05,256 Connected by ('127.0.0.1', 56127)
2024-06-11 18:58:05,256 Connected by ('127.0.0.1', 56128)
2024-06-11 18:58:10,263 Connected by ('127.0.0.1', 56132)
2024-06-11 18:58:10,263 Connected by ('127.0.0.1', 56133)
2024-06-11 18:58:10,264 Connected by ('127.0.0.1', 56134)
2024-06-11 18:58:15,265 Connected by ('127.0.0.1', 56139)
2024-06-11 18:58:15,266 Connected by ('127.0.0.1', 56140)
2024-06-11 18:58:15,266 Connected by ('127.0.0.1', 56141)
2024-06-11 18:58:20,276 Connected by ('127.0.0.1', 56145)
2024-06-11 18:58:20,277 Connected by ('127.0.0.1', 56147)
2024-06-11 18:58:20,278 Connected by ('127.0.0.1', 56148)
2024-06-11 18:58:25,291 Connected by ('127.0.0.1', 56152)
2024-06-11 18:58:25,291 Connected by ('127.0.0.1', 56153)
2024-06-11 18:58:25,292 Connected by ('127.0.0.1', 56154)
2024-06-11 18:58:30,300 Connected by ('127.0.0.1', 56158)
2024-06-11 18:58:30,301 Connected by ('127.0.0.1', 56159)
2024-06-11 18:58:30,301 Connected by ('127.0.0.1', 56160)
2024-06-11 18:58:35,316 Connected by ('127.0.0.1', 56170)
2024-06-11 18:58:35,316 Connected by ('127.0.0.1', 56171)
2024-06-11 18:58:35,317 Connected by ('127.0.0.1', 56172)
2024-06-11 18:58:40,324 Connected by ('127.0.0.1', 56178)
2024-06-11 18:58:40,325 Connected by ('127.0.0.1', 56179)
2024-06-11 18:58:40,326 Connected by ('127.0.0.1', 56180)
2024-06-11 18:58:45,332 Connected by ('127.0.0.1', 56184)
2024-06-11 18:58:45,333 Connected by ('127.0.0.1', 56185)
2024-06-11 18:58:45,333 Connected by ('127.0.0.1', 56186)
2024-06-11 18:58:50,344 Connected by ('127.0.0.1', 56190)
2024-06-11 18:58:50,346 Connected by ('127.0.0.1', 56191)
2024-06-11 18:58:50,346 Connected by ('127.0.0.1', 56192)
2024-06-11 18:58:55,364 Connected by ('127.0.0.1', 56211)
2024-06-11 18:58:55,366 Connected by ('127.0.0.1', 56213)
2024-06-11 18:58:55,366 Connected by ('127.0.0.1', 56212)
2024-06-11 18:59:00,375 Connected by ('127.0.0.1', 56217)
2024-06-11 18:59:00,376 Connected by ('127.0.0.1', 56218)
2024-06-11 18:59:00,376 Connected by ('127.0.0.1', 56219)
2024-06-11 18:59:05,392 Connected by ('127.0.0.1', 56223)
2024-06-11 18:59:05,393 Connected by ('127.0.0.1', 56224)
2024-06-11 18:59:05,394 Connected by ('127.0.0.1', 56225)
2024-06-11 18:59:10,410 Connected by ('127.0.0.1', 56229)
2024-06-11 18:59:10,411 Connected by ('127.0.0.1', 56231)
2024-06-11 18:59:10,411 Connected by ('127.0.0.1', 56230)
2024-06-11 18:59:15,422 Connected by ('127.0.0.1', 56238)
2024-06-11 18:59:15,423 Connected by ('127.0.0.1', 56239)
2024-06-11 18:59:15,424 Connected by ('127.0.0.1', 56240)
2024-06-11 18:59:20,438 Connected by ('127.0.0.1', 56244)
2024-06-11 18:59:20,439 Connected by ('127.0.0.1', 56245)
2024-06-11 18:59:20,439 Connected by ('127.0.0.1', 56246)
2024-06-11 18:59:25,444 Connected by ('127.0.0.1', 56250)
2024-06-11 18:59:25,444 Connected by ('127.0.0.1', 56251)
2024-06-11 18:59:25,445 Connected by ('127.0.0.1', 56252)
2024-06-11 18:59:30,456 Connected by ('127.0.0.1', 56256)
2024-06-11 18:59:30,457 Connected by ('127.0.0.1', 56257)
2024-06-11 18:59:30,457 Connected by ('127.0.0.1', 56258)
2024-06-11 18:59:35,463 Connected by ('127.0.0.1', 56262)
2024-06-11 18:59:35,463 Connected by ('127.0.0.1', 56263)
2024-06-11 18:59:35,464 Connected by ('127.0.0.1', 56264)
2024-06-11 18:59:40,467 Connected by ('127.0.0.1', 56268)
2024-06-11 18:59:40,467 Connected by ('127.0.0.1', 56269)
2024-06-11 18:59:40,468 Connected by ('127.0.0.1', 56270)
2024-06-11 18:59:45,473 Connected by ('127.0.0.1', 56281)
2024-06-11 18:59:45,473 Connected by ('127.0.0.1', 56282)
2024-06-11 18:59:45,474 Connected by ('127.0.0.1', 56283)
2024-06-11 18:59:50,486 Connected by ('127.0.0.1', 56302)
2024-06-11 18:59:50,487 Connected by ('127.0.0.1', 56303)
2024-06-11 18:59:50,488 Connected by ('127.0.0.1', 56304)
2024-06-11 18:59:55,493 Connected by ('127.0.0.1', 56308)
2024-06-11 18:59:55,494 Connected by ('127.0.0.1', 56309)
2024-06-11 18:59:55,495 Connected by ('127.0.0.1', 56310)
