2024-07-05 12:03:02,045 FIX Engine listening for connections
2024-07-05 12:03:03,239 Connected by ('127.0.0.1', 53850)
2024-07-05 12:03:03,240 Connected by ('127.0.0.1', 53851)
2024-07-05 12:03:08,254 Connected by ('127.0.0.1', 53868)
2024-07-05 12:03:08,255 Connected by ('127.0.0.1', 53869)
2024-07-05 12:03:14,287 Connected by ('127.0.0.1', 53895)
2024-07-05 12:03:14,287 Connected by ('127.0.0.1', 53896)
2024-07-05 12:03:20,304 Connected by ('127.0.0.1', 53916)
2024-07-05 12:03:20,304 Connected by ('127.0.0.1', 53917)
2024-07-05 12:03:26,155 Connected by ('127.0.0.1', 53934)
2024-07-05 12:03:26,156 Connected by ('127.0.0.1', 53935)
2024-07-05 12:03:32,179 Connected by ('127.0.0.1', 53955)
2024-07-05 12:03:32,180 Connected by ('127.0.0.1', 53956)
2024-07-05 12:03:38,202 Connected by ('127.0.0.1', 53980)
2024-07-05 12:03:38,202 Connected by ('127.0.0.1', 53981)
2024-07-05 12:03:44,225 Connected by ('127.0.0.1', 54010)
2024-07-05 12:03:44,227 Connected by ('127.0.0.1', 54009)
2024-07-05 12:03:50,252 Connected by ('127.0.0.1', 54027)
2024-07-05 12:03:50,256 Connected by ('127.0.0.1', 54030)
2024-07-05 12:03:55,297 Connected by ('127.0.0.1', 54043)
2024-07-05 12:03:55,298 Connected by ('127.0.0.1', 54045)
2024-07-05 12:04:01,324 Connected by ('127.0.0.1', 54062)
2024-07-05 12:04:01,325 Connected by ('127.0.0.1', 54063)
2024-07-05 12:04:06,351 Connected by ('127.0.0.1', 54078)
2024-07-05 12:04:06,352 Connected by ('127.0.0.1', 54079)
2024-07-05 12:04:12,369 Connected by ('127.0.0.1', 54097)
2024-07-05 12:04:12,370 Connected by ('127.0.0.1', 54096)
2024-07-05 12:04:18,402 Connected by ('127.0.0.1', 54114)
2024-07-05 12:04:18,403 Connected by ('127.0.0.1', 54115)
2024-07-05 12:04:24,408 Connected by ('127.0.0.1', 54132)
2024-07-05 12:04:24,409 Connected by ('127.0.0.1', 54133)
2024-07-05 12:04:30,431 Connected by ('127.0.0.1', 54150)
2024-07-05 12:04:30,431 Connected by ('127.0.0.1', 54151)
2024-07-05 12:04:36,460 Connected by ('127.0.0.1', 54168)
2024-07-05 12:04:36,461 Connected by ('127.0.0.1', 54169)
2024-07-05 12:04:42,474 Connected by ('127.0.0.1', 54188)
2024-07-05 12:04:42,475 Connected by ('127.0.0.1', 54189)
2024-07-05 12:04:48,487 Connected by ('127.0.0.1', 54207)
2024-07-05 12:04:48,488 Connected by ('127.0.0.1', 54208)
2024-07-05 12:04:53,519 Connected by ('127.0.0.1', 54223)
2024-07-05 12:04:53,520 Connected by ('127.0.0.1', 54224)
2024-07-05 12:04:59,530 Connected by ('127.0.0.1', 54241)
2024-07-05 12:04:59,531 Connected by ('127.0.0.1', 54242)
2024-07-05 12:05:04,586 Connected by ('127.0.0.1', 54257)
2024-07-05 12:05:04,587 Connected by ('127.0.0.1', 54258)
2024-07-05 12:05:10,607 Connected by ('127.0.0.1', 54275)
2024-07-05 12:05:10,608 Connected by ('127.0.0.1', 54276)
2024-07-05 12:05:15,629 Connected by ('127.0.0.1', 54291)
2024-07-05 12:05:15,629 Connected by ('127.0.0.1', 54292)
2024-07-05 12:05:21,654 Connected by ('127.0.0.1', 54309)
2024-07-05 12:05:21,654 Connected by ('127.0.0.1', 54310)
2024-07-05 12:05:26,678 Connected by ('127.0.0.1', 54325)
2024-07-05 12:05:26,678 Connected by ('127.0.0.1', 54326)
2024-07-05 12:05:32,704 Connected by ('127.0.0.1', 54342)
2024-07-05 12:05:32,706 Connected by ('127.0.0.1', 54343)
2024-07-05 12:05:37,761 Connected by ('127.0.0.1', 54378)
2024-07-05 12:05:37,762 Connected by ('127.0.0.1', 54379)
2024-07-05 12:05:43,782 Connected by ('127.0.0.1', 54399)
2024-07-05 12:05:43,783 Connected by ('127.0.0.1', 54400)
2024-07-05 12:05:49,811 Connected by ('127.0.0.1', 54418)
2024-07-05 12:05:49,811 Connected by ('127.0.0.1', 54419)
2024-07-05 12:05:55,824 Connected by ('127.0.0.1', 54442)
2024-07-05 12:05:55,825 Connected by ('127.0.0.1', 54443)
2024-07-05 12:06:00,844 Connected by ('127.0.0.1', 54460)
2024-07-05 12:06:00,844 Connected by ('127.0.0.1', 54461)
2024-07-05 12:06:06,871 Connected by ('127.0.0.1', 54478)
2024-07-05 12:06:06,871 Connected by ('127.0.0.1', 54479)
2024-07-05 12:06:12,895 Connected by ('127.0.0.1', 54496)
2024-07-05 12:06:12,896 Connected by ('127.0.0.1', 54497)
2024-07-05 12:06:18,908 Connected by ('127.0.0.1', 54514)
2024-07-05 12:06:18,909 Connected by ('127.0.0.1', 54515)
2024-07-05 12:06:24,930 Connected by ('127.0.0.1', 54532)
2024-07-05 12:06:24,930 Connected by ('127.0.0.1', 54533)
2024-07-05 12:06:30,952 Connected by ('127.0.0.1', 54550)
2024-07-05 12:06:30,952 Connected by ('127.0.0.1', 54551)
2024-07-05 12:06:36,958 Connected by ('127.0.0.1', 54569)
2024-07-05 12:06:36,958 Connected by ('127.0.0.1', 54570)
2024-07-05 12:06:41,975 Connected by ('127.0.0.1', 54586)
2024-07-05 12:06:41,975 Connected by ('127.0.0.1', 54587)
2024-07-05 12:06:47,993 Connected by ('127.0.0.1', 54604)
2024-07-05 12:06:47,994 Connected by ('127.0.0.1', 54605)
2024-07-05 12:06:53,036 Connected by ('127.0.0.1', 54620)
2024-07-05 12:06:53,036 Connected by ('127.0.0.1', 54621)
2024-07-05 12:06:58,058 Connected by ('127.0.0.1', 54636)
2024-07-05 12:06:58,058 Connected by ('127.0.0.1', 54637)
2024-07-05 12:07:03,076 Connected by ('127.0.0.1', 54651)
2024-07-05 12:07:03,076 Connected by ('127.0.0.1', 54652)
2024-07-05 12:07:08,103 Connected by ('127.0.0.1', 54667)
2024-07-05 12:07:08,103 Connected by ('127.0.0.1', 54668)
2024-07-05 12:07:14,192 Connected by ('127.0.0.1', 54698)
2024-07-05 12:07:14,199 Connected by ('127.0.0.1', 54700)
2024-07-05 12:07:19,294 Connected by ('127.0.0.1', 54728)
2024-07-05 12:07:19,294 Connected by ('127.0.0.1', 54727)
2024-07-05 12:07:25,322 Connected by ('127.0.0.1', 54746)
2024-07-05 12:07:25,323 Connected by ('127.0.0.1', 54747)
2024-07-05 12:07:31,338 Connected by ('127.0.0.1', 54764)
2024-07-05 12:07:31,339 Connected by ('127.0.0.1', 54765)
2024-07-05 12:07:37,366 Connected by ('127.0.0.1', 54782)
2024-07-05 12:07:37,366 Connected by ('127.0.0.1', 54783)
2024-07-05 12:07:43,389 Connected by ('127.0.0.1', 54800)
2024-07-05 12:07:43,390 Connected by ('127.0.0.1', 54801)
2024-07-05 12:07:49,401 Connected by ('127.0.0.1', 54819)
2024-07-05 12:07:49,401 Connected by ('127.0.0.1', 54820)
2024-07-05 12:07:55,406 Connected by ('127.0.0.1', 54837)
2024-07-05 12:07:55,406 Connected by ('127.0.0.1', 54838)
2024-07-05 12:08:01,425 Connected by ('127.0.0.1', 54855)
2024-07-05 12:08:01,426 Connected by ('127.0.0.1', 54856)
2024-07-05 12:08:06,452 Connected by ('127.0.0.1', 54871)
2024-07-05 12:08:06,453 Connected by ('127.0.0.1', 54872)
2024-07-05 12:08:11,482 Connected by ('127.0.0.1', 54888)
2024-07-05 12:08:11,483 Connected by ('127.0.0.1', 54887)
2024-07-05 12:08:17,506 Connected by ('127.0.0.1', 54905)
2024-07-05 12:08:17,506 Connected by ('127.0.0.1', 54906)
2024-07-05 12:08:23,558 Connected by ('127.0.0.1', 54923)
2024-07-05 12:08:23,559 Connected by ('127.0.0.1', 54924)
2024-07-05 12:08:29,579 Connected by ('127.0.0.1', 54941)
2024-07-05 12:08:29,579 Connected by ('127.0.0.1', 54942)
2024-07-05 12:08:35,576 Connected by ('127.0.0.1', 54959)
2024-07-05 12:08:35,576 Connected by ('127.0.0.1', 54960)
2024-07-05 12:08:41,601 Connected by ('127.0.0.1', 54978)
2024-07-05 12:08:41,601 Connected by ('127.0.0.1', 54979)
2024-07-05 12:08:47,627 Connected by ('127.0.0.1', 54995)
2024-07-05 12:08:47,628 Connected by ('127.0.0.1', 54996)
2024-07-05 12:08:52,666 Connected by ('127.0.0.1', 55011)
2024-07-05 12:08:52,667 Connected by ('127.0.0.1', 55012)
2024-07-05 12:08:58,688 Connected by ('127.0.0.1', 55029)
2024-07-05 12:08:58,689 Connected by ('127.0.0.1', 55030)
2024-07-05 12:09:04,681 Connected by ('127.0.0.1', 55048)
2024-07-05 12:09:04,682 Connected by ('127.0.0.1', 55049)
2024-07-05 12:09:09,708 Connected by ('127.0.0.1', 55064)
2024-07-05 12:09:09,710 Connected by ('127.0.0.1', 55066)
2024-07-05 12:09:15,725 Connected by ('127.0.0.1', 55082)
2024-07-05 12:09:15,725 Connected by ('127.0.0.1', 55083)
2024-07-05 12:09:21,748 Connected by ('127.0.0.1', 55100)
2024-07-05 12:09:21,749 Connected by ('127.0.0.1', 55101)
2024-07-05 12:09:26,780 Connected by ('127.0.0.1', 55116)
2024-07-05 12:09:26,780 Connected by ('127.0.0.1', 55117)
2024-07-05 12:09:32,799 Connected by ('127.0.0.1', 55134)
2024-07-05 12:09:32,800 Connected by ('127.0.0.1', 55135)
2024-07-05 12:09:37,824 Connected by ('127.0.0.1', 55150)
2024-07-05 12:09:37,825 Connected by ('127.0.0.1', 55151)
2024-07-05 12:09:42,849 Connected by ('127.0.0.1', 55166)
2024-07-05 12:09:42,851 Connected by ('127.0.0.1', 55167)
2024-07-05 12:09:48,858 Connected by ('127.0.0.1', 55184)
2024-07-05 12:09:48,859 Connected by ('127.0.0.1', 55185)
2024-07-05 12:09:54,863 Connected by ('127.0.0.1', 55202)
2024-07-05 12:09:54,863 Connected by ('127.0.0.1', 55203)
2024-07-05 12:09:59,899 Connected by ('127.0.0.1', 55218)
2024-07-05 12:09:59,900 Connected by ('127.0.0.1', 55219)
2024-07-05 12:10:04,921 Connected by ('127.0.0.1', 55234)
2024-07-05 12:10:04,922 Connected by ('127.0.0.1', 55235)
2024-07-05 12:10:10,936 Connected by ('127.0.0.1', 55252)
2024-07-05 12:10:10,936 Connected by ('127.0.0.1', 55253)
2024-07-05 12:10:16,949 Connected by ('127.0.0.1', 55270)
2024-07-05 12:10:16,949 Connected by ('127.0.0.1', 55271)
2024-07-05 12:10:21,979 Connected by ('127.0.0.1', 55286)
2024-07-05 12:10:21,981 Connected by ('127.0.0.1', 55287)
2024-07-05 12:10:27,989 Connected by ('127.0.0.1', 55303)
2024-07-05 12:10:27,990 Connected by ('127.0.0.1', 55304)
2024-07-05 12:10:34,017 Connected by ('127.0.0.1', 55322)
2024-07-05 12:10:34,018 Connected by ('127.0.0.1', 55323)
2024-07-05 12:10:40,042 Connected by ('127.0.0.1', 55340)
2024-07-05 12:10:40,042 Connected by ('127.0.0.1', 55341)
2024-07-05 12:10:46,039 Connected by ('127.0.0.1', 55358)
2024-07-05 12:10:46,040 Connected by ('127.0.0.1', 55359)
2024-07-05 12:10:52,047 Connected by ('127.0.0.1', 55376)
2024-07-05 12:10:52,048 Connected by ('127.0.0.1', 55377)
2024-07-05 12:10:57,099 Connected by ('127.0.0.1', 55392)
2024-07-05 12:10:57,100 Connected by ('127.0.0.1', 55393)
2024-07-05 12:11:03,115 Connected by ('127.0.0.1', 55410)
2024-07-05 12:11:03,115 Connected by ('127.0.0.1', 55411)
2024-07-05 12:11:08,131 Connected by ('127.0.0.1', 55426)
2024-07-05 12:11:08,131 Connected by ('127.0.0.1', 55427)
2024-07-05 12:11:14,148 Connected by ('127.0.0.1', 55444)
2024-07-05 12:11:14,148 Connected by ('127.0.0.1', 55445)
2024-07-05 12:11:20,171 Connected by ('127.0.0.1', 55462)
2024-07-05 12:11:20,172 Connected by ('127.0.0.1', 55463)
2024-07-05 12:11:26,191 Connected by ('127.0.0.1', 55480)
2024-07-05 12:11:26,191 Connected by ('127.0.0.1', 55481)
2024-07-05 12:11:31,213 Connected by ('127.0.0.1', 55496)
2024-07-05 12:11:31,213 Connected by ('127.0.0.1', 55497)
2024-07-05 12:11:37,238 Connected by ('127.0.0.1', 55514)
2024-07-05 12:11:37,239 Connected by ('127.0.0.1', 55516)
2024-07-05 12:11:42,263 Connected by ('127.0.0.1', 55530)
2024-07-05 12:11:42,263 Connected by ('127.0.0.1', 55531)
2024-07-05 12:11:48,276 Connected by ('127.0.0.1', 55548)
2024-07-05 12:11:48,276 Connected by ('127.0.0.1', 55547)
2024-07-05 12:11:54,303 Connected by ('127.0.0.1', 55565)
2024-07-05 12:11:54,305 Connected by ('127.0.0.1', 55566)
2024-07-05 12:12:00,318 Connected by ('127.0.0.1', 55583)
2024-07-05 12:12:00,319 Connected by ('127.0.0.1', 55584)
2024-07-05 12:12:06,340 Connected by ('127.0.0.1', 55601)
2024-07-05 12:12:06,341 Connected by ('127.0.0.1', 55602)
2024-07-05 12:12:12,357 Connected by ('127.0.0.1', 55619)
2024-07-05 12:12:12,357 Connected by ('127.0.0.1', 55620)
2024-07-05 12:12:17,374 Connected by ('127.0.0.1', 55635)
2024-07-05 12:12:17,375 Connected by ('127.0.0.1', 55636)
2024-07-05 12:12:22,418 Connected by ('127.0.0.1', 55651)
2024-07-05 12:12:22,418 Connected by ('127.0.0.1', 55652)
2024-07-05 12:12:27,462 Connected by ('127.0.0.1', 55667)
2024-07-05 12:12:27,462 Connected by ('127.0.0.1', 55668)
2024-07-05 12:12:33,477 Connected by ('127.0.0.1', 55686)
2024-07-05 12:12:33,478 Connected by ('127.0.0.1', 55685)
2024-07-05 12:12:39,512 Connected by ('127.0.0.1', 55703)
2024-07-05 12:12:39,514 Connected by ('127.0.0.1', 55704)
2024-07-05 12:12:44,537 Connected by ('127.0.0.1', 55719)
2024-07-05 12:12:44,538 Connected by ('127.0.0.1', 55720)
2024-07-05 12:12:50,551 Connected by ('127.0.0.1', 55737)
2024-07-05 12:12:50,552 Connected by ('127.0.0.1', 55738)
2024-07-05 12:12:56,572 Connected by ('127.0.0.1', 55755)
2024-07-05 12:12:56,572 Connected by ('127.0.0.1', 55756)
2024-07-05 12:13:01,588 Connected by ('127.0.0.1', 55771)
2024-07-05 12:13:01,589 Connected by ('127.0.0.1', 55772)
2024-07-05 12:13:07,606 Connected by ('127.0.0.1', 55789)
2024-07-05 12:13:07,606 Connected by ('127.0.0.1', 55790)
2024-07-05 12:13:13,629 Connected by ('127.0.0.1', 55807)
2024-07-05 12:13:13,629 Connected by ('127.0.0.1', 55808)
2024-07-05 12:13:19,636 Connected by ('127.0.0.1', 55825)
2024-07-05 12:13:19,637 Connected by ('127.0.0.1', 55828)
2024-07-05 12:13:25,647 Connected by ('127.0.0.1', 55843)
2024-07-05 12:13:25,648 Connected by ('127.0.0.1', 55844)
2024-07-05 12:13:31,655 Connected by ('127.0.0.1', 55861)
2024-07-05 12:13:31,656 Connected by ('127.0.0.1', 55862)
2024-07-05 12:13:37,674 Connected by ('127.0.0.1', 55878)
2024-07-05 12:13:37,675 Connected by ('127.0.0.1', 55879)
2024-07-05 12:13:43,682 Connected by ('127.0.0.1', 55896)
2024-07-05 12:13:43,683 Connected by ('127.0.0.1', 55897)
2024-07-05 12:13:48,790 Connected by ('127.0.0.1', 55913)
2024-07-05 12:13:48,790 Connected by ('127.0.0.1', 55914)
2024-07-05 12:13:53,813 Connected by ('127.0.0.1', 55928)
2024-07-05 12:13:53,814 Connected by ('127.0.0.1', 55929)
2024-07-05 12:13:58,844 Connected by ('127.0.0.1', 55944)
2024-07-05 12:13:58,844 Connected by ('127.0.0.1', 55945)
2024-07-05 12:14:04,861 Connected by ('127.0.0.1', 55963)
2024-07-05 12:14:04,861 Connected by ('127.0.0.1', 55964)
2024-07-05 12:14:10,881 Connected by ('127.0.0.1', 55981)
2024-07-05 12:14:10,881 Connected by ('127.0.0.1', 55982)
2024-07-05 12:14:16,913 Connected by ('127.0.0.1', 56000)
2024-07-05 12:14:16,914 Connected by ('127.0.0.1', 56001)
2024-07-05 12:14:21,931 Connected by ('127.0.0.1', 56016)
2024-07-05 12:14:21,931 Connected by ('127.0.0.1', 56017)
2024-07-05 12:14:26,949 Connected by ('127.0.0.1', 56032)
2024-07-05 12:14:26,949 Connected by ('127.0.0.1', 56033)
2024-07-05 12:14:32,965 Connected by ('127.0.0.1', 56050)
2024-07-05 12:14:32,966 Connected by ('127.0.0.1', 56051)
2024-07-05 12:14:38,981 Connected by ('127.0.0.1', 56069)
2024-07-05 12:14:38,981 Connected by ('127.0.0.1', 56070)
2024-07-05 12:14:44,997 Connected by ('127.0.0.1', 56087)
2024-07-05 12:14:44,998 Connected by ('127.0.0.1', 56088)
2024-07-05 12:14:50,049 Connected by ('127.0.0.1', 56103)
2024-07-05 12:14:50,050 Connected by ('127.0.0.1', 56104)
2024-07-05 12:14:55,088 Connected by ('127.0.0.1', 56119)
2024-07-05 12:14:55,089 Connected by ('127.0.0.1', 56120)
2024-07-05 12:15:01,107 Connected by ('127.0.0.1', 56137)
2024-07-05 12:15:01,109 Connected by ('127.0.0.1', 56138)
2024-07-05 12:15:07,131 Connected by ('127.0.0.1', 56155)
2024-07-05 12:15:07,133 Connected by ('127.0.0.1', 56156)
2024-07-05 12:15:13,147 Connected by ('127.0.0.1', 56173)
2024-07-05 12:15:13,148 Connected by ('127.0.0.1', 56174)
2024-07-05 12:15:19,168 Connected by ('127.0.0.1', 56191)
2024-07-05 12:15:19,168 Connected by ('127.0.0.1', 56192)
2024-07-05 12:15:24,197 Connected by ('127.0.0.1', 56207)
2024-07-05 12:15:24,198 Connected by ('127.0.0.1', 56208)
2024-07-05 12:15:30,211 Connected by ('127.0.0.1', 56225)
2024-07-05 12:15:30,212 Connected by ('127.0.0.1', 56226)
2024-07-05 12:15:35,236 Connected by ('127.0.0.1', 56241)
2024-07-05 12:15:35,236 Connected by ('127.0.0.1', 56242)
2024-07-05 12:15:41,248 Connected by ('127.0.0.1', 56259)
2024-07-05 12:15:41,249 Connected by ('127.0.0.1', 56260)
2024-07-05 12:15:47,261 Connected by ('127.0.0.1', 56280)
2024-07-05 12:15:47,261 Connected by ('127.0.0.1', 56279)
2024-07-05 12:15:53,294 Connected by ('127.0.0.1', 56300)
2024-07-05 12:15:53,294 Connected by ('127.0.0.1', 56301)
2024-07-05 12:15:59,304 Connected by ('127.0.0.1', 56319)
2024-07-05 12:15:59,304 Connected by ('127.0.0.1', 56320)
2024-07-05 12:16:05,338 Connected by ('127.0.0.1', 56338)
2024-07-05 12:16:05,338 Connected by ('127.0.0.1', 56339)
2024-07-05 12:16:10,381 Connected by ('127.0.0.1', 56354)
2024-07-05 12:16:10,382 Connected by ('127.0.0.1', 56355)
2024-07-05 12:16:16,409 Connected by ('127.0.0.1', 56372)
2024-07-05 12:16:16,410 Connected by ('127.0.0.1', 56373)
2024-07-05 12:16:22,420 Connected by ('127.0.0.1', 56391)
2024-07-05 12:16:22,421 Connected by ('127.0.0.1', 56392)
2024-07-05 12:16:27,461 Connected by ('127.0.0.1', 56407)
2024-07-05 12:16:27,462 Connected by ('127.0.0.1', 56408)
2024-07-05 12:16:32,508 Connected by ('127.0.0.1', 56423)
2024-07-05 12:16:32,510 Connected by ('127.0.0.1', 56424)
2024-07-05 12:16:38,513 Connected by ('127.0.0.1', 56441)
2024-07-05 12:16:38,513 Connected by ('127.0.0.1', 56442)
2024-07-05 12:16:44,529 Connected by ('127.0.0.1', 56459)
2024-07-05 12:16:44,530 Connected by ('127.0.0.1', 56460)
2024-07-05 12:16:49,554 Connected by ('127.0.0.1', 56475)
2024-07-05 12:16:49,554 Connected by ('127.0.0.1', 56476)
2024-07-05 12:16:55,576 Connected by ('127.0.0.1', 56493)
2024-07-05 12:16:55,577 Connected by ('127.0.0.1', 56494)
2024-07-05 12:17:00,607 Connected by ('127.0.0.1', 56509)
2024-07-05 12:17:00,607 Connected by ('127.0.0.1', 56510)
2024-07-05 12:17:06,613 Connected by ('127.0.0.1', 56529)
2024-07-05 12:17:06,614 Connected by ('127.0.0.1', 56530)
