2024-06-10 22:37:00,754 FIX Engine listening for connections
2024-06-10 22:37:00,941 Connected by ('127.0.0.1', 65407)
2024-06-10 22:37:00,942 Connected by ('127.0.0.1', 65409)
2024-06-10 22:37:05,941 Connected by ('127.0.0.1', 65413)
2024-06-10 22:37:05,942 Connected by ('127.0.0.1', 65415)
2024-06-10 22:37:10,960 Connected by ('127.0.0.1', 65419)
2024-06-10 22:37:10,961 Connected by ('127.0.0.1', 65420)
2024-06-10 22:37:15,972 Connected by ('127.0.0.1', 65426)
2024-06-10 22:37:15,973 Connected by ('127.0.0.1', 65427)
2024-06-10 22:37:20,983 Connected by ('127.0.0.1', 65432)
2024-06-10 22:37:20,984 Connected by ('127.0.0.1', 65434)
2024-06-10 22:37:25,999 Connected by ('127.0.0.1', 65438)
2024-06-10 22:37:26,000 Connected by ('127.0.0.1', 65440)
2024-06-10 22:37:31,015 Connected by ('127.0.0.1', 65444)
2024-06-10 22:37:31,016 Connected by ('127.0.0.1', 65445)
2024-06-10 22:37:36,027 Connected by ('127.0.0.1', 65450)
2024-06-10 22:37:36,028 Connected by ('127.0.0.1', 65452)
2024-06-10 22:37:41,039 Connected by ('127.0.0.1', 65457)
2024-06-10 22:37:41,044 Connected by ('127.0.0.1', 65460)
2024-06-10 22:37:46,054 Connected by ('127.0.0.1', 65466)
2024-06-10 22:37:46,055 Connected by ('127.0.0.1', 65468)
2024-06-10 22:37:51,070 Connected by ('127.0.0.1', 65472)
2024-06-10 22:37:51,071 Connected by ('127.0.0.1', 65474)
2024-06-10 22:37:56,077 Connected by ('127.0.0.1', 65478)
2024-06-10 22:37:56,077 Connected by ('127.0.0.1', 65480)
2024-06-10 22:38:01,084 Connected by ('127.0.0.1', 65485)
2024-06-10 22:38:01,085 Connected by ('127.0.0.1', 65486)
2024-06-10 22:38:06,086 Connected by ('127.0.0.1', 65491)
2024-06-10 22:38:06,087 Connected by ('127.0.0.1', 65492)
2024-06-10 22:38:11,097 Connected by ('127.0.0.1', 65497)
2024-06-10 22:38:11,098 Connected by ('127.0.0.1', 65499)
2024-06-10 22:38:16,108 Connected by ('127.0.0.1', 65503)
2024-06-10 22:38:16,109 Connected by ('127.0.0.1', 65504)
2024-06-10 22:38:21,114 Connected by ('127.0.0.1', 65509)
2024-06-10 22:38:21,114 Connected by ('127.0.0.1', 65510)
2024-06-10 22:38:26,129 Connected by ('127.0.0.1', 65515)
2024-06-10 22:38:26,131 Connected by ('127.0.0.1', 65516)
