2024-06-12 22:57:35,228 Market Simulator listening for connections
2024-06-12 22:57:35,360 Connected by ('127.0.0.1', 61695)
2024-06-12 22:57:35,361 Connected by ('127.0.0.1', 61696)
2024-06-12 22:57:35,362 Connected by ('127.0.0.1', 61697)
2024-06-12 22:57:38,362 Connected by ('127.0.0.1', 61711)
2024-06-12 22:57:38,366 Connected by ('127.0.0.1', 61712)
2024-06-12 22:57:38,367 Connected by ('127.0.0.1', 61714)
2024-06-12 22:57:44,369 Connected by ('127.0.0.1', 61730)
2024-06-12 22:57:44,370 Connected by ('127.0.0.1', 61731)
2024-06-12 22:57:44,371 Connected by ('127.0.0.1', 61732)
2024-06-12 22:57:50,384 Connected by ('127.0.0.1', 61749)
2024-06-12 22:57:50,385 Connected by ('127.0.0.1', 61750)
2024-06-12 22:57:50,386 Connected by ('127.0.0.1', 61751)
2024-06-12 22:57:56,169 Connected by ('127.0.0.1', 61767)
2024-06-12 22:57:56,172 Connected by ('127.0.0.1', 61768)
2024-06-12 22:57:56,173 Connected by ('127.0.0.1', 61769)
2024-06-12 22:58:01,204 Connected by ('127.0.0.1', 61785)
2024-06-12 22:58:01,204 Connected by ('127.0.0.1', 61786)
2024-06-12 22:58:01,205 Connected by ('127.0.0.1', 61787)
2024-06-12 22:58:06,231 Connected by ('127.0.0.1', 61801)
2024-06-12 22:58:06,232 Connected by ('127.0.0.1', 61802)
2024-06-12 22:58:06,235 Connected by ('127.0.0.1', 61804)
2024-06-12 22:58:12,265 Connected by ('127.0.0.1', 61820)
2024-06-12 22:58:12,268 Connected by ('127.0.0.1', 61821)
2024-06-12 22:58:12,269 Connected by ('127.0.0.1', 61822)
2024-06-12 22:58:18,287 Connected by ('127.0.0.1', 61837)
2024-06-12 22:58:18,289 Connected by ('127.0.0.1', 61838)
2024-06-12 22:58:18,293 Connected by ('127.0.0.1', 61840)
2024-06-12 22:58:24,308 Connected by ('127.0.0.1', 61857)
2024-06-12 22:58:24,310 Connected by ('127.0.0.1', 61856)
2024-06-12 22:58:24,311 Connected by ('127.0.0.1', 61858)
2024-06-12 22:58:29,346 Connected by ('127.0.0.1', 61872)
2024-06-12 22:58:29,348 Connected by ('127.0.0.1', 61873)
2024-06-12 22:58:29,349 Connected by ('127.0.0.1', 61874)
2024-06-12 22:58:34,384 Connected by ('127.0.0.1', 61888)
2024-06-12 22:58:34,385 Connected by ('127.0.0.1', 61889)
2024-06-12 22:58:34,387 Connected by ('127.0.0.1', 61890)
2024-06-12 22:58:40,411 Connected by ('127.0.0.1', 61906)
2024-06-12 22:58:40,412 Connected by ('127.0.0.1', 61907)
2024-06-12 22:58:40,414 Connected by ('127.0.0.1', 61908)
2024-06-12 22:58:46,439 Connected by ('127.0.0.1', 61924)
2024-06-12 22:58:46,440 Connected by ('127.0.0.1', 61925)
2024-06-12 22:58:46,442 Connected by ('127.0.0.1', 61926)
2024-06-12 22:58:52,461 Connected by ('127.0.0.1', 61942)
2024-06-12 22:58:52,462 Connected by ('127.0.0.1', 61943)
2024-06-12 22:58:52,464 Connected by ('127.0.0.1', 61944)
2024-06-12 22:58:57,474 Connected by ('127.0.0.1', 61958)
2024-06-12 22:58:57,475 Connected by ('127.0.0.1', 61959)
2024-06-12 22:58:57,476 Connected by ('127.0.0.1', 61960)
2024-06-12 22:59:03,497 Connected by ('127.0.0.1', 61979)
2024-06-12 22:59:03,497 Connected by ('127.0.0.1', 61981)
2024-06-12 22:59:03,498 Connected by ('127.0.0.1', 61980)
2024-06-12 22:59:09,520 Connected by ('127.0.0.1', 61999)
2024-06-12 22:59:09,522 Connected by ('127.0.0.1', 62000)
2024-06-12 22:59:09,523 Connected by ('127.0.0.1', 62001)
2024-06-12 22:59:15,549 Connected by ('127.0.0.1', 62017)
2024-06-12 22:59:15,549 Connected by ('127.0.0.1', 62018)
2024-06-12 22:59:15,550 Connected by ('127.0.0.1', 62019)
2024-06-12 22:59:21,576 Connected by ('127.0.0.1', 62035)
2024-06-12 22:59:21,577 Connected by ('127.0.0.1', 62036)
2024-06-12 22:59:21,578 Connected by ('127.0.0.1', 62037)
2024-06-12 22:59:27,606 Connected by ('127.0.0.1', 62053)
2024-06-12 22:59:27,607 Connected by ('127.0.0.1', 62054)
2024-06-12 22:59:27,609 Connected by ('127.0.0.1', 62055)
2024-06-12 22:59:33,605 Connected by ('127.0.0.1', 62071)
2024-06-12 22:59:33,608 Connected by ('127.0.0.1', 62072)
2024-06-12 22:59:33,610 Connected by ('127.0.0.1', 62073)
2024-06-12 22:59:38,635 Connected by ('127.0.0.1', 62087)
2024-06-12 22:59:38,636 Connected by ('127.0.0.1', 62088)
2024-06-12 22:59:38,636 Connected by ('127.0.0.1', 62089)
2024-06-12 22:59:44,635 Connected by ('127.0.0.1', 62105)
2024-06-12 22:59:44,636 Connected by ('127.0.0.1', 62106)
2024-06-12 22:59:44,637 Connected by ('127.0.0.1', 62107)
2024-06-12 22:59:50,666 Connected by ('127.0.0.1', 62124)
2024-06-12 22:59:50,667 Connected by ('127.0.0.1', 62123)
2024-06-12 22:59:50,668 Connected by ('127.0.0.1', 62125)
2024-06-12 22:59:55,691 Connected by ('127.0.0.1', 62139)
2024-06-12 22:59:55,692 Connected by ('127.0.0.1', 62140)
2024-06-12 22:59:55,693 Connected by ('127.0.0.1', 62141)
2024-06-12 23:00:01,720 Connected by ('127.0.0.1', 62157)
2024-06-12 23:00:01,721 Connected by ('127.0.0.1', 62158)
2024-06-12 23:00:01,722 Connected by ('127.0.0.1', 62159)
2024-06-12 23:00:07,743 Connected by ('127.0.0.1', 62175)
2024-06-12 23:00:07,744 Connected by ('127.0.0.1', 62176)
2024-06-12 23:00:07,746 Connected by ('127.0.0.1', 62177)
2024-06-12 23:00:12,785 Connected by ('127.0.0.1', 62191)
2024-06-12 23:00:12,787 Connected by ('127.0.0.1', 62192)
2024-06-12 23:00:12,788 Connected by ('127.0.0.1', 62193)
2024-06-12 23:00:18,797 Connected by ('127.0.0.1', 62208)
2024-06-12 23:00:18,798 Connected by ('127.0.0.1', 62209)
2024-06-12 23:00:18,798 Connected by ('127.0.0.1', 62210)
2024-06-12 23:00:24,818 Connected by ('127.0.0.1', 62226)
2024-06-12 23:00:24,818 Connected by ('127.0.0.1', 62227)
2024-06-12 23:00:24,819 Connected by ('127.0.0.1', 62228)
2024-06-12 23:00:29,857 Connected by ('127.0.0.1', 62243)
2024-06-12 23:00:29,858 Connected by ('127.0.0.1', 62244)
2024-06-12 23:00:29,858 Connected by ('127.0.0.1', 62245)
2024-06-12 23:00:35,873 Connected by ('127.0.0.1', 62261)
2024-06-12 23:00:35,874 Connected by ('127.0.0.1', 62262)
2024-06-12 23:00:35,875 Connected by ('127.0.0.1', 62263)
2024-06-12 23:00:40,916 Connected by ('127.0.0.1', 62277)
2024-06-12 23:00:40,917 Connected by ('127.0.0.1', 62278)
2024-06-12 23:00:40,918 Connected by ('127.0.0.1', 62279)
2024-06-12 23:00:46,931 Connected by ('127.0.0.1', 62296)
2024-06-12 23:00:46,932 Connected by ('127.0.0.1', 62297)
2024-06-12 23:00:46,933 Connected by ('127.0.0.1', 62298)
2024-06-12 23:00:52,961 Connected by ('127.0.0.1', 62314)
2024-06-12 23:00:52,962 Connected by ('127.0.0.1', 62315)
2024-06-12 23:00:52,963 Connected by ('127.0.0.1', 62316)
2024-06-12 23:00:59,008 Connected by ('127.0.0.1', 62332)
2024-06-12 23:00:59,011 Connected by ('127.0.0.1', 62333)
2024-06-12 23:00:59,013 Connected by ('127.0.0.1', 62334)
2024-06-12 23:01:04,991 Connected by ('127.0.0.1', 62350)
2024-06-12 23:01:04,991 Connected by ('127.0.0.1', 62351)
2024-06-12 23:01:04,992 Connected by ('127.0.0.1', 62352)
2024-06-12 23:01:10,013 Connected by ('127.0.0.1', 62366)
2024-06-12 23:01:10,013 Connected by ('127.0.0.1', 62367)
2024-06-12 23:01:10,014 Connected by ('127.0.0.1', 62368)
2024-06-12 23:01:16,044 Connected by ('127.0.0.1', 62383)
2024-06-12 23:01:16,045 Connected by ('127.0.0.1', 62384)
2024-06-12 23:01:16,046 Connected by ('127.0.0.1', 62385)
2024-06-12 23:01:22,047 Connected by ('127.0.0.1', 62401)
2024-06-12 23:01:22,048 Connected by ('127.0.0.1', 62402)
2024-06-12 23:01:22,049 Connected by ('127.0.0.1', 62403)
2024-06-12 23:01:28,074 Connected by ('127.0.0.1', 62420)
2024-06-12 23:01:28,075 Connected by ('127.0.0.1', 62421)
2024-06-12 23:01:28,077 Connected by ('127.0.0.1', 62422)
2024-06-12 23:01:34,090 Connected by ('127.0.0.1', 62438)
2024-06-12 23:01:34,091 Connected by ('127.0.0.1', 62439)
2024-06-12 23:01:34,092 Connected by ('127.0.0.1', 62440)
2024-06-12 23:01:40,096 Connected by ('127.0.0.1', 62456)
2024-06-12 23:01:40,097 Connected by ('127.0.0.1', 62457)
2024-06-12 23:01:40,098 Connected by ('127.0.0.1', 62458)
2024-06-12 23:01:46,118 Connected by ('127.0.0.1', 62474)
2024-06-12 23:01:46,120 Connected by ('127.0.0.1', 62475)
2024-06-12 23:01:46,121 Connected by ('127.0.0.1', 62476)
2024-06-12 23:01:52,146 Connected by ('127.0.0.1', 62493)
2024-06-12 23:01:52,148 Connected by ('127.0.0.1', 62494)
2024-06-12 23:01:52,149 Connected by ('127.0.0.1', 62495)
2024-06-12 23:01:58,163 Connected by ('127.0.0.1', 62511)
2024-06-12 23:01:58,164 Connected by ('127.0.0.1', 62512)
2024-06-12 23:01:58,165 Connected by ('127.0.0.1', 62513)
2024-06-12 23:02:04,174 Connected by ('127.0.0.1', 62529)
2024-06-12 23:02:04,176 Connected by ('127.0.0.1', 62530)
2024-06-12 23:02:04,177 Connected by ('127.0.0.1', 62531)
2024-06-12 23:02:10,179 Connected by ('127.0.0.1', 62546)
2024-06-12 23:02:10,180 Connected by ('127.0.0.1', 62547)
2024-06-12 23:02:10,182 Connected by ('127.0.0.1', 62548)
2024-06-12 23:02:15,217 Connected by ('127.0.0.1', 62562)
2024-06-12 23:02:15,219 Connected by ('127.0.0.1', 62563)
2024-06-12 23:02:15,220 Connected by ('127.0.0.1', 62564)
2024-06-12 23:02:21,236 Connected by ('127.0.0.1', 62580)
2024-06-12 23:02:21,237 Connected by ('127.0.0.1', 62581)
2024-06-12 23:02:21,237 Connected by ('127.0.0.1', 62582)
2024-06-12 23:02:27,262 Connected by ('127.0.0.1', 62598)
2024-06-12 23:02:27,263 Connected by ('127.0.0.1', 62599)
2024-06-12 23:02:27,264 Connected by ('127.0.0.1', 62600)
2024-06-12 23:02:33,283 Connected by ('127.0.0.1', 62616)
2024-06-12 23:02:33,284 Connected by ('127.0.0.1', 62617)
2024-06-12 23:02:33,285 Connected by ('127.0.0.1', 62618)
2024-06-12 23:02:39,317 Connected by ('127.0.0.1', 62634)
2024-06-12 23:02:39,318 Connected by ('127.0.0.1', 62635)
2024-06-12 23:02:39,319 Connected by ('127.0.0.1', 62636)
2024-06-12 23:02:44,340 Connected by ('127.0.0.1', 62651)
2024-06-12 23:02:44,341 Connected by ('127.0.0.1', 62652)
2024-06-12 23:02:44,342 Connected by ('127.0.0.1', 62653)
2024-06-12 23:02:50,359 Connected by ('127.0.0.1', 62669)
2024-06-12 23:02:50,360 Connected by ('127.0.0.1', 62670)
2024-06-12 23:02:50,361 Connected by ('127.0.0.1', 62671)
2024-06-12 23:02:55,382 Connected by ('127.0.0.1', 62686)
2024-06-12 23:02:55,382 Connected by ('127.0.0.1', 62685)
2024-06-12 23:02:55,383 Connected by ('127.0.0.1', 62687)
2024-06-12 23:03:01,412 Connected by ('127.0.0.1', 62703)
2024-06-12 23:03:01,413 Connected by ('127.0.0.1', 62704)
2024-06-12 23:03:01,415 Connected by ('127.0.0.1', 62705)
2024-06-12 23:03:07,445 Connected by ('127.0.0.1', 62722)
2024-06-12 23:03:07,447 Connected by ('127.0.0.1', 62723)
2024-06-12 23:03:07,448 Connected by ('127.0.0.1', 62724)
2024-06-12 23:03:13,468 Connected by ('127.0.0.1', 62741)
2024-06-12 23:03:13,469 Connected by ('127.0.0.1', 62742)
2024-06-12 23:03:13,471 Connected by ('127.0.0.1', 62743)
2024-06-12 23:03:19,491 Connected by ('127.0.0.1', 62761)
2024-06-12 23:03:19,492 Connected by ('127.0.0.1', 62760)
2024-06-12 23:03:19,492 Connected by ('127.0.0.1', 62762)
2024-06-12 23:03:24,527 Connected by ('127.0.0.1', 62776)
