2024-06-11 19:56:08,983 Order Router listening for connections
2024-06-11 19:56:12,131 Connected by ('127.0.0.1', 51754)
2024-06-11 19:56:17,143 Connected by ('127.0.0.1', 51760)
2024-06-11 19:56:22,149 Connected by ('127.0.0.1', 51766)
2024-06-11 19:56:27,155 Connected by ('127.0.0.1', 51772)
2024-06-11 19:56:32,167 Connected by ('127.0.0.1', 51780)
2024-06-11 19:56:37,174 Connected by ('127.0.0.1', 51786)
2024-06-11 19:56:42,184 Connected by ('127.0.0.1', 51792)
2024-06-11 19:56:47,188 Connected by ('127.0.0.1', 51798)
2024-06-11 19:56:52,197 Connected by ('127.0.0.1', 51805)
2024-06-11 19:56:57,208 Connected by ('127.0.0.1', 51811)
2024-06-11 19:57:02,218 Connected by ('127.0.0.1', 51817)
2024-06-11 19:57:07,225 Connected by ('127.0.0.1', 51823)
2024-06-11 19:57:12,240 Connected by ('127.0.0.1', 51829)
2024-06-11 19:57:17,256 Connected by ('127.0.0.1', 51835)
2024-06-11 19:57:22,260 Connected by ('127.0.0.1', 51841)
2024-06-11 19:57:27,269 Connected by ('127.0.0.1', 51847)
2024-06-11 19:57:32,279 Connected by ('127.0.0.1', 51853)
2024-06-11 19:57:37,293 Connected by ('127.0.0.1', 51859)
2024-06-11 19:57:42,302 Connected by ('127.0.0.1', 51865)
2024-06-11 19:57:47,307 Connected by ('127.0.0.1', 51871)
2024-06-11 19:57:52,319 Connected by ('127.0.0.1', 51878)
2024-06-11 19:57:57,327 Connected by ('127.0.0.1', 51884)
2024-06-11 19:58:02,333 Connected by ('127.0.0.1', 51891)
2024-06-11 19:58:07,341 Connected by ('127.0.0.1', 51901)
2024-06-11 19:58:12,359 Connected by ('127.0.0.1', 51907)
2024-06-11 19:58:17,364 Connected by ('127.0.0.1', 51913)
2024-06-11 19:58:22,372 Connected by ('127.0.0.1', 51919)
2024-06-11 19:58:27,387 Connected by ('127.0.0.1', 51925)
2024-06-11 19:58:32,400 Connected by ('127.0.0.1', 51931)
2024-06-11 19:58:37,411 Connected by ('127.0.0.1', 51937)
2024-06-11 19:58:42,416 Connected by ('127.0.0.1', 51943)
2024-06-11 19:58:47,424 Connected by ('127.0.0.1', 51949)
2024-06-11 19:58:52,439 Connected by ('127.0.0.1', 51955)
2024-06-11 19:58:57,444 Connected by ('127.0.0.1', 51961)
2024-06-11 19:59:02,462 Connected by ('127.0.0.1', 51967)
2024-06-11 19:59:07,471 Connected by ('127.0.0.1', 51973)
2024-06-11 19:59:12,475 Connected by ('127.0.0.1', 51979)
2024-06-11 19:59:17,492 Connected by ('127.0.0.1', 51985)
2024-06-11 19:59:22,495 Connected by ('127.0.0.1', 51991)
2024-06-11 19:59:27,507 Connected by ('127.0.0.1', 51997)
2024-06-11 19:59:32,511 Connected by ('127.0.0.1', 52003)
2024-06-11 19:59:37,526 Connected by ('127.0.0.1', 52009)
2024-06-11 19:59:42,544 Connected by ('127.0.0.1', 52015)
2024-06-11 19:59:47,558 Connected by ('127.0.0.1', 52024)
2024-06-11 19:59:52,566 Connected by ('127.0.0.1', 52031)
2024-06-11 19:59:57,582 Connected by ('127.0.0.1', 52037)
2024-06-11 20:00:02,592 Connected by ('127.0.0.1', 52047)
2024-06-11 20:00:07,609 Connected by ('127.0.0.1', 52053)
2024-06-11 20:00:12,618 Connected by ('127.0.0.1', 52060)
2024-06-11 20:00:17,637 Connected by ('127.0.0.1', 52066)
2024-06-11 20:00:22,656 Connected by ('127.0.0.1', 52072)
2024-06-11 20:00:27,669 Connected by ('127.0.0.1', 52078)
2024-06-11 20:00:32,689 Connected by ('127.0.0.1', 52084)
2024-06-11 20:00:37,695 Connected by ('127.0.0.1', 52090)
2024-06-11 20:00:42,707 Connected by ('127.0.0.1', 52096)
