2024-06-11 22:05:36,455 FIX Engine listening for connections
2024-06-11 22:05:37,456 Connected by ('127.0.0.1', 60208)
2024-06-11 22:05:37,456 Connected by ('127.0.0.1', 60209)
2024-06-11 22:05:42,471 Connected by ('127.0.0.1', 60224)
2024-06-11 22:05:42,472 Connected by ('127.0.0.1', 60225)
2024-06-11 22:05:48,503 Connected by ('127.0.0.1', 60242)
2024-06-11 22:05:48,506 Connected by ('127.0.0.1', 60243)
2024-06-11 22:05:54,522 Connected by ('127.0.0.1', 60260)
2024-06-11 22:05:54,523 Connected by ('127.0.0.1', 60261)
2024-06-11 22:05:59,547 Connected by ('127.0.0.1', 60276)
2024-06-11 22:05:59,548 Connected by ('127.0.0.1', 60277)
2024-06-11 22:06:05,558 Connected by ('127.0.0.1', 60299)
2024-06-11 22:06:05,559 Connected by ('127.0.0.1', 60298)
2024-06-11 22:06:11,573 Connected by ('127.0.0.1', 60315)
2024-06-11 22:06:11,575 Connected by ('127.0.0.1', 60316)
2024-06-11 22:06:17,592 Connected by ('127.0.0.1', 60333)
2024-06-11 22:06:17,593 Connected by ('127.0.0.1', 60334)
2024-06-11 22:06:22,633 Connected by ('127.0.0.1', 60349)
2024-06-11 22:06:22,638 Connected by ('127.0.0.1', 60352)
2024-06-11 22:06:28,648 Connected by ('127.0.0.1', 60367)
2024-06-11 22:06:28,649 Connected by ('127.0.0.1', 60368)
2024-06-11 22:06:34,667 Connected by ('127.0.0.1', 60385)
2024-06-11 22:06:34,668 Connected by ('127.0.0.1', 60386)
2024-06-11 22:06:40,686 Connected by ('127.0.0.1', 60403)
2024-06-11 22:06:40,687 Connected by ('127.0.0.1', 60404)
2024-06-11 22:06:45,712 Connected by ('127.0.0.1', 60419)
2024-06-11 22:06:45,713 Connected by ('127.0.0.1', 60420)
2024-06-11 22:06:50,737 Connected by ('127.0.0.1', 60435)
2024-06-11 22:06:50,737 Connected by ('127.0.0.1', 60436)
2024-06-11 22:06:56,763 Connected by ('127.0.0.1', 60453)
2024-06-11 22:06:56,763 Connected by ('127.0.0.1', 60454)
2024-06-11 22:07:01,784 Connected by ('127.0.0.1', 60469)
2024-06-11 22:07:01,786 Connected by ('127.0.0.1', 60470)
2024-06-11 22:07:06,801 Connected by ('127.0.0.1', 60485)
2024-06-11 22:07:06,802 Connected by ('127.0.0.1', 60486)
2024-06-11 22:07:11,825 Connected by ('127.0.0.1', 60501)
2024-06-11 22:07:11,826 Connected by ('127.0.0.1', 60502)
2024-06-11 22:07:16,843 Connected by ('127.0.0.1', 60517)
2024-06-11 22:07:16,844 Connected by ('127.0.0.1', 60518)
2024-06-11 22:07:21,883 Connected by ('127.0.0.1', 60533)
2024-06-11 22:07:21,884 Connected by ('127.0.0.1', 60534)
2024-06-11 22:07:27,916 Connected by ('127.0.0.1', 60551)
2024-06-11 22:07:27,916 Connected by ('127.0.0.1', 60552)
2024-06-11 22:07:33,911 Connected by ('127.0.0.1', 60568)
2024-06-11 22:07:33,912 Connected by ('127.0.0.1', 60569)
2024-06-11 22:07:39,926 Connected by ('127.0.0.1', 60586)
2024-06-11 22:07:39,927 Connected by ('127.0.0.1', 60587)
2024-06-11 22:07:44,959 Connected by ('127.0.0.1', 60603)
2024-06-11 22:07:44,960 Connected by ('127.0.0.1', 60604)
2024-06-11 22:07:50,974 Connected by ('127.0.0.1', 60624)
2024-06-11 22:07:50,975 Connected by ('127.0.0.1', 60625)
2024-06-11 22:07:57,001 Connected by ('127.0.0.1', 60642)
2024-06-11 22:07:57,001 Connected by ('127.0.0.1', 60643)
2024-06-11 22:08:03,019 Connected by ('127.0.0.1', 60660)
2024-06-11 22:08:03,020 Connected by ('127.0.0.1', 60661)
2024-06-11 22:08:09,035 Connected by ('127.0.0.1', 60682)
2024-06-11 22:08:09,036 Connected by ('127.0.0.1', 60683)
2024-06-11 22:08:14,117 Connected by ('127.0.0.1', 60698)
2024-06-11 22:08:14,118 Connected by ('127.0.0.1', 60699)
2024-06-11 22:08:19,140 Connected by ('127.0.0.1', 60714)
2024-06-11 22:08:19,141 Connected by ('127.0.0.1', 60715)
2024-06-11 22:08:24,168 Connected by ('127.0.0.1', 60732)
2024-06-11 22:08:24,168 Connected by ('127.0.0.1', 60733)
2024-06-11 22:08:30,193 Connected by ('127.0.0.1', 60752)
2024-06-11 22:08:30,194 Connected by ('127.0.0.1', 60753)
2024-06-11 22:08:36,216 Connected by ('127.0.0.1', 60770)
2024-06-11 22:08:36,217 Connected by ('127.0.0.1', 60771)
2024-06-11 22:08:42,229 Connected by ('127.0.0.1', 60788)
2024-06-11 22:08:42,230 Connected by ('127.0.0.1', 60789)
2024-06-11 22:08:48,268 Connected by ('127.0.0.1', 60809)
