2024-07-02 23:45:01,171 Market Simulator listening for connections
2024-07-02 23:45:01,260 Connected by ('127.0.0.1', 61429)
2024-07-02 23:45:01,261 Connected by ('127.0.0.1', 61428)
2024-07-02 23:45:01,262 Connected by ('127.0.0.1', 61430)
2024-07-02 23:45:04,234 Connected by ('127.0.0.1', 61443)
2024-07-02 23:45:04,234 Connected by ('127.0.0.1', 61444)
2024-07-02 23:45:04,235 Connected by ('127.0.0.1', 61445)
2024-07-02 23:45:10,254 Connected by ('127.0.0.1', 61461)
2024-07-02 23:45:10,255 Connected by ('127.0.0.1', 61462)
2024-07-02 23:45:10,255 Connected by ('127.0.0.1', 61463)
2024-07-02 23:45:16,267 Connected by ('127.0.0.1', 61479)
2024-07-02 23:45:16,267 Connected by ('127.0.0.1', 61480)
2024-07-02 23:45:16,268 Connected by ('127.0.0.1', 61481)
2024-07-02 23:45:22,288 Connected by ('127.0.0.1', 61497)
2024-07-02 23:45:22,293 Connected by ('127.0.0.1', 61498)
2024-07-02 23:45:22,293 Connected by ('127.0.0.1', 61499)
2024-07-02 23:45:28,317 Connected by ('127.0.0.1', 61515)
2024-07-02 23:45:28,318 Connected by ('127.0.0.1', 61516)
2024-07-02 23:45:28,319 Connected by ('127.0.0.1', 61517)
2024-07-02 23:45:34,339 Connected by ('127.0.0.1', 61533)
2024-07-02 23:45:34,340 Connected by ('127.0.0.1', 61534)
2024-07-02 23:45:34,340 Connected by ('127.0.0.1', 61535)
2024-07-02 23:45:40,365 Connected by ('127.0.0.1', 61550)
2024-07-02 23:45:40,365 Connected by ('127.0.0.1', 61552)
2024-07-02 23:45:40,366 Connected by ('127.0.0.1', 61553)
2024-07-02 23:45:46,228 Connected by ('127.0.0.1', 61568)
2024-07-02 23:45:46,228 Connected by ('127.0.0.1', 61569)
2024-07-02 23:45:46,232 Connected by ('127.0.0.1', 61571)
2024-07-02 23:45:52,249 Connected by ('127.0.0.1', 61586)
2024-07-02 23:45:52,249 Connected by ('127.0.0.1', 61587)
2024-07-02 23:45:52,250 Connected by ('127.0.0.1', 61588)
2024-07-02 23:45:58,260 Connected by ('127.0.0.1', 61605)
2024-07-02 23:45:58,260 Connected by ('127.0.0.1', 61604)
