2024-06-08 12:41:16,843 Order Router listening for connections
2024-06-08 12:41:20,052 Connected by ('127.0.0.1', 50665)
2024-06-08 12:41:25,047 Connected by ('127.0.0.1', 50681)
2024-06-08 12:41:30,052 Connected by ('127.0.0.1', 50697)
2024-06-08 12:41:35,062 Connected by ('127.0.0.1', 50713)
2024-06-08 12:41:40,075 Connected by ('127.0.0.1', 50729)
2024-06-08 12:41:45,087 Connected by ('127.0.0.1', 50745)
2024-06-08 12:41:50,106 Connected by ('127.0.0.1', 50761)
2024-06-08 12:41:55,119 Connected by ('127.0.0.1', 50778)
2024-06-08 12:42:00,131 Connected by ('127.0.0.1', 50794)
2024-06-08 12:42:05,138 Connected by ('127.0.0.1', 50810)
2024-06-08 12:42:10,147 Connected by ('127.0.0.1', 50826)
2024-06-08 12:42:15,157 Connected by ('127.0.0.1', 50842)
2024-06-08 12:42:20,172 Connected by ('127.0.0.1', 50860)
2024-06-08 12:42:25,186 Connected by ('127.0.0.1', 50877)
2024-06-08 12:42:30,206 Connected by ('127.0.0.1', 50893)
2024-06-08 12:42:35,219 Connected by ('127.0.0.1', 50909)
2024-06-08 12:42:40,229 Connected by ('127.0.0.1', 50925)
2024-06-08 12:42:45,239 Connected by ('127.0.0.1', 50941)
2024-06-08 12:42:50,243 Connected by ('127.0.0.1', 50957)
2024-06-08 12:42:55,249 Connected by ('127.0.0.1', 50973)
2024-06-08 12:43:00,253 Connected by ('127.0.0.1', 50988)
2024-06-08 12:43:05,267 Connected by ('127.0.0.1', 51004)
2024-06-08 12:43:10,274 Connected by ('127.0.0.1', 51020)
2024-06-08 12:43:15,280 Connected by ('127.0.0.1', 51036)
2024-06-08 12:43:20,298 Connected by ('127.0.0.1', 51054)
2024-06-08 12:43:25,313 Connected by ('127.0.0.1', 51070)
2024-06-08 12:43:30,325 Connected by ('127.0.0.1', 51087)
2024-06-08 12:43:35,337 Connected by ('127.0.0.1', 51103)
2024-06-08 12:43:40,351 Connected by ('127.0.0.1', 51121)
2024-06-08 12:43:45,358 Connected by ('127.0.0.1', 51137)
2024-06-08 12:43:50,367 Connected by ('127.0.0.1', 51153)
2024-06-08 12:43:55,381 Connected by ('127.0.0.1', 51169)
2024-06-08 12:44:00,395 Connected by ('127.0.0.1', 51185)
2024-06-08 12:44:05,410 Connected by ('127.0.0.1', 51201)
2024-06-08 12:44:10,421 Connected by ('127.0.0.1', 51217)
2024-06-08 12:44:15,428 Connected by ('127.0.0.1', 51232)
2024-06-08 12:44:20,436 Connected by ('127.0.0.1', 51248)
2024-06-08 12:44:25,447 Connected by ('127.0.0.1', 51264)
2024-06-08 12:44:30,462 Connected by ('127.0.0.1', 51280)
2024-06-08 12:44:35,470 Connected by ('127.0.0.1', 51296)
2024-06-08 12:44:40,486 Connected by ('127.0.0.1', 51312)
2024-06-08 12:44:45,490 Connected by ('127.0.0.1', 51329)
2024-06-08 12:44:50,492 Connected by ('127.0.0.1', 51345)
2024-06-08 12:44:55,504 Connected by ('127.0.0.1', 51361)
2024-06-08 12:45:00,512 Connected by ('127.0.0.1', 51377)
2024-06-08 12:45:05,522 Connected by ('127.0.0.1', 51393)
2024-06-08 12:45:10,524 Connected by ('127.0.0.1', 51409)
2024-06-08 12:45:15,531 Connected by ('127.0.0.1', 51425)
2024-06-08 12:45:20,539 Connected by ('127.0.0.1', 51441)
2024-06-08 12:45:25,553 Connected by ('127.0.0.1', 51456)
2024-06-08 12:45:30,563 Connected by ('127.0.0.1', 51472)
2024-06-08 12:45:35,570 Connected by ('127.0.0.1', 51488)
2024-06-08 12:45:40,588 Connected by ('127.0.0.1', 51504)
2024-06-08 12:45:45,605 Connected by ('127.0.0.1', 51520)
2024-06-08 12:45:50,619 Connected by ('127.0.0.1', 51536)
2024-06-08 12:45:55,624 Connected by ('127.0.0.1', 51552)
2024-06-08 12:46:00,641 Connected by ('127.0.0.1', 51568)
2024-06-08 12:46:05,656 Connected by ('127.0.0.1', 51584)
2024-06-08 12:46:10,667 Connected by ('127.0.0.1', 51600)
2024-06-08 12:46:15,677 Connected by ('127.0.0.1', 51616)
2024-06-08 12:46:20,693 Connected by ('127.0.0.1', 51632)
2024-06-08 12:46:25,707 Connected by ('127.0.0.1', 51650)
2024-06-08 12:46:30,714 Connected by ('127.0.0.1', 51667)
2024-06-08 12:46:35,723 Connected by ('127.0.0.1', 51683)
2024-06-08 12:46:40,734 Connected by ('127.0.0.1', 51699)
2024-06-08 12:46:45,747 Connected by ('127.0.0.1', 51714)
2024-06-08 12:46:50,762 Connected by ('127.0.0.1', 51730)
2024-06-08 12:46:55,770 Connected by ('127.0.0.1', 51746)
2024-06-08 12:47:00,783 Connected by ('127.0.0.1', 51762)
2024-06-08 12:47:05,795 Connected by ('127.0.0.1', 51778)
2024-06-08 12:47:10,806 Connected by ('127.0.0.1', 51794)
2024-06-08 12:47:15,814 Connected by ('127.0.0.1', 51810)
2024-06-08 12:47:20,832 Connected by ('127.0.0.1', 51826)
2024-06-08 12:47:25,837 Connected by ('127.0.0.1', 51842)
2024-06-08 12:47:30,847 Connected by ('127.0.0.1', 51858)
2024-06-08 12:47:35,857 Connected by ('127.0.0.1', 51874)
2024-06-08 12:47:40,870 Connected by ('127.0.0.1', 51890)
2024-06-08 12:47:45,873 Connected by ('127.0.0.1', 51906)
2024-06-08 12:47:50,883 Connected by ('127.0.0.1', 51922)
2024-06-08 12:47:55,889 Connected by ('127.0.0.1', 51938)
2024-06-08 12:48:00,900 Connected by ('127.0.0.1', 51954)
2024-06-08 12:48:05,908 Connected by ('127.0.0.1', 51969)
2024-06-08 12:48:10,913 Connected by ('127.0.0.1', 51985)
2024-06-08 12:48:15,919 Connected by ('127.0.0.1', 52001)
2024-06-08 12:48:20,927 Connected by ('127.0.0.1', 52017)
2024-06-08 12:48:25,941 Connected by ('127.0.0.1', 52033)
2024-06-08 12:48:30,951 Connected by ('127.0.0.1', 52050)
2024-06-08 12:48:35,970 Connected by ('127.0.0.1', 52067)
2024-06-08 12:48:40,980 Connected by ('127.0.0.1', 52083)
2024-06-08 12:48:45,991 Connected by ('127.0.0.1', 52099)
2024-06-08 12:48:51,000 Connected by ('127.0.0.1', 52116)
2024-06-08 12:48:56,009 Connected by ('127.0.0.1', 52132)
2024-06-08 12:49:01,018 Connected by ('127.0.0.1', 52148)
2024-06-08 12:49:06,034 Connected by ('127.0.0.1', 52164)
2024-06-08 12:49:11,046 Connected by ('127.0.0.1', 52180)
2024-06-08 12:49:16,049 Connected by ('127.0.0.1', 52196)
2024-06-08 12:49:21,053 Connected by ('127.0.0.1', 52212)
2024-06-08 12:49:26,060 Connected by ('127.0.0.1', 52227)
2024-06-08 12:49:31,069 Connected by ('127.0.0.1', 52243)
2024-06-08 12:49:36,085 Connected by ('127.0.0.1', 52259)
2024-06-08 12:49:41,092 Connected by ('127.0.0.1', 52275)
2024-06-08 12:49:46,101 Connected by ('127.0.0.1', 52291)
2024-06-08 12:49:51,106 Connected by ('127.0.0.1', 52307)
