2024-06-07 00:15:37,704 Order Router listening for connections
2024-06-07 00:15:37,829 Connected by ('127.0.0.1', 54804)
2024-06-07 00:15:37,832 Connected by ('127.0.0.1', 54809)
2024-06-07 00:15:39,759 Connected by ('127.0.0.1', 54820)
2024-06-07 00:15:42,843 Connected by ('127.0.0.1', 54832)
2024-06-07 00:15:44,759 Connected by ('127.0.0.1', 54846)
2024-06-07 00:15:47,860 Connected by ('127.0.0.1', 54858)
2024-06-07 00:15:49,798 Connected by ('127.0.0.1', 54867)
2024-06-07 00:15:52,864 Connected by ('127.0.0.1', 54880)
2024-06-07 00:15:54,802 Connected by ('127.0.0.1', 54889)
2024-06-07 00:15:57,880 Connected by ('127.0.0.1', 54901)
2024-06-07 00:15:59,824 Connected by ('127.0.0.1', 54911)
2024-06-07 00:16:02,900 Connected by ('127.0.0.1', 54923)
2024-06-07 00:16:04,845 Connected by ('127.0.0.1', 54933)
2024-06-07 00:16:07,921 Connected by ('127.0.0.1', 54945)
2024-06-07 00:16:09,893 Connected by ('127.0.0.1', 54955)
2024-06-07 00:16:12,943 Connected by ('127.0.0.1', 54967)
2024-06-07 00:16:14,911 Connected by ('127.0.0.1', 54977)
2024-06-07 00:16:17,956 Connected by ('127.0.0.1', 54989)
2024-06-07 00:16:19,932 Connected by ('127.0.0.1', 54999)
2024-06-07 00:16:22,961 Connected by ('127.0.0.1', 55011)
2024-06-07 00:16:24,948 Connected by ('127.0.0.1', 55021)
2024-06-07 00:16:27,980 Connected by ('127.0.0.1', 55035)
2024-06-07 00:16:29,957 Connected by ('127.0.0.1', 55045)
2024-06-07 00:16:32,989 Connected by ('127.0.0.1', 55057)
2024-06-07 00:16:35,014 Connected by ('127.0.0.1', 55067)
2024-06-07 00:16:38,014 Connected by ('127.0.0.1', 55079)
2024-06-07 00:16:40,020 Connected by ('127.0.0.1', 55089)
2024-06-07 00:16:43,022 Connected by ('127.0.0.1', 55101)
2024-06-07 00:16:45,030 Connected by ('127.0.0.1', 55111)
2024-06-07 00:16:48,027 Connected by ('127.0.0.1', 55123)
2024-06-07 00:16:50,043 Connected by ('127.0.0.1', 55133)
2024-06-07 00:16:53,038 Connected by ('127.0.0.1', 55146)
2024-06-07 00:16:55,055 Connected by ('127.0.0.1', 55157)
2024-06-07 00:16:58,046 Connected by ('127.0.0.1', 55169)
2024-06-07 00:17:00,074 Connected by ('127.0.0.1', 55179)
